Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
6000-23408,5/24/2005,MP1,BTLH,F,AHY,2005,31 3.8g r3-5 HT,6/3 3.6g,,,,,,,,,,,,,,,,,
6000-23409,5/24/2005,MP1,BTLH,F,AHY,2005,6/5 3.3g,,,,,,,,,,,,,,,,,,
6000-23415,5/24/2005,MP1,BTLH,F,AHY,2005,6/3 3.3g,6/4 3.6g E6,,,,,,,,,,,,,,,,,
6000-23416,5/24/2005,MP1,BTLH,F,AHY,2005,6/4 3.2g E6-,,,,,,,,,,,,,,,,,,
6000-23417,5/24/2005,MP1,BTLH,F,AHY,2005,6/12 3.8g,,,,,,,,,,,,,,,,,,
6000-23420,5/25/2005,MP1,BTLH,F,AHY,2005,6/5 3.2g 2x,6/12 3.5g,,,,,,,,,,,,,,,,,
6000-23425,5/24/2005,MCGC,BTLH,M,AHY,2005,7/29 3.8g,,,,,,,,,,,,,,,,,,
6000-23427,5/24/2005,MP1,BTLH,M,AHY,2005,5/25 3.4g,5/26 3.1g,5/31 3.2g,6/2 3.1g,6/3 3.1g,6/5 3.0g,,,,,,,,,,,,,
6000-23428,5/26/2005,MP1,BTLH,M,AHY,2005,6/5 3.2g,,,,,,,,,,,,,,,,,,
6000-23430,5/26/2005,MP1,BTLH,M,AHY,2005,5/31 3.2g,6/2 3.2g,6/5 3.1g,,,,,,,,,,,,,,,,
6000-23431,5/25/2005,MP1,BTLH,F,AHY,2005,6/1 3.6g,6/2 3.5g,6/5 3.3g,,,,,,,,,,,,,,,,
6000-23434,5/25/2005,MP1,BTLH,F,AHY,2005,6/2 3.6g,,,,,,,,,,,,,,,,,,
6000-23437,6/1/2005,MP1,BTLH,M,AHY,2005,6/3 3.3g,,,,,,,,,,,,,,,,,,
6000-23438,6/2/2005,MP1,BTLH,M,AHY,2005,6/5 3.2g,,,,,,,,,,,,,,,,,,
6000-23444,5/26/2005,MP1,BTLH,F,AHY,2005,6/2 3.4g,6/5 3.2g,,,,,,,,,,,,,,,,,
6000-23445,5/26/2005,MP1,BTLH,F,AHY,2005,6/12 3.7g E6,,,,,,,,,,,,,,,,,,
6000-23446,5/26/2005,MP1,BTLH,F,AHY,2005,6/3 3.6g E6+,6/4 3.3g,6/5 3.4g 2x,6/12 3.6g,6/26 3.5g,,,,,,,,,,,,,,
6000-23448,5/26/2005,MP1,BTLH,F,AHY,2005,6/3 3.0g,,,,,,,,,,,,,,,,,,
6000-23450,5/31/2005,MCGC,BTLH,F,AHY,2005,6/2 3.4g,6/4 3.6g E6,6/10 3.6g 2x,6/11 3.3g,6/12 3.8g E7,6/13 3.3g 3x,6/18 3.2g,6/19 3.3g,,,,,,,,,,,
6000-23458,6/12/2005,MCGC,BTLH,M,AHY,2005,6/12 3.2g,,,,,,,,,,,,,,,,,,
6000-23460,6/12/2005,MCGC,BTLH,M,AHY,2005,7/23 3.5g,,,,,,,,,,,,,,,,,,
6000-23461,5/31/2005,MP1,BTLH,F,AHY,2005,6/4 3.6g E6,,,,,,,,,,,,,,,,,,
6000-23464,5/31/2005,MP1,BTLH,F,AHY,2005,6/1 3.4g,6/2 3.7g,6/4 3.2g E7,6/13 3.9g,,,,,,,,,,,,,,,
6000-23465,5/31/2005,MP1,BTLH,F,AHY,2005,6/4 3.1g,,,,,,,,,,,,,,,,,,
6000-23468,5/31/2005,MP1,BTLH,F,AHY,2005,7/17 3.2g,,,,,,,,,,,,,,,,,,
6000-23469,5/31/2005,MP1,BTLH,F,AHY,2005,6/1 3.7g,6/2 3.6g,6/3 3.3g 2x,6/4 3.5g,6/12 3.7g,,,,,,,,,,,,,,
6000-23470,5/31/2005,MP1,BTLH,F,AHY,2005,6/4 3.6g E6,,,,,,,,,,,,,,,,,,
6000-23472,5/31/2005,MP1,BTLH,F,AHY,2005,6/3 3.5g,6/5 3.1g,8/26 3.8g,,,,,,,,,,,,,,,,
6000-23474,5/31/2005,MCGC,BTLH,F,AHY,2005,6/10 4.7g E8,6/11 3.7g E6,6/13 3.7g 4x,6/18 3.3g,6/19 3.4g,6/21 3.4g,,,,,,,,,,,,,
6000-23477,6/1/2005,MP1,BTLH,F,AHY,2005,6/3 3.6g E6,6/5 3.5g,6/12 3.5g E6,8/25 3.4g MTW,,,,,,,,,,,,,,,
6000-23478,6/1/2005,MP1,BTLH,F,AHY,2005,6/11 3.4g,,,,,,,,,,,,,,,,,,
6000-23479,6/1/2005,MP1,BTLH,F,AHY,2005,6/3 3.4g,6/5 3.3g,,,,,,,,,,,,,,,,,
6000-23481,6/1/2005,MP1,BTLH,F,AHY,2005,8/1 3.3g,,,,,,,,,,,,,,,,,,
6000-23482,6/1/2005,MP1,BTLH,F,AHY,2005,6/3 3.4g,6/4 3.4g E6 2x,6/5 3.2g,6/11 3.3g,6/13 3.7g E6,,,,,,,,,,,,,,
6000-23484,6/1/2005,MP1,BTLH,F,AHY,2005,6/19 3.6g,,,,,,,,,,,,,,,,,,
6000-23485,6/1/2005,MP1,BTLH,F,AHY,2005,6/3 3.7g,6/4 3.4g E6 2x,6/5 3.6g,,,,,,,,,,,,,,,,
6000-23486,6/1/2005,MP1,BTLH,F,AHY,2005,6/28 3.5g,,,,,,,,,,,,,,,,,,
6000-23487,6/1/2005,MP1,BTLH,F,AHY,2005,6/19 3.6g,,,,,,,,,,,,,,,,,,
6000-23489,6/1/2005,MP1,BTLH,F,AHY,2005,6/5 3.6g,,,,,,,,,,,,,,,,,,
6000-23491,6/2/2005,MCGC,BTLH,F,AHY,2005,6/2 nw,6/3 4.4g E7,6/4 4.3g 2x,6/5 4.0g,6/10 E9 2x,6/11 4.7g E9+,6/12 4.3g E9,6/13 4.5g E9,,,,,,,,,,,
6000-23496,6/3/2005,MCGC,BTLH,F,AHY,2005,6/3 3.5g,,,,,,,,,,,,,,,,,,
6000-23500,6/3/2005,MP1,BTLH,F,AHY,2005,6/5 3.4g E6,,,,,,,,,,,,,,,,,,
6000-23503,6/4/2005,MP1,BTLH,F,AHY,2005,6/5 nw,,,,,,,,,,,,,,,,,,
6000-23504,6/4/2005,MP1,BTLH,F,AHY,2005,6/26 3.7g E6-,,,,,,,,,,,,,,,,,,
6000-23506,6/4/2005,MP1,BTLH,F,AHY,2005,"7/25 4.0g HTW, at MCGC",,,,,,,,,,,,,,,,,,
6000-23507,6/4/2005,MP1,BTLH,F,AHY,2005,6/5 3.4g,,,,,,,,,,,,,,,,,,
6000-23509,6/5/2005,MP1,BTLH,F,AHY,2005,7/11 3.6g HTW,,,,,,,,,,,,,,,,,,
6000-23510,6/5/2005,MP1,BTLH,F,AHY,2005,6/5 3.0g,,,,,,,,,,,,,,,,,,
6000-23513,6/5/2005,MP1,BTLH,F,AHY,2005,6/12 3.7g,,,,,,,,,,,,,,,,,,
6000-23516,6/10/2005,MCGC,BTLH,F,AHY,2005,6/11 3.6g,,,,,,,,,,,,,,,,,,
6000-23517,6/10/2005,MCGC,BTLH,F,AHY,2005,6/10 3.8g,6/12 3.5g 2x,6/13 3.4g,6/18 3.3g,6/14 3.2g,,,,,,,,,,,,,,
6000-23518,6/10/2005,MCGC,BTLH,F,AHY,2005,6/11 3.4g,,,,,,,,,,,,,,,,,,
6000-23519,6/10/2005,MCGC,BTLH,F,AHY,2005,6/12 3.6g E6,6/13 3.5g E6,7/14 3.9g,,,,,,,,,,,,,,,,
6000-23521,6/10/2005,MCGC,BTLH,F,AHY,2005,6/11 3.3g,6/12 3.7g,6/13 3.4g,,,,,,,,,,,,,,,,
6000-23522,6/11/2005,MCGC,BTLH,F,AHY,2005,6/12 nw E6,6/13 3.4g,6/21 3.4g,7/3 3.4g,,,,,,,,,,,,,,,
6000-23523,6/11/2005,MCGC,BTLH,F,AHY,2005,6/12 3.6g E8,,,,,,,,,,,,,,,,,,
6000-23525,6/11/2005,MP1,BTLH,F,AHY,2005,6/29 3.6 E6,,,,,,,,,,,,,,,,,,
6000-23528,6/11/2005,MP1,BTLH,F,AHY,2005,6/19 3.8g E6,,,,,,,,,,,,,,,,,,
6000-23529,6/11/2005,MP1,BTLH,F,AHY,2005,7/11 3.5g,"HTW r3,4r",,,,,,,,,,,,,,,,,
6000-23531,6/12/2005,MP1,BTLH,F,AHY,2005,6/12 3.6g,6/13 3.5g E6,7/11 3.6g,,,,,,,,,,,,,,,,
6000-23533,6/12/2005,MP1,BTLH,F,AHY,2005,7/7 3.5g,,,,,,,,,,,,,,,,,,
6000-23535,6/12/2005,MP1,BTLH,F,AHY,2005,6/12 3.5g,6/13 3.5g,,,,,,,,,,,,,,,,,
6000-23538,6/12/2005,MCGC,BTLH,F,AHY,2005,6/13 3.5g,7/23 3.3g NTW,,,,,,,,,,,,,,,,,
6000-23539,6/13/2005,MCGC,BTLH,F,AHY,2005,6/13 3.1g,6/13 3.2g,,,,,,,,,,,,,,,,,
6000-23540,6/13/2005,MCGC,BTLH,F,AHY,2005,6/14 4.0g E8,8/15 3.6g,,,,,,,,,,,,,,,,,
6000-23545,6/14/2005,MCGC,BTLH,M,AHY,2005,6/14 3.3g,,,,,,,,,,,,,,,,,,
6000-23546,6/14/2005,MCGC,BTLH,M,AHY,2005,7/10 3.3g,7/11 3.5g,,,,,,,,,,,,,,,,,
6000-23547,6/18/2005,MCGC,BTLH,M,AHY,2005,7/7 3.3g,8/1 3.6g,,,,,,,,,,,,,,,,,
6000-23548,6/18/2005,MP1,BTLH,M,AHY,2005,6/26 3.4g,,,,,,,,,,,,,,,,,,
6000-23555,6/13/2005,MP1,BTLH,F,AHY,2005,6/29 3.8g E9,,,,,,,,,,,,,,,,,,
6000-23557,6/13/2005,MP1,BTLH,F,AHY,2005,8/19 3.6g,LtTW,,,,,,,,,,,,,,,,,
6000-23559,6/13/2005,MP1,BTLH,F,AHY,2005,8/19 4.2g,LtTW,,,,,,,,,,,,,,,,,
6000-23563,6/14/2005,MCGC,BTLH,F,AHY,2005,7/8 3.6g HTW,,,,,,,,,,,,,,,,,,
6000-23566,6/18/2005,MCGC,BTLH,F,AHY,2005,6/21 3.4g,7/14 3.5g NTW,,,,,,,,,,,,,,,,,
6000-23568,6/18/2005,MP1,BTLH,F,AHY,2005,6/19 3.4g E6,,,,,,,,,,,,,,,,,,
6000-23577,6/19/2005,MP1,BTLH,F,AHY,2005,7/7 3.4g,,,,,,,,,,,,,,,,,,
6000-23578,6/19/2005,MP1,BTLH,F,AHY,2005,8/1 3.4g,,,,,,,,,,,,,,,,,,
6000-23583,6/19/2005,MP1,BTLH,F,AHY,2005,6/29 3.4g E8,,,,,,,,,,,,,,,,,,
6000-23594,6/25/2005,MP1,BTLH,F,AHY,2005,8/13 3.7g,,,,,,,,,,,,,,,,,,
6000-23604,6/27/2005,GNMTN,BTLH,M,AHY,2005,7/1 3.2g,,,,,,,,,,,,,,,,,,
6000-23631,6/27/2005,KV1,BTLH,F,AHY,2005,7/1 3.5g,7/9 3.4g,HTW r3R,,,,,,,,,,,,,,,,
6000-23633,6/27/2005,KV1,BTLH,F,AHY,2005,7/1 3.4g,,,,,,,,,,,,,,,,,,
6000-23639,6/27/2005,GNMTN,BTLH,F,AHY,2005,8/15 3.8g,VHTW,,,,,,,,,,,,,,,,,
6000-23640,6/27/2005,GNMTN,BTLH,F,AHY,2005,7/9 3.4g,"MTW r3,4",8/15 3.6g HTW,,,,,,,,,,,,,,,,
6000-23648,6/27/2005,GNMTN,BTLH,F,AHY,2005,7/28 3.6g,,,,,,,,,,,,,,,,,,
6000-23651,6/28/2005,MCGC,BTLH,F,AHY,2005,7/19 3.7g,,,,,,,,,,,,,,,,,,
6000-23652,6/28/2005,MCGC,BTLH,F,AHY,2005,6/29 3.2g,,,,,,,,,,,,,,,,,,
6000-23657,6/30/2005,MCGC,BTLH,F,AHY,2005,7/10 3.4g,,,,,,,,,,,,,,,,,,
6000-23660,7/1/2005,HOLZ,BTLH,F,AHY,2005,8/9 3.5g,8/27 3.4g,LtTW,,,,,,,,,,,,,,,,
6000-23665,7/1/2005,KV1,BTLH,F,AHY,2005,7/9 3.4g NTW,,,,,,,,,,,,,,,,,,
6000-23676,7/1/2005,GNMTN,BTLH,F,AHY,2005,7/9 3.2g HTW,,,,,,,,,,,,,,,,,,
6000-23679,7/7/2005,MCGC,BTLH,F,AHY,2005,7/25 3.4g,,,,,,,,,,,,,,,,,,
6000-23683,7/7/2005,MP1,BTLH,F,AHY,2005,8/24 3.3g HTW,,,,,,,,,,,,,,,,,,
6000-23707,7/7/2005,MCGC,RUHU,M,AHY,2005,7/7 3.7g,,,,,,,,,,,,,,,,,,
6000-23715,7/8/2005,MCGC,BTLH,M,AHY,2005,7/11 3.5g,,,,,,,,,,,,,,,,,,
6000-23724,7/9/2005,GNMTN,BTLH,F,AHY,2005,7/9 4.2g E7/8,7/28 3.6g,,,,,,,,,,,,,,,,,
6000-23726,7/12/2005,MCGC,BTLH,F,AHY,2005,7/14 3.1g,,,,,,,,,,,,,,,,,,
6000-23727,7/9/2005,GNMTN,BTLH,F,AHY,2005,7/28 3.6g,,,,,,,,,,,,,,,,,,
6000-23731,7/9/2005,GNMTN,BTLH,F,AHY,2005,7/28 3.9g,8/27 4.1g,,,,,,,,,,,,,,,,,
6000-23735,7/10/2005,MCGC,CAHU,M,AHY,2005,7/10 2x,,,,,,,,,,,,,,,,,,
6000-23736,7/10/2005,MCGC,BTLH,F,AHY,2005,7/11 3.7g,7/12 3.3g 2x,,,,,,,,,,,,,,,,,
6000-23737,7/10/2005,MCGC,BTLH,F,AHY,2005,7/11 3.3g,7/12 3.8g,,,,,,,,,,,,,,,,,
6000-23738,7/10/2005,MCGC,BTLH,F,AHY,2005,7/12 3.3g,7/19 3.2g,7/22 3.3g,7/25 3.8g HTW,7/26 3.6g,7/31 3.4g,8/1 3.6g,,,,,,,,,,,,
6000-23739,7/10/2005,MCGC,BTLH,F,AHY,2005,7/11 3.1g,,,,,,,,,,,,,,,,,,
6000-23741,7/10/2005,MCGC,BTLH,F,AHY,2005,7/11 3.4g,7/14 4.1g,,,,,,,,,,,,,,,,,
6000-23743,7/11/2005,MCGC,BTLH,F,AHY,2005,7/12 3.4g,,,,,,,,,,,,,,,,,,
6000-23745,7/11/2005,MCGC,BTLH,F,AHY,2005,7/19 3.5g,7/21 4.1g,,,,,,,,,,,,,,,,,
6000-23761,7/12/2005,MCGC,BTLH,F,AHY,2005,7/13 3.4g,,,,,,,,,,,,,,,,,,
6000-23762,7/12/2005,MCGC,BTLH,F,AHY,2005,7/26 3.9g,,,,,,,,,,,,,,,,,,
6000-23764,7/12/2005,MCGC,BTLH,F,AHY,2005,7/18 3.2g,,,,,,,,,,,,,,,,,,
6000-23768,7/12/2005,MCGC,RUHU,F,AHY,2005,7/12 3.8g,,,,,,,,,,,,,,,,,,
6000-23769,7/12/2005,MCGC,BTLH,F,AHY,2005,7/13 3.5g,7/14 3.6g HTW,,,,,,,,,,,,,,,,,
6000-23783,7/11/2005,MCGC,BTLH,M,AHY,2005,7/12 3.6g,,,,,,,,,,,,,,,,,,
6000-23791,7/13/2005,MCGC,BTLH,F,AHY,2005,7/14 3.4g,,,,,,,,,,,,,,,,,,
6000-23792,7/13/2005,MCGC,BTLH,F,AHY,2005,7/27 3.7g,,,,,,,,,,,,,,,,,,
6000-23795,7/13/2005,MCGC,BTLH,F,AHY,2005,7/14 3.3g,,,,,,,,,,,,,,,,,,
6000-23799,7/14/2005,MCGC,BTLH,F,AHY,2005,7/21 3.6g,7/27 3.4g,,,,,,,,,,,,,,,,,
6000-23800,7/14/2005,MCGC,BTLH,F,AHY,2005,7/23 3.4g,7/25 3.9g 2x,,,,,,,,,,,,,,,,,
6000-23804,7/14/2005,MCGC,BTLH,F,AHY,2005,7/14 3.7g,7/18 4.0g,,,,,,,,,,,,,,,,,
6000-23805,7/14/2005,MCGC,BTLH,F,AHY,2005,7/27 3.4g,,,,,,,,,,,,,,,,,,
6000-23806,7/14/2005,MCGC,BTLH,F,AHY,2005,7/18 3.5g,7/23 3.3g HTW,7/25 3.9g,7/26 3.5g,7/273.7g 2x,HTW,7/29 nw,7/30 3.2g,,,,,,,,,,,
6000-23814,7/18/2005,MCGC,BTLH,F,AHY,2005,7/18 3.5g,,,,,,,,,,,,,,,,,,
6000-23815,7/18/2005,MCGC,BTLH,F,AHY,2005,7/18 3.8g,,,,,,,,,,,,,,,,,,
6000-23821,7/19/2005,MCGC,BTLH,F,AHY,2005,7/21 3.8g,7/27 3.2g,,,,,,,,,,,,,,,,,
6000-23826,7/19/2005,MCGC,BTLH,F,AHY,2005,7/22 3.7g,,,,,,,,,,,,,,,,,,
6000-23827,7/19/2005,MCGC,BTLH,F,HY,2005,7/25 4.0g,7/26 3.8g,,,,,,,,,,,,,,,,,
6000-23895,7/21/2005,MCGC,BTLH,F,AHY,2005,7/26 3.8g,,,,,,,,,,,,,,,,,,
6000-23897,7/22/2005,MCGC,BTLH,F,AHY,2005,7/22 3.4g,7/25 3.4g,,,,,,,,,,,,,,,,,
6000-23898,7/22/2005,MCGC,BTLH,F,AHY,2005,7/222 3.7g,7/26 3.6g,7/30 3.7g,8/1 3.7g,8/2 3.2g,8/16 3.5g,,,,,,,,,,,,,
6000-53504,7/23/2005,MCGC,BTLH,F,AHY,2005,7/26 3.3g,7/27 3.7g,,,,,,,,,,,,,,,,,
6000-53505,7/23/2005,MCGC,BTLH,F,AHY,2005,7/27 3.4g,7/31 3.6g,,,,,,,,,,,,,,,,,
6000-53506,7/23/2005,MCGC,BTLH,F,AHY,2005,7/31 3.5g,,,,,,,,,,,,,,,,,,
6000-53508,7/23/2005,MCGC,BTLH,F,AHY,2005,7/25 4.3g,7/26 3.9g,,,,,,,,,,,,,,,,,
6000-53509,7/23/2005,MCGC,BTLH,F,AHY,2005,7/26 3.5g,7/27 3.3g,,,,,,,,,,,,,,,,,
6000-53533,7/23/2005,MCGC,BTLH,F,AHY,2005,8/1 3.5g,8/14 3.4g,,,,,,,,,,,,,,,,,
6000-53537,7/23/2005,MCGC,BTLH,F,AHY,2005,7/25 3.9g,,,,,,,,,,,,,,,,,,
6000-53539,7/25/2005,MCGC,BTLH,F,AHY,2005,7/25 3.5g,,,,,,,,,,,,,,,,,,
6000-53545,7/25/2005,MCGC,BTLH,F,AHY,2005,7/25 nw,7/26 3.6g 2x,8/11 3.5g,8/13 3.5g,,,,,,,,,,,,,,,
6000-53548,7/25/2005,MCGC,BTLH,F,HY,2005,7/27 3.4g,,,,,,,,,,,,,,,,,,
6000-53560,7/27/2005,MP1,RUHU,F,AHY,2005,7/27 nw,,,,,,,,,,,,,,,,,,
6000-53567,7/29/2005,MCGC,BTLH,M,HY,2005,7/29 nw,,,,,,,,,,,,,,,,,,
6000-53572,7/25/2005,MCGC,BTLH,F,AHY,2005,7/26 3.4g,,,,,,,,,,,,,,,,,,
6000-53574,7/25/2005,MCGC,BTLH,F,AHY,2005,7/27 3.7g,,,,,,,,,,,,,,,,,,
6000-53575,7/25/2005,MCGC,BTLH,F,AHY,2005,7/27 3.7g,,,,,,,,,,,,,,,,,,
6000-53578,7/26/2005,MCGC,BTLH,F,AHY,2005,7/27 3.5g,,,,,,,,,,,,,,,,,,
6000-53581,7/26/2005,MCGC,BTLH,F,AHY,2005,7/26 3.5g,,,,,,,,,,,,,,,,,,
6000-53582,7/26/2005,MCGC,BTLH,F,AHY,2005,7/27 3.2g,,,,,,,,,,,,,,,,,,
6000-53583,7/26/2005,MCGC,BTLH,F,AHY,2005,7/26 nw,7/27 3.1g,,,,,,,,,,,,,,,,,
6000-53585,7/27/2005,MCGC,BTLH,F,AHY,2005,7/31 3.6g,8/1 nw,,,,,,,,,,,,,,,,,
6000-53589,7/27/2005,MCGC,BTLH,F,AHY,2005,8/1 3.5g,8/2 3.2g,,,,,,,,,,,,,,,,,
6000-53602,7/27/2005,MP1,BTLH,F,AHY,2005,8/1 3.2g,,,,,,,,,,,,,,,,,,
6000-53616,7/28/2005,GNMTN,RUHU,M,AHY,2005,7/28 nw,,,,,,,,,,,,,,,,,,
6000-53632,7/29/2005,MCGC,BTLH,F,AHY,2005,7/29 nw,,,,,,,,,,,,,,,,,,
6000-53634,7/29/2005,MCGC,BTLH,F,AHY,2005,7/31 3.2g,8/1 3.5g,,,,,,,,,,,,,,,,,
6000-53635,7/30/2005,MCGC,CAHU,F,HY,2005,8/1 3.0g,,,,,,,,,,,,,,,,,,
6000-53645,7/30/2005,MP1,BTLH,F,AHY,2005,8/13 3.4g,,,,,,,,,,,,,,,,,,
6000-53661,7/31/2005,MCGC,BTLH,F,AHY,2005,7/31 nw,8/28 3.4g,,,,,,,,,,,,,,,,,
6000-53664,7/31/2005,MCGC,BTLH,F,AHY,2005,7/31 nw,,,,,,,,,,,,,,,,,,
6000-53666,7/31/2005,MCGC,BTLH,F,AHY,2005,8/18 3.4g,,,,,,,,,,,,,,,,,,
6000-53668,7/31/2005,MCGC,BTLH,F,AHY,2005,8/1 3.8g,8/17 3.3g,,,,,,,,,,,,,,,,,
6000-53678,8/1/2005,MCGC,BTLH,M,HY,2005,8/2 3.6g 3x,,,,,,,,,,,,,,,,,,
6000-53716,8/2/2005,MCGC,BTLH,F,AHY,2005,8/2 nw,,,,,,,,,,,,,,,,,,
6000-53741,8/6/2005,MCGC,RUHU,M,HY,2005,8/9 4.2g,,,,,,,,,,,,,,,,,,
6000-53755,8/9/2005,GNMTN,RUHU,F,AHY,2005,8/9 nw,,,,,,,,,,,,,,,,,,
6000-53777,8/12/2005,MCGC,BTLH,F,HY,2005,8/14 3.7g,,,,,,,,,,,,,,,,,,
6000-53781,8/13/2005,MCGC,BTLH,F,HY,2005,8/14 3.9g,8/15 3.4g,,,,,,,,,,,,,,,,,
6000-53793,8/13/2005,MCGC,RUHU,F,AHY,2005,8/13 nw,8/14 3.3g,,,,,,,,,,,,,,,,,
6000-53901,8/25/2005,MP1,BTLH,F,HY,2005,9/5 3.4g,,,,,,,,,,,,,,,,,,
6000-53925,8/25/2005,MP1,BTLH,M,HY,2005,8/25 nw,,,,,,,,,,,,,,,,,,
6000-53938,8/27/2005,GNMTN,BTLH,M,HY,2005,8/27 nw 2x,,,,,,,,,,,,,,,,,,
6000-53955,9/6/2005,GNMTN,BTLH,M,HY,2005,9/6 nw,,,,,,,,,,,,,,,,,,
