Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
6000-53520,7/23/2005,MP1,BTLH,F,AHY,2006,7/14 3.3g,,,,,,,,,,,,,,,,,,HTW
6000-53523,7/23/2005,MP1,BTLH,F,AHY,2006,7/15 3.5g E6,,,,,,,,,,,,,,,,,,
6000-53529,7/23/2005,MP1,BTLH,F,AHY,2006,6/4 3.5g,,,,,,,,,,,,,,,,,,
6000-53535,7/23/2005,MCGC,BTLH,F,AHY,2006,6/26 3.5g,7/5 3.7g,,,,,,,,,,,,,,,,,M-HTW
6000-53543*,7/25/2005,MCGC,BTLH,F,AHY,2006,6/26 4.1g,7/7 3.9g,8/3 3.9g,,,,,,,,,,,,,,,,*NEW: E11925
6000-53544,7/25/2005,MCGC,BTLH,F,AHY,2006,7/31 3.9g,,,,,,,,,,,,,,,,,,LTW
6000-53545,7/25/2005,MCGC,BTLH,F,AHY,2006,"5/12, 4.0g E8",6/2 3.5g,6/5 3.6g,7/19 3.4g,,,,,,,,,,,,,,,
6000-53572,7/25/2005,MCGC,BTLH,F,AHY,2006, 7/17 3.5g at CC3,,,,,,,,,,,,,,,,,,
6000-53578*,7/26/2005,MCGC,BTLH,F,AHY,2006,6/25 3.8g,7/6 3.6g VLTW,,,,,,,,,,,,,,,,,*NEW: E11915
6000-53582,7/26/2005,MCGC,BTLH,F,AHY,2006,7/13 3.5g,,,,,,,,,,,,,,,,,,
6000-53584,7/27/2005,MP1,BTLH,F,AHY,2006,6/9 3.8g  ,,,,,,,,,,,,,,,,,,
6000-53585,7/26/2005,MCGC,BTLH,F,AHY,2006,6/4 3.4g,7/6 3.5g E6,,,,,,,,,,,,,,,,,
6000-53586,7/26/2005,MCGC,BTLH,F,AHY,2006,6/18 3.8g E7,6/26 3.5g,7/7 3.7g E6,,,,,,,,,,,,,,,,
6000-53587,7/26/2005,MCGC,BTLH,F,AHY,2006,7/21 3.4g,7/31 4.0g,,,,,,,,,,,,,,,,,
6000-53589,7/26/2005,MCGC,BTLH,F,AHY,2006,6/5 3.5g,6/15 3.5g,6/16 3.6g,,,,,,,,,,,,,,,,
6000-53596,7/27/2005,MP1,BTLH,F,AHY,2006,7/6 n.w.,,,,,,,,,,,,,,,,,,
6000-53599,7/27/2005,MP1,BTLH,F,AHY,2006,6/9 3.6g,,,,,,,,,,,,,,,,,,
6000-53603,7/27/2005,MP1,BTLH,F,AHY,2006,8/20 n.w.,,,,,,,,,,,,,,,,,,
6000-53615,7/28/2005,GNMTN,BTLH,F,AHY,2006,6/24 3.5g,,,,,,,,,,,,,,,,,,
6000-53618,7/28/2005,GNMTN,BTLH,F,AHY,2006,7/14 3.9g,,,,,,,,,,,,,,,,,,MTW
6000-53620,7/28/2005,GNMTN,BTLH,F,AHY,2006,6/17 4.2g E8,,,,,,,,,,,,,,,,,,
6000-53624,7/28/2005,GNMTN,BTLH,F,AHY,2006,6/17 3.5g  ,,,,,,,,,,,,,,,,,,
6000-53631,7/29/2005,MCGC,BTLH,F,AHY,2006,7/6 3.4g,,,,,,,,,,,,,,,,,,
6000-53634,7/29/2005,MCGC,BTLH,F,AHY,2006,7/7 3.8g,,,,,,,,,,,,,,,,,,MTW
6000-53637,7/30/2005,MCGC,BTLH,F,AHY,2006,6/18 3.5g,,,,,,,,,,,,,,,,,,
6000-53661,7/31/2005,MCGC,BTLH,F,AHY,2006,6/13 3.5g,6/15 3.4g,7/8 3.4g,7/18 3.7g,,,,,,,,,,,,,,,MTW
6000-53666,7/31/2005,MCGC,BTLH,F,AHY,2006,8/3 4.2g,,,,,,,,,,,,,,,,,,LTW
6000-53668,7/31/2005,MCGC,BTLH,F,AHY,2006,7/18 3.6g,,,,,,,,,,,,,,,,,,
6000-53714,8/2/2005,MCGC,BTLH,F,AHY,2006,7/8 3.4g,,,,,,,,,,,,,,,,,,
6000-53723,8/6/2005,MP1,BTLH,F,AHY,2006,7/6 3.4g ,,,,,,,,,,,,,,,,,,HTW
6000-53733,8/6/2005,MP1,BTLH,F,AHY,2006,6/4 3.7g,,,,,,,,,,,,,,,,,,
6000-53773,8/9/2005,GNMTN,BTLH,F,AHY,2006,6/17 3.6g E8,,,,,,,,,,,,,,,,,,
6000-53780,8/13/2005,MCGC,BTLH,F,AHY,2006,6/13 4.3g E6,7/16 3.6g,,,,,,,,,,,,,,,,,HTW
6000-53782,8/13/2005,MP1,BTLH,F,AHY,2006,6/13 4.2 E9,,,,,,,,,,,,,,,,,,
6000-53783,8/13/2005,MP1,BTLH,F,AHY,2006,8/7 3.6g,,,,,,,,,,,,,,,,,,HTW
6000-53806,8/14/2005,MCGC,BTLH,F,AHY,2006,7/7 3.4g,7/16 3.3g,7/26 3.2g,,,,,,,,,,,,,,,,L-MTW 
6000-53814,8/16/2005,MP1,BTLH,F,HY,2006,8/12 4.0g,,,,,,,,,,,,,,,,,,HTW
6000-53835,8/17/2005,MP1,BTLH,F,AHY,2006,6/7 3.8g E8,,,,,,,,,,,,,,,,,,
6000-53843,8/18/2005,MP1,BTLH,F,HY,2006,6/23 3.3g,,,,,,,,,,,,,,,,,,
6000-53847,8/18/2005,MP1,BTLH,F,AHY,2006,6/7 3.3g,,,,,,,,,,,,,,,,,,
6000-53856,8/17/2005,MP1,BTLH,M,HY,2006,7/6 3.4g,,,,,,,,,,,,,,,,,,
6000-53867,8/19/2005,MCGC,BTLH,F,HY,2006,6/4 3.3g,"6/6 3.5g at CC3, AHY M",,,,,,,,,,,,,,,,,
6000-53878,8/19/2005,MP1,BTLH,M,HY,2006,6/7 3.5g E6,AHY F,,,,,,,,,,,,,,,,,
6000-53890,8/24/2005,MCGC,BTLH,F,AHY,2006,7/16 4.0g,7/24 3.7g,7/26 3.6g,,,,,,,,,,,,,,,,HTW
6000-53892,8/24/2005,MCGC,BTLH,F,HY,2006,6/15 3.3g,6/23 3.7g E6,7/7 3.5g 2x,7/18 3.5g,,,,,,,,,,,,,,,HTW
6000-53897,8/25/2005,MP1,BTLH,F,AHY,2006,6/9 3.6g,,,,,,,,,,,,,,,,,,
6000-53899,8/25/2005,MP1,BTLH,F,AHY,2006,6/7 3.5g  ,,,,,,,,,,,,,,,,,,
6000-53901,8/25/2005,MP1,BTLH,F,HY,2006,6/23 3.7g E8,,,,,,,,,,,,,,,,,,
6000-53902,8/25/2005,MP1,BTLH,F,HY,2006,8/3 3.8g,,,,,,,,,,,,,,,,,,HTW
6000-53918,8/25/2005,MCGC,BTLH,M,HY,2006,AHY  F,7/17 3.6g at CC3,7/27 3.7g,,,,,,,,,,,,,,,,
6000-53949,8/29/2005,MCGC,BTLH,M,HY,2006,AHY F,8/12 3.6g ,,,,,,,,,,,,,,,,,VHtw
6000-53957,8/26/2005,MCGC,BTLH,F,HY,2006,6/5 3.5g,,,,,,,,,,,,,,,,,,
6000-53958,8/27/2005,GNMTN,BTLH,F,AHY,2006,7/14 4.0,7/25 3.8g,,,,,,,,,,,,,,,,,MTW
6000-53959,8/27/2005,HOLZ,BTLH,F,AHY,2006,6/24 3.9g 2x,,,,,,,,,,,,,,,,,,
6000-53987,9/5/2005,MP1,BTLH,F,HY,2006,6/4 3.8g,,,,,,,,,,,,,,,,,,8/17 band removed due to rt. leg injury. Unk. cause. Not rebanded.
5000-02840,8/16/2006,MP1,BTLH,F,AHY,2006,,,,,,,,,,,,,,,,,,,Foreign  
5000-22231*,7/1/2006,MP1,BTLH,M,AHY,2006,,,,,,,,,,,,,,,,,,,Foreign (old band removed and replaced) *NEW: E11887
6000-80910,5/18/2006,MP1,BTLH,F,AHY,2006,6/9 3.4g,,,,,,,,,,,,,,,,,,
6000-80915,5/20/2006,MP1,BTLH,F,AHY,2006,6/9 3.7g E6,,,,,,,,,,,,,,,,,,
6000-80917,5/21/2006,MP1,BTLH,F,AHY,2006,8/16 3.7g,,,,,,,,,,,,,,,,,,
6000-80924,5/27/2006,CC3,BTLH,F,AHY,2006,6/5 3.2g 2x at MCGC,,,,,,,,,,,,,,,,,,
6000-80927,5/27/2006,MCGC,BTLH,F,AHY,2006,5/30 3.7g,6/2 3.6g E6-,6/5 3.6g E7,,,,,,,,,,,,,,,,
6000-80928,5/28/2006,CC3,BTLH,F,AHY,2006,6/3 3.6g,,,,,,,,,,,,,,,,,,
6000-80932,5/28/2006,MP1,BTLH,F,AHY,2006,6/4 3.8g E8,,,,,,,,,,,,,,,,,,
6000-80935,5/29/2006,MCGC,BTLH,F,AHY,2006,5/29 again,5/30 4.0g E9,6/2 3.4g E7,6/4 3.5g E6,6/18 3.5g,,,,,,,,,,,,,,
6000-80938,6/2/2006,MCGC,BTLH,F,AHY,2006,6/3 3.7g E7+,,,,,,,,,,,,,,,,,,
6000-80939,6/2/2006,MCGC,BTLH,F,AHY,2006,6/26 3.6g,7/6 3.5g,7/31 3.7g,,,,,,,,,,,,,,,,
6000-80940,6/2/2006,MCGC,BTLH,F,AHY,2006,6/2 3.5g E6,6/4 3.6g E9,,,,,,,,,,,,,,,,,
6000-80944,6/3/2006,MCGC,BTLH,F,AHY,2006,6/3 at CC3 2x,6/4 3.5g E7,,,,,,,,,,,,,,,,,
6000-80945,6/3/2006,CC3,BTLH,F,AHY,2006,6/5 3.9g at MCGC,7/18 3.3g at MCGC,,,,,,,,,,,,,,,,,
6000-80948,6/3/2006,MCGC,BTLH,F,AHY,2006,6/26 4.0g,7/4 3.6g E7,7/8 3.6g,,,,,,,,,,,,,,,,
6000-80949,6/3/2006,MCGC,BTLH,F,AHY,2006,6/4 3.8g ,,,,,,,,,,,,,,,,,,
6000-80950,6/3/2006,MP1,BTLH,F,AHY,2006,6/9 3.4g 2x,,,,,,,,,,,,,,,,,,
6000-80954,6/4/2006,MCGC,BTLH,F,AHY,2006,6/4 again,6/5 3.8g,6/26 3.5g,7/6 3.9g,,,,,,,,,,,,,,,LTW
6000-80955,6/4/2006,MCGC,BTLH,F,AHY,2006,7/19 3.7g,7/27 3.9g,,,,,,,,,,,,,,,,,VHTW
6000-80957,6/4/2006,MCGC,BTLH,F,AHY,2006,6/6 3.6g E6+,,,,,,,,,,,,,,,,,,
6000-80959,6/4/2006,MP1,BTLH,F,AHY,2006,6/7 3.8g E6,,,,,,,,,,,,,,,,,,
6000-80967,6/5/2006,MCGC,BTLH,F,AHY,2006,6/5 again,6/64.1g,6/9 3.4g,,,,,,,,,,,,,,,,
6000-80969,6/5/2006,MCGC,BTLH,F,AHY,2006,7/13 4.1g,,,,,,,,,,,,,,,,,,"y. pollen on bill, L-HTW"
6000-80974,6/5/2006,MCGC,BTLH,F,AHY,2006,6/18 3.3g,6/22 3.3g,7/19 3.3g,,,,,,,,,,,,,,,,M-HTW
6000-80975,6/5/2006,MCGC,BTLH,F,AHY,2006,6/8 3.2g,,,,,,,,,,,,,,,,,,
6000-80976,6/6/2006,CC3,BTLH,F,AHY,2006,8/11 3.5g at MCGC,,,,,,,,,,,,,,,,,,
6000-80977,6/6/2006,MCGC,BTLH,F,AHY,2006,6/7 3.2g,,,,,,,,,,,,,,,,,,
6000-80978,6/6/2006,MCGC,BTLH,F,AHY,2006,6/7 3.2g,,,,,,,,,,,,,,,,,,
6000-80980,6/6/2006,MCGC,BTLH,F,AHY,2006,7/16 3.8g,7/17 3.4g,7/18 3.6g,7/26 3.3g,7/31 3.5g,8/7 3.6g,8/15 3.8g,  8/19 3.7g VLTW,,,,,,,,,,,
6000-80990,6/7/2006,MP1,BTLH,F,AHY,2006,6/9 3.5g,,,,,,,,,,,,,,,,,,
6000-80998,6/7/2006,MP1,BTLH,F,AHY,2006,6/9 3.3g,,,,,,,,,,,,,,,,,,
6000-81004,6/8/2006,KV1,BTLH,F,AHY,2006,6/30 3.5g,,,,,,,,,,,,,,,,,,
6000-81006,6/9/2006,MCGC,BTLH,F,AHY,2006,7/24 4.1g,,,,,,,,,,,,,,,,,,
6000-81011,6/9/2006,MP1,BTLH,F,AHY,2006,7/6 n.w.,,,,,,,,,,,,,,,,,,
6000-81044,6/14/2006,MCGC,BTLH,F,AHY,2006,6/25 3.3g,7/7 3.2g,7/31 3.5g,7/31 3.5g,8/1 3.3g,,,,,,,,,,,,,,L-MTW
6000-81045,6/14/2006,MCGC,BTLH,F,AHY,2006,6/16 3.6g,6/18 3.5g,6/26 4.0g E7,7/7 3.6g,7/17 3.4g,7/19 3.4g,,,,,,,,,,,,,LTW
6000-81047,6/14/2006,MCGC,BTLH,F,AHY,2006,7/13 3.5g,7/16 3.5g,7/17 3.6g,7/27 4.1g,7/31 3.6g,8/10 3.8g,,,,,,,,,,,,,
6000-81049,6/15/2006,MCGC,BTLH,F,AHY,2006,7/4 3.7g,7/63.5g,,,,,,,,,,,,,,,,,
6000-81051,6/15/2006,MCGC,BTLH,F,AHY,2006,7/5 3.9g E6,7/7 4.1g,7/8 3.8g E8,7/27 3.5g,7/28 3.5g,7/28 4.2g,7/31 3.8g,8/21 3.9g HTW,,,,,,,,,,,
6000-81052,6/15/2006,MCGC,BTLH,F,AHY,2006,6/18 3.6g,,,,,,,,,,,,,,,,,,
6000-81054,6/15/2006,MCGC,BTLH,F,AHY,2006,6/23 3.9g,,,,,,,,,,,,,,,,,,
6000-81057,6/16/2006,MCGC,BTLH,F,AHY,2006,7/21 3.8g,,,,,,,,,,,,,,,,,,HTW
6000-81062,6/17/2006,HOLZ,BTLH,F,AHY,2006,6/17 again 2x,6/24 3.4g 2x,6/30 3.6g,7/25 4.0g,8/9 4.5g,,,,,,,,,,,,,,
6000-81063,6/17/2006,HOLZ,BTLH,F,AHY,2006,6/24 3.8g E6,7/4 3.4g ,7/25 3.6g,,,,,,,,,,,,,,,,L-MTW
6000-81065,6/17/2006,GNMTN,BTLH,F,AHY,2006,6/30 3.6g,8/9 3.5g,,,,,,,,,,,,,,,,,
6000-81066,6/17/2006,GNMTN,BTLH,F,AHY,2006,6/24 4.2g E9,,,,,,,,,,,,,,,,,,
6000-81069,6/17/2006,GNMTN,BTLH,F,AHY,2006,8/2 3.8g,,,,,,,,,,,,,,,,,,
6000-81070,6/17/2006,KV1,BTLH,F,AHY,2006,7/25 3.6g at GNMTN,,,,,,,,,,,,,,,,,,
6000-81074,6/17/2006,KV1,BTLH,F,AHY,2006,6/30 3.7g E6,,,,,,,,,,,,,,,,,,
6000-81075,6/17/2006,KV1,BTLH,F,AHY,2006,7/25 3.7g at GNMTN,,,,,,,,,,,,,,,,,,HTW
6000-81078,6/17/2006,KV1,BTLH,F,AHY,2006,6/24 3.6g,,,,,,,,,,,,,,,,,,
6000-81080,6/17/2006,KV1,BTLH,F,AHY,2006,6/24 3.8g,,,,,,,,,,,,,,,,,,
6000-81088,6/18/2006,MCGC,BTLH,F,AHY,2006,7/7 4.1g,7/19 3.3g,,,,,,,,,,,,,,,,,L-MTW
6000-81094,6/22/2006,MCGC,BTLH,F,AHY,2006,7/8 3.3g,7/24 3.8g,,,,,,,,,,,,,,,,,HTW
6000-81095,6/23/2006,MCGC,BTLH,F,AHY,2006,7/4 4.4g E9,,,,,,,,,,,,,,,,,,HTW
6000-81106,5/24/2006,MCGC,BTLH,M,AHY,2006,6/7 3.5g,6/16 3.3g,6/18 3.2g,6/23 3.2g,6/26 3.1g,7/13 3.1g,,,,,,,,,,,,,
6000-81116,5/28/2006,CC3,BTLH,M,AHY,2006,7/17 3.5g at MCGC,,,,,,,,,,,,,,,,,,
6000-81130,6/2/2006,MCGC,BTLH,M,AHY,2006,6/2 3.3g,6/4 3.3g,6/5 3.2g 2x,6/6 3.5g,6/7 3.3g,6/8 3.4g,7/5 3.4g,,,,,,,,,,,,
6000-81131,6/2/2006,MCGC,BTLH,M,AHY,2006,6/7 3.3g,6/8 3.4g,6/9 3.3g,6/16 3.2g,7/16 3.4g,7/27 3.5g,8/17 3.5g,8/19 3.1g,,,,,,,,,,,
6000-81132,6/2/2006,MCGC,BTLH,M,AHY,2006,6/4 3.2g 2x,6/8 3.2g,6/26 3.4g,7/8 3.2g,7/17 3.3g,7/18 3.3g,,,,,,,,,,,,,
6000-81133,6/2/2006,MCGC,BTLH,M,AHY,2006,6/3 3.4g,6/4 3.5g E7,6/9 3.3g,6/13 3.4g,6/23 3.4g,,,,,,,,,,,,,,
6000-81139,6/3/2006,CC3,BTLH,M,AHY,2006,6/6 3.1g,8/16 3.5g at MCGC,,,,,,,,,,,,,,,,,
6000-81142,6/3/2006,MCGC,BTLH,M,AHY,2006,6/3 3.3g,6/4 3.1g,6/5 3.1g,6/8 3.2g,6/9 3.0g,6/13 3.2g,,,,,,,,,,,,,
6000-81147,6/5/2006,MCGC,BTLH,M,AHY,2006,6/15 3.3g,,,,,,,,,,,,,,,,,,
6000-81149,6/5/2006,MCGC,BTLH,M,AHY,2006,6/5 again,6/7 3.4g,6/26 3.4g,7/4 3.4g,7/6 3.2g,7/17 3.5g,8/3 3.8g,,,,,,,,,,,,
6000-81161,6/5/2006,MCGC,BTLH,M,AHY,2006,6/5 again 2x,,,,,,,,,,,,,,,,,,
6000-81167,6/6/2006,CC3,BTLH,M,AHY,2006,7/13 3.4g at MCGC,,,,,,,,,,,,,,,,,,
6000-81169,6/6/2006,MCGC,BTLH,M,AHY,2006,8/15 3.7g at CC3,,,,,,,,,,,,,,,,,,
6000-81171,6/7/2006,MCGC,BTLH,M,AHY,2006,6/9 3.4g,6/16 3.2g,6/23 3.2g,,,,,,,,,,,,,,,,
6000-81187,6/8/2006,MCGC,BTLH,M,AHY,2006,6/9 3.1g,7/16 3.1g,7/17 3.0g,7/18 3.0g,,,,,,,,,,,,,,,
6000-81188,6/8/2006,MCGC,BTLH,M,AHY,2006,6/18 3.3g,,,,,,,,,,,,,,,,,,
9000-11806,6/24/2006,HOLZ,BTLH,F,AHY,2006,6/30 3.5g,7/14 3.7g,7/25 3.7g,8/2 3.7g,,,,,,,,,,,,,,,VHTW
9000-11807,6/24/2006,HOLZ,BTLH,F,AHY,2006,7/14 3.8g E8,8/2 3.7g,,,,,,,,,,,,,,,,,
9000-11808,6/24/2006,HOLZ,BTLH,F,AHY,2006,6/30 4.2g,7/14 3.7g,,,,,,,,,,,,,,,,,
9000-11809,6/24/2006,HOLZ,BTLH,F,AHY,2006,7/25 3.8g,8/9 3.8g,,,,,,,,,,,,,,,,,
9000-11812,6/13/2006,MCGC,BTLH,M,AHY,2006,6/16 3.3g,6/26 3.3g,7/6 3.3g,7/7 3.4g,7/21 3.5g,,,,,,,,,,,,,,
9000-11813,6/13/2006,MCGC,BTLH,M,AHY,2006,6/21 3.3g,6/23 3.2g,7/4 3.1g,7/7 3.2g,8/1 3.3g,8/3 3.3g,8/10 3.3g,8/15 3.5g,8/16 3.3g,,,,,,,,,,
9000-11821,6/14/2006,MCGC,BTLH,M,AHY,2006,8/3 3.6g,,,,,,,,,,,,,,,,,,
9000-11822,6/15/2006,MCGC,BTLH,M,AHY,2006,7/8 3.2g,,,,,,,,,,,,,,,,,,
9000-11824,6/15/2006,MCGC,BTLH,M,AHY,2006,6/18 3.6g,6/23 3.4g,6/26 3.2g,,,,,,,,,,,,,,,,
9000-11825,6/16/2006,MCGC,BTLH,M,AHY,2006,6/25 3.4g,7/5 3.5g,7/7 3.4g,7/8 3.9g,,,,,,,,,,,,,,,
9000-11830,6/17/2006,GNMTN,BTLH,M,AHY,2006,6/24 3.3g,,,,,,,,,,,,,,,,,,
9000-11831,6/17/2006,KV1,BTLH,M,AHY,2006,6/30 3.4g,,,,,,,,,,,,,,,,,,
9000-11836,6/18/2006,MCGC,BTLH,M,AHY,2006,7/17 3.1g,8/13 3.3g,8/16 3.3g,,,,,,,,,,,,,,,,
9000-11837,6/21/2006,MCGC,BTLH,M,AHY,2006,6/22 3.5g,,,,,,,,,,,,,,,,,,
9000-11839,6/22/2006,MCGC,BTLH,M,AHY,2006,6/22 3.1g,6/26 3.2g,7/4 3.1g,7/14 3.3g,,,,,,,,,,,,,,,
9000-11841,6/22/2006,MCGC,BTLH,M,AHY,2006,6/23 3.4g 2x,7/13 3.3g,,,,,,,,,,,,,,,,,
9000-11842,6/23/2006,MCGC,BTLH,M,AHY,2006,7/20 3.3g at CC2,,,,,,,,,,,,,,,,,,
9000-11855,6/25/2006,MCGC,BTLH,M,AHY,2006,7/4 3.3g,7/7 3.4g,7/17 3.2g,,,,,,,,,,,,,,,,
9000-11857,6/25/2006,MCGC,BTLH,M,AHY,2006,7/20 4.0g at CC3 ,,,,,,,,,,,,,,,,,,
9000-11866,7/4/2006,MCGC,BTLH,M,AHY,2006,7/5 3.3g,7/7 3.4g,7/17 3.4g,,,,,,,,,,,,,,,,
9000-11870,7/6/2006,MCGC,BTLH,M,AHY,2006,8/3 3.6g,8/18 3.5g,,,,,,,,,,,,,,,,,
9000-11881,7/7/2006,MCGC,BTLH,M,AHY,2006,7/7 3.2g,7/8 3.3g,,,,,,,,,,,,,,,,,
9000-11886,7/8/2006,MCGC,BTLH,M,AHY,2006,7/8 3.4g,,,,,,,,,,,,,,,,,,
9000-11887,7/12/2006,MP1,BTLH,M,AHY,2006,7/12 former N22231,,,,,,,,,,,,,,,,,,Foreign
9000-11908,6/24/2006,KV1,BTLH,F,AHY,2006,7/14 3.8g,,,,,,,,,,,,,,,,,,HTW
9000-11910,6/24/2006,GNMTN,BTLH,F,AHY,2006,7/14 3.9g,7/25 3.6g,,,,,,,,,,,,,,,,,HTW
9000-11912,6/24/2006,GNMTN,BTLH,F,AHY,2006,6/30 3.6g,7/25 3.8g 2x,8/9 3.7g,,,,,,,,,,,,,,,,
9000-11915*,6/25/2006,MCGC,BTLH,F,AHY,2006,former C53578,,,,,,,,,,,,,,,,,,"2005 yr group, *NEW BAND "
9000-11916,6/25/2006,MCGC,BTLH,F,AHY,2006,7/19 3.8g,,,,,,,,,,,,,,,,,,
9000-11917,6/25/2006,MCGC,BTLH,F,AHY,2006,6/26 3.3g,7/4 3.5g,7/5 3.6g,7/13 3.8g 2x,7/17 3.4g,8/1 3.9g,8/8 3.3g,,,,,,,,,,,,MTW
9000-11918,6/25/2006,MCGC,BTLH,F,AHY,2006,7/18 3.6g,7/27 3.5g,,,,,,,,,,,,,,,,,
9000-11921,6/26/2006,MCGC,BTLH,F,AHY,2006,7/6 4.7g E8,7/7 3.3g,7/13 3.6g,7/17 3.5g,,,,,,,,,,,,,,,
9000-11922,6/26/2006,MCGC,BTLH,F,AHY,2006,7/18 4.1g,7/27 4.0g,,,,,,,,,,,,,,,,,HTW
9000-11924,6/26/2006,MCGC,BTLH,F,AHY,2006,7/4 3.8g,7/7 3.8g 2x,7/17 3.5g,7/18 3.5g,7/31 3.9g,8/3 3.6g,8/13 3.4g,8/19 4.0g,,,,,,,,,,,
9000-11925*,6/26/2006,MCGC,BTLH,F,AHY,2006,former C53543,,,,,,,,,,,,,,,,,,"2005 yr group, *NEW BAND "
9000-11930,6/28/2006,NFPC,BTLH,F,AHY,2006,7/5 3.6g at MCGC,7/31 3.9g at MCGC,,,,,,,,,,,,,,,,,
9000-11934,6/30/2006,HOLZ,BTLH,F,AHY,2006,7/25 3.9g,8/9 n.w.,,,,,,,,,,,,,,,,,LTW
9000-11935,6/30/2006,HOLZ,BTLH,F,AHY,2006,7/14 3.7g,7/25 3.8g 3x,8/9 3.5g,8/17 3.8g,,,,,,,,,,,,,,,MTW
9000-11946,6/30/2006,GNMTN,BTLH,F,AHY,2006,8/2 3.5g,,,,,,,,,,,,,,,,,,HTW
9000-11947,6/30/2006,GNMTN,BTLH,F,AHY,2006,6/30 again,,,,,,,,,,,,,,,,,,
9000-11949,6/30/2006,GNMTN,BTLH,F,AHY,2006,8/17 3.8g,,,,,,,,,,,,,,,,,,HTW
9000-11976,7/20/2006,MCGC,RUHU,F,AHY,2006,7/21 3.7g,,,,,,,,,,,,,,,,,,
9000-11983,7/4/2006,MCGC,BTLH,F,AHY,2006,7/6 n.w. E8,7/16 3.7g,7/27 3.8g,8/1 3.6g,8/10 3.5g,8/11 3.4g,8/13 3.5g,8/18 3.5g,8/24 3.7g,,,,,,,,,,
9000-11984,7/4/2006,MCGC,BTLH,F,AHY,2006,7/7 3.3g,7/16 3.3g,,,,,,,,,,,,,,,,,HTW
9000-11985,7/4/2006,MCGC,BTLH,F,AHY,2006,7/7 4.3g,7/16 4.1g,7/17 4.1g,7/19 3.6g,7/24 3.8g,7/28 4.0g,8/1 3.9g,,,,,,,,,,,,LTW
9000-11987,7/4/2006,MCGC,BTLH,F,AHY,2006,7/17 3.6g at CC3,,,,,,,,,,,,,,,,,,HTW
9000-11988,7/4/2006,MCGC,BTLH,F,AHY,2006,7/7 3.9g E8,,,,,,,,,,,,,,,,,,
9000-11991,7/4/2006,MCGC,BTLH,F,AHY,2006,7/5 3.8g,7/17 3.6g,,,,,,,,,,,,,,,,,MTW
9000-11994,7/4/2006,MCGC,BTLH,F,AHY,2006,8/8 3.9g,8/12 3.6g,8/13 3.4g,8/19 3.6g,,,,,,,,,,,,,,,HTW
9000-11995,7/4/2006,MCGC,BTLH,F,AHY,2006,7/19 3.7g,7/31 3.5g 2x,8/24 3.7g,,,,,,,,,,,,,,,,
9000-11996,7/4/2006,MCGC,BTLH,F,AHY,2006,7/7 3.6g,7/8 3.5g,7/16 3.6g,7/18 3.5g,7/19 3.3g,7/21 3.3g,7/31 3.5g,8/10 3.7g,8/15 3.6g,,,,,,,,,,MTW
9000-11998,7/5/2006,MCGC,BTLH,F,AHY,2006,8/11 3.2g,,,,,,,,,,,,,,,,,,
9000-11999,7/6/2006,MCGC,BTLH,F,AHY,2006,7/13 4.0g,7/24 4.0g,,,,,,,,,,,,,,,,,
9000-12000,7/6/2006,MCGC,BTLH,F,AHY,2006,7/7 3.6g,7/16 3.5g,7/19 3.3g,7/21 3.9g,7/24 3.7g,7/27 3.7g,8/16 3.7g,,,,,,,,,,,,
9000-12010,7/7/2006,MCGC,BTLH,F,AHY,2006,7/16 3.9g,7/19 3.7g,7/31 3.8g,8/1 3.6g,8/8 3.6g,,,,,,,,,,,,,,
9000-12011,7/7/2006,MCGC,BTLH,F,AHY,2006,7/8 4.0g E8,,,,,,,,,,,,,,,,,,
9000-12013,7/7/2006,MCGC,BTLH,F,AHY,2006,7/18 4.0g,7/24 3.5g,7/31 3.4g,8/16 3.3g,,,,,,,,,,,,,,,
9000-12015,7/7/2006,MCGC,BTLH,F,AHY,2006,7/13 3.3g,7/16 3.2g,,,,,,,,,,,,,,,,,
9000-12018,7/8/2006,MCGC,BTLH,F,AHY,2006,7/17 3.5g,7/18 3.8g,7/19 3.5g,,,,,,,,,,,,,,,,
9000-12019,7/8/2006,MCGC,BTLH,F,AHY,2006,7/18 3.8g,7/26 4.1g,7/31 3.7g,8/15 3.8g w/E12249,,,,,,,,,,,,,,,
9000-12040,7/13/2006,MCGC,BTLH,F,AHY,2006,7/16 3.8g E8,,,,,,,,,,,,,,,,,,HTW
9000-12042,7/14/2006,HOLZ,BTLH,F,AHY,2006,8/9 3.5g,,,,,,,,,,,,,,,,,,
9000-12043,7/14/2006,HOLZ,BTLH,F,AHY,2006,8/2 3.4g,,,,,,,,,,,,,,,,,,
9000-12045,7/14/2006,HOLZ,BTLH,F,AHY,2006,8/2 3.7g,,,,,,,,,,,,,,,,,,MTW
9000-12046,7/14/2006,HOLZ,BTLH,F,AHY,2006,7/14 again,7/25 3.2g 2x,,,,,,,,,,,,,,,,,VLTW
9000-12051,7/14/2006,GNMTN,BTLH,F,AHY,2006,7/25 3.5g,8/9 3.4g,8/17 3.2g,,,,,,,,,,,,,,,,VLTW
