Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
9000-39359,06/14/07,MCGC,BTLH,F,AHY,2007,"7/19, 3.7g at CC3 HTW",,,,,,,,,,,,,,,,,
9000-39364,06/17/07,MCGC,BTLH,F,AHY,2007,"6/21, 3.8g ","7/2, 2X, 3.7-4.2g",,"7/9, 3.4g NTW",,,,,,,,,,,,,,
9000-39366,06/17/07,MCGC,BTLH,F,AHY,2007,"6/21, 3.9g","7/9, 3.6g","7/10, 3.9g","7/14, 3.6g at WC1","7/20, 4.1g","7/27, n.w. MTW",,,,,,,,,,,,
9000-39367,06/17/07,MCGC,BTLH,F,AHY,2007,"7/14, 3.7g NTW",,,,,,,,,,,,,,,,,
9000-39382,06/18/07,MCGC,BTLH,F,AHY,2007,"6/22, 3.5g, E6","7/10, 3.6g","7/18, 3.3g","7/25, 3.7g NTW ",,,,,,,,,,,,,,
9000-39413,06/20/07,KV1,BTLH,F,AHY,2007,"8/1, 3.2g NTW",,,,,,,,,,,,,,,,,
9000-39414,06/20/07,GNMTN,BTLH,F,AHY,2007,"8/1, 3.9g LTW",,,,,,,,,,,,,,,,,
9000-39417,06/20/07,GNMTN,BTLH,F,AHY,2007,"8/23, 3.6g MTW",,,,,,,,,,,,,,,,,
9000-39422,06/20/07,GNMTN,BTLH,F,AHY,2007,"8/1, 3.9g NTW",,,,,,,,,,,,,,,,,
9000-39425,06/20/07,GNMTN,BTLH,F,AHY,2007,"8/1, 3.9g NTW",,,,,,,,,,,,,,,,,
9000-39427,06/20/07,GNMTN,BTLH,F,AHY,2007,"7/6, 4.2g NTW",,,,,,,,,,,,,,,,,
9000-39428,06/20/07,GNMTN,BTLH,F,AHY,2007,"7/6, 3.1g",,,,,,,,,,,,,,,,,
9000-39429,06/21/07,MCGC,BTLH,F,AHY,2007,"7/8, 3.1g LTW",,,,,,,,,,,,,,,,,
9000-39430,06/21/07,MCGC,BTLH,F,AHY,2007,"7/14, 4.0g","7/17, 3.4g","7/18, 3.6g LTW","7/30, 3.6g HTW",8/3 3.2g,"8/7, 3.4g HTW",,,,,,,,,,,,
9000-39431,06/21/07,MCGC,BTLH,F,AHY,2007,"6/30, 3.9g","7/18, 3.8g","7/31, 3.4g MTW",,,,,,,,,,,,,,,
9000-39432,06/21/07,MCGC,BTLH,F,AHY,2007,"6/23, 3.1g","6/30, 3.8g E7","7/9, 3.5g HTW",,,,,,,,,,,,,,,
9000-39436,06/21/07,MCGC,BTLH,F,AHY,2007,"7/10, 3.2g NTW",,,,,,,,,,,,,,,,,
9000-39446,06/21/07,MP1,BTLH,F,AHY,2007,"8/8, 3.5g NTW",,,,,,,,,,,,,,,,,
9000-39452,06/22/07,GC1,BTLH,F,AHY,2007,"7/7, 3.3g HTW",,,,,,,,,,,,,,,,,
