Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments,
9000-12283,08/01/2006,MP1,BTLH,F,HY,2008,"7/2, 3.2g, male",,,,,,,,,,,,,,,,,,
9000-12288,08/01/2006,MP1,BTLH,F,AHY,2008,"6/11, 4.0g, E8",,,,,,,,,,,,,,,,,,
9000-12297,08/01/2006,MP1,BTLH,F,AHY,2008,"8/11, 3.5g vltw",,,,,,,,,,,,,,,,,,
9000-12311,08/01/2006,MCGC,BTLH,F,HY,2008,"6/23, 3.8g","7/1, 3.7g at CC2",,,,,,,,,,,,,,,,,
9000-12317,08/02/2006,HOLZ,BTLH,F,AHY,2008,"6/7, 4.2g E8","6/14, 3.9g E7",,,,,,,,,,,,,,,,,
9000-12340,08/03/2006,MP1,BTLH,F,AHY,2008,"6/17, 3.6g at HPK1",,,,,,,,,,,,,,,,,,
9000-12342,08/03/2006,MP1,BTLH,F,AHY,2008,"6/24, 3.5g",,,,,,,,,,,,,,,,,,
9000-12349,08/04/2006,MCGC,BTLH,F,HY,2008,"6/23, 3.7g",6/28. 3.6g,"6/29, 3.7g","7/2, 3.8g","7/8, 3.5g","8/10, 4.2g mtw",,,,,,,,,,,,,
9000-12389,08/09/2006,GNMTN,BTLH,F,AHY,2008,"6/28, 3.6g","7/13, 3.7g","8/21, 3.5g htw at HOLZ","8/27, 3.4g htw","9/4, 3.3g at HOLZ",,,,,,,,,,,,,,
9000-12410,08/10/2006,MCGC,BTLH,F,AHY,2008,"7/6, n.w .",,,,,,,,,,,,,,,,,,
9000-12414,08/10/2006,MCGC,BTLH,F,AHY,2008,"6/23, 4.0g","7/14, 3.5g",,,,,,,,,,,,,,,,,
9000-12416,08/10/2006,MP1,BTLH,F,AHY,2008,"6/3, 3.7g",,,,,,,,,,,,,,,,,,
9000-12434,08/12/2006,MP1,BTLH,F,AHY,2008,"7/2, 3.8g E7",,,,,,,,,,,,,,,,,,
9000-12435,08/12/2006,MP1,BTLH,F,AHY,2008,"6/6, 3.7g E6","6/8, 3.7g E9",,,,,,,,,,,,,,,,,
9000-12455,08/16/2006,MP1,BTLH,F,AHY,2008,"6/8, 3.8g ntw",,,,,,,,,,,,,,,,,,
9000-12484,08/20/2008,HPK1,BTLH,M,HY,2008,"6/16, 3.3g at MP1",,,,,,,,,,,,,,,,,,
9000-12490,08/23/2006,MCGC,BTLH,F,HY,2008,"5/17, 3.5g, male","6/28, 3.4g",,,,,,,,,,,,,,,,,
9000-12510,08/20/2006,HPK1,BTLH,F,HY,2008,"6/17, 3.2g",,,,,,,,,,,,,,,,,,
