Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments,
9000-91112,08/03/2008,MCGC,CAHU,M,AHY,2008,"8/7, 3.6g 2x",,,,,,,,,,,,,,,,,,
9000-91119,08/07/2008,MCGC,CAHU,M,HY,2008,"9/7, again",,,,,,,,,,,,,,,,,,
9000-91122,08/03/2008,CC3,BTLH,F,AHY,2008,"8/7, 3.2g at MCGC","8/16, 3.5g ntw  at MCGC",,,,,,,,,,,,,,,,,
9000-91123,08/03/2008,CC3,BTLH,F,AHY,2008,"8/3, again",,,,,,,,,,,,,,,,,,
9000-91130,08/03/2008,MCGC,BTLH,F,AHY,2008,"8/11, 4.8g ltw",,,,,,,,,,,,,,,,,,
9000-91132,08/04/2008,MCGC,RUHU,M,AHY,2008,"8/4, again",,,,,,,,,,,,,,,,,,
9000-91136,08/02/2008,MCGC,CAHU,F,AHY,2008,"8/2, again",,,,,,,,,,,,,,,,,,
9000-91153,07/30/2008,MCGC,BTLH,F,HY,2008,"8/3, 4.5g",,,,,,,,,,,,,,,,,,
9000-91168,07/31/2008,KV1,BTLH,F,AHY,2008,"8/15, 3.9g ltw",,,,,,,,,,,,,,,,,,
9000-91170,07/31/2008,KV1,BTLH,F,AHY,2008,"8/6, 3.5g htw",,,,,,,,,,,,,,,,,,
9000-91171,07/31/2008,KV1,BTLH,F,AHY,2008,"8/21, 3.6g ltw",,,,,,,,,,,,,,,,,,
9000-91172,07/23/2008,KV1,BTLH,F,AHY,2008,"7/31, 3.8g ntw",,,,,,,,,,,,,,,,,,
9000-91174,07/31/2008,HOLZ,BTLH,F,AHY,2008,"8/6, 3.3g mtw","8/21, n.w . w /E91241 HY",,,,,,,,,,,,,,,,,
9000-91175,07/31/2008,HOLZ,BTLH,F,AHY,2008,8/6 3.4g ntw,,,,,,,,,,,,,,,,,,
9000-91177,07/31/2008,HOLZ,BTLH,F,AHY,2008,"8/6, 3.5g htw",8/21/1020 3.6g,8/21 3.5g at GNMTN at 1715,,,,,,,,,,,,,,,,
9000-91178,07/31/2008,HOLZ,BTLH,F,AHY,2008,"8/6, 3.6g ltw",,,,,,,,,,,,,,,,,,
9000-91179,07/31/2008,HOLZ,BTLH,F,AHY,2008,"8/21,3.4g htw","8/27, 3.7g",,,,,,,,,,,,,,,,,
9000-91194,08/01/2008,MCGC,BTLH,F,AHY,2008,"8/11, 3.4g l-mtw",,,,,,,,,,,,,,,,,,
9000-91195,08/02/2008,MCGC,BTLH,F,AHY,2008,"8/3, 3.9g","8/7, 3.4g",,,,,,,,,,,,,,,,,
9000-91196,08/02/2008,MCGC,BTLH,F,AHY,2008,"8/7, 3.3g ntw","8/20, 3.4g mtw",,,,,,,,,,,,,,,,,
9000-91198,08/02/2008,MCGC,BTLH,F,AHY,2008,"8/16, 3.6g ntw",,,,,,,,,,,,,,,,,,
9000-91199,08/02/2008,MCGC,BTLH,F,AHY,2008,"8/10, 3.4g","8/12, 3.6g ltw",8/19 3.4g,,,,,,,,,,,,,,,,
9000-91206,08/15/2008,GNMTN,BTLH,F,HY,2008,"7/15, again",,,,,,,,,,,,,,,,,,
9000-91212,08/16/2008,MCGC,BTLH,F,HY,2008,"8/16, again",,,,,,,,,,,,,,,,,,
9000-91213,08/16/2008,MCGC,BTLH,F,HY,2008,"8/16, 3.4g 2x","8/17, 3.3g",,,,,,,,,,,,,,,,,
9000-91214,08/16/2008,MCGC,BTLH,F,AHY,2008,"8/16, again, 2","8/19, 3.4g htw",,,,,,,,,,,,,,,,,
9000-91215,08/16/2008,MCGC,BTLH,F,HY,2008,"8/17, 3.9g",,,,,,,,,,,,,,,,,,
9000-91219,08/20/2008,MCGC,BTLH,F,HY,2008,"8/24, 3.2g",,,,,,,,,,,,,,,,,,
9000-91221,08/20/2008,MCGC,BTLH,F,AHY,2008,"8/20, 3.5g htw  at CC2",,,,,,,,,,,,,,,,,,
9000-91223,08/20/2008,CC2,BTLH,F,HY,2008,"8/22, 3.4g at MCGC",,,,,,,,,,,,,,,,,,
9000-91224,08/21/2008,HOLZ,BTLH,F,HY,2008,"8/21, 3.8g l-mtw",,,,,,,,,,,,,,,,,,
9000-91226,08/21/2008,HOLZ,BTLH,F,AHY,2008,"8/21, again",,,,,,,,,,,,,,,,,,
9000-91227,08/21/2008,HOLZ,BTLH,F,AHY,2008,"8/27, 3.8g l-mtw",,,,,,,,,,,,,,,,,,
9000-91233,08/20/2008,MCGC,BTLH,M,HY,2008,"8/23, 3.2g",,,,,,,,,,,,,,,,,,
9000-91240,08/21/2008,HOLZ,RUHU,F,AHY,2008,"8/21, again",,,,,,,,,,,,,,,,,,
9000-91241,08/21/2008,HOLZ,BTLH,M,HY,2008,"8/27, 4.1g 2x",,,,,,,,,,,,,,,,,,
9000-91251,08/19/2008,GC1,BTLH,M,HY,2008,"8/19, again 3x","8/28, 3.5g at HPK1",,,,,,,,,,,,,,,,,
9000-91258,08/23/2008,HPK1,BTLH,M,HY,2008,"8/25, 3.8g",,,,,,,,,,,,,,,,,,
9000-91285,08/16/2008,MCGC,RUHU,F,HY,2008,"8/17, 3.8g",,,,,,,,,,,,,,,,,,
9000-91287,08/16/2008,MCGC,BTLH,M,HY,2008,"8/17, 3.6g","8/26, 3.4g",,,,,,,,,,,,,,,,,
9000-91297,08/21/2008,HOLZ,RUHU,M,HY,2008,"8/21, again",,,,,,,,,,,,,,,,,,
9000-91301,08/11/2008,MCGC,CAHU,M,HY,2008,"8/12, n.w . 2x","8/13, 3.5g",,,,,,,,,,,,,,,,,
9000-91304,08/13/2008,HPK1,CAHU,M,HY,2008,"8/13, again 2x",,,,,,,,,,,,,,,,,,
9000-91309,08/19/2008,GC1,CAHU,M,HY,2008,"8/15, again",,,,,,,,,,,,,,,,,,
9000-91322,08/14/2008,MCGC,BTLH,F,HY,2008,"8/17, 3.8g",,,,,,,,,,,,,,,,,,
9000-91332,08/14/2008,MP1,BTLH,F,HY,2008,"8/14, again",,,,,,,,,,,,,,,,,,
9000-91348,08/15/2008,KV1,BTLH,F,AHY,2008,"8/15, again",,,,,,,,,,,,,,,,,,
9000-91350,08/15/2008,KV1,BTLH,F,HY,2008,"8/15, again",,,,,,,,,,,,,,,,,,
9000-91368,08/11/2008,MP1,BTLH,F,AHY,2008,"8/26, 3.5g htw",,,,,,,,,,,,,,,,,,
9000-91381,08/07/2008,MCGC,RUHU,F,HY,2008,"8/7, again",,,,,,,,,,,,,,,,,,
3100-41414,08/26/2008,HPK1,BTLH,F,AHY,2008,"8/28, 3.8g",,,,,,,,,,,,,,,,,,
3100-41420,08/28/2008,CC2,BTLH,F,HY,2008,"8/28, again",,,,,,,,,,,,,,,,,,
3100-41427,08/30/2008,MP1,BTLH,F,HY,2008,"9/5, 3.6g",,,,,,,,,,,,,,,,,,
3100-41488,09/02/2008,HPK1,BTLH,M,HY,2008,"9/2, again","9/3, 3.9g","9/5, 3.9g 2x","9/6, 4.1g",,,,,,,,,,,,,,,
3100-41496,08/31/2008,CC2,BTLH,F,HY,2008,"9/6, 3.8g at MCGC",,,,,,,,,,,,,,,,,,
3100-41504,09/03/2008,CC2,BTLH,F,HY,2008,"9/6, 4.2g 2x",,,,,,,,,,,,,,,,,,
3100-41509,09/06/2008,CC3,BTLH,F,HY,2008,"9/6, again 3x",,,,,,,,,,,,,,,,,,
3100-41512,09/07/2008,MP1,BTLH,F,HY,2008,9/7 again,,,,,,,,,,,,,,,,,,
3100-41523,09/04/2008,GNMTN,RUHU,F,HY,2008,"9/4, again",,,,,,,,,,,,,,,,,,
3100-41524,09/05/2008,MCGC,BTLH,M,HY,2008,"9/5, again","9/6, 3.7g at CC3",,,,,,,,,,,,,,,,,
