Band Number,Recapture Date,Recapture Site,Species,Recaptured Sex,Recapture Age,Recapture Year,Recapture 1,Comments
3100-41822,6/11/2012,MP1,BTLH,F,AHY,2012,3.28,
4100-58504,6/11/2012,MP1,BTLH,F,AHY,2012,3.65,
4100-59481,6/11/2012,MP1,BTLH,F,AHY,2012,3.55,
4100-59160,6/11/2012,MP1,BTLH,F,AHY,2012,3.57,
4100-59757,6/11/2012,MP1,BTLH,F,AHY,2012,3.59,
9000-39860,6/11/2012,MP1,BTLH,F,AHY,2012,3.47,
4100-59021,6/11/2012,MP1,BTLH,M,AHY,2012,3.2,
4100-08172,6/11/2012,MP1,BTLH,F,AHY,2012,3.28,
9100-23153,6/13/2012,HOLZ,BTLH,M,AHY,2012,3.3,
9100-23192,6/13/2012,HOLZ,BTLH,M,AHY,2012,3.13,
4100-59598,6/13/2012,HOLZ,BTLH,M,AHY,2012,3.14,
4100-58723,6/13/2012,HOLZ,BTLH,F,AHY,2012,3.4,
4100-58517,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.68,
4100-08817,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.66,
4100-08619,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.63,
4100-59427,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.93,
9100-23379,6/13/2012,GNMTN,BTLH,F,AHY,2012,,Banded earlier today
9100-23305,6/13/2012,GNMTN,BTLH,M,AHY,2012,,Banded earlier today
4100-59390,6/13/2012,GNMTN,BTLH,F,AHY,2012,4,
9100-23257,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.66,
9000-90915,6/18/2012,MP1,BTLH,F,AHY,2012,3.72,
4100-13781,6/18/2012,MP1,BTLH,F,AHY,2012,3.94,Foreign
4100-08716,6/18/2012,MP1,BTLH,F,AHY,2012,3.62,
9100-23402,6/18/2012,MP1,BTLH,F,AHY,2012,3.86,Banded earlier today
9100-22996,6/18/2012,MP1,BTLH,F,AHY,2012,4.81,
9100-23211,6/18/2012,MP1,BTLH,M,AHY,2012,3.46,
4100-59876,6/18/2012,MP1,BTLH,M,AHY,2012,3.19,
9100-23277,6/19/2012,MP1,BTLH,F,AHY,2012,3.35,
9100-22969,6/19/2012,MP1,BTLH,F,AHY,2012,3.74,
9100-22874,6/19/2012,MP1,BTLH,F,AHY,2012,3.45,
9100-23211,6/19/2012,MP1,BTLH,M,AHY,2012,3.3,
4100-13781,6/19/2012,MP1,BTLH,F,AHY,2012,3.76,
9100-23053,6/19/2012,MP1,BTLH,M,AHY,2012,3.27,
3100-42497,6/19/2012,MP1,BTLH,F,AHY,2012,3.94,
9100-23243,6/19/2012,MP1,BTLH,M,AHY,2012,3.4,
4100-59020,6/19/2012,MP1,BTLH,M,AHY,2012,3,
4100-59021,6/19/2012,MP1,BTLH,M,AHY,2012,3.29,
4100-59108,6/19/2012,MP1,BTLH,F,AHY,2012,3.65,
9100-23273,6/19/2012,MP1,BTLH,F,AHY,2012,3.48,
4100-08173,6/19/2012,MP1,BTLH,F,AHY,2012,3.87,
4100-59164,6/19/2012,MP1,BTLH,M,AHY,2012,3.21,
4100-59464,6/19/2012,MP1,BTLH,F,AHY,2012,3.37,
9100-23322,6/19/2012,MP1,BTLH,M,AHY,2012,3.06,
9100-22993,6/19/2012,MP1,BTLH,F,AHY,2012,3.94,
4100-59759,6/19/2012,MP1,BTLH,F,AHY,2012,3.59,
3100-42735,6/19/2012,MP1,BTLH,F,AHY,2012,3.6,
9000-39929,6/19/2012,MP1,BTLH,F,AHY,2012,3.84,
9100-22970,6/19/2012,MP1,BTLH,F,AHY,2012,3.5,
9100-23359,6/19/2012,MP1,BTLH,F,AHY,2012,3.34,
9100-23011,6/19/2012,MP1,BTLH,M,AHY,2012,3.12,
9000-39412,6/21/2012,KV1,BTLH,F,AHY,2012,3.43,
9100-22926,6/21/2012,KV1,BTLH,F,AHY,2012,3.45,
4100-08902,6/21/2012,KV1,BTLH,F,AHY,2012,3.61,
4100-59487,6/21/2012,GNMTN,BTLH,F,AHY,2012,3.45,
9100-23383,6/21/2012,GNMTN,BTLH,M,AHY,2012,3.77,
9100-23155,6/21/2012,GNMTN,BTLH,M,AHY,2012,3.38,
4100-59425,6/21/2012,GNMTN,BTLH,F,AHY,2012,4.65,
3100-41700,6/21/2012,GNMTN,BTLH,F,AHY,2012,,
9000-90560,6/21/2012,HOLZ,BTLH,M,AHY,2012,3.19,
9100-23192,6/21/2012,HOLZ,BTLH,M,AHY,2012,3.17,
4100-08547,6/21/2012,HOLZ,BTLH,F,AHY,2012,3.5,
3100-42601,6/21/2012,HOLZ,BTLH,F,AHY,2012,3.64,
9100-23143,6/21/2012,HOLZ,BTLH,F,AHY,2012,3.81,
4100-59923,6/21/2012,HOLZ,BTLH,F,AHY,2012,3.6,
9100-23145,6/21/2012,HOLZ,BTLH,F,AHY,2012,3.56,
9000-39890,6/21/2012,HOLZ,BTLH,F,AHY,2012,3.65,
9100-23150,6/21/2012,HOLZ,BTLH,M,AHY,2012,3.3,
9100-23153,6/21/2012,HOLZ,BTLH,M,AHY,2012,3.46,
9100-23263,7/6/2012,GNMTN,BTLH,F,AHY,2012,,
9100-23464,7/6/2012,GNMTN,BTLH,F,AHY,2012,,
9000-90129,7/6/2012,GNMTN,BTLH,F,AHY,2012,"E8+, 4.6",
4100-08774,7/6/2012,GNMTN,BTLH,F,AHY,2012,3.9,
4100-59835,7/6/2012,GNMTN,BTLH,F,AHY,2012,3.6,
4100-08915,7/6/2012,GNMTN,BTLH,F,AHY,2012,3.8,
9100-23157,7/6/2012,GNMTN,BTLH,M,AHY,2012,3.2,
9100-22958,7/6/2012,GNMTN,BTLH,F,AHY,2012,3.4,
4100-58937,7/6/2012,HOLZ,BTLH,F,AHY,2012,"E8, 4.1",New band: 9100-23557; E8
9100-23142,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.5,
9100-23480,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.4,
4100-59952,7/6/2012,HOLZ,BTLH,F,AHY,2012,"E9, 4.1",
9100-23481,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.7,
9100-23147,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.4,
9100-23145,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.4,
9100-23508,7/6/2012,HOLZ,BTLH,M,AHY,2012,3.3,
4100-08547,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.5,
9100-23490,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.7,
9100-23556,7/6/2012,HOLZ,BTLH,F,AHY,2012,"E7+, 3.8",
9100-23147,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.6,
9100-23376,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.6,
9100-23138,7/6/2012,HOLZ,BTLH,F,AHY,2012,3.5,
9100-23301,7/6/2012,HOLZ,BTLH,M,AHY,2012,3.2,
4100-59190,7/8/2012,MP1,BTLH,M,AHY,2012,3.13,
4100-07822,7/8/2012,MP1,BTLH,F,AHY,2012,"fat, 4.57",fat
9100-22941,7/8/2012,MP1,BTLH,F,AHY,2012,3.46,
9100-22997,7/8/2012,MP1,BTLH,F,AHY,2012,3.83,
4100-58833,7/8/2012,MP1,BTLH,F,AHY,2012,3.9,
4100-59151,7/8/2012,MP1,BTLH,F,AHY,2012,3.59,
9100-23431,7/8/2012,MP1,BTLH,F,AHY,2012,3.67,
3100-42873,7/8/2012,MP1,BTLH,F,AHY,2012,3.95,
4100-08834,7/8/2012,MP1,BTLH,F,AHY,2012,3.63,
3100-42304,7/8/2012,MP1,BTLH,F,AHY,2012,3.33,
9100-23361,7/8/2012,MP1,BTLH,F,AHY,2012,4.16,
4100-58569,7/8/2012,MP1,BTLH,M,AHY,2012,3.11,
4100-59828,7/8/2012,MP1,BTLH,F,AHY,2012,3.93,
4100-59635,7/8/2012,MP1,BTLH,F,AHY,2012,3.59,
9100-22932,7/8/2012,MP1,BTLH,F,AHY,2012,,
9100-22950,7/8/2012,MP1,BTLH,F,AHY,2012,,
9000-90251,7/8/2012,MP1,BTLH,F,AHY,2012,3.8,
4100-59190,7/8/2012,MP1,BTLH,F,AHY,2012,3.78,
4100-59151,7/8/2012,MP1,BTLH,F,AHY,2012,,again
