Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Comments
4000-47791,6/10/2004,MCGC,BTLH,F,AHY,"7/24, 3.6g",,,,,,,,,,
4000-47793,6/11/2004,MCGC,BTLH,F,AHY,"6/18, 3.5g",,,,,,,,,,
4000-47794,6/11/2004,MCGC,BTLH,F,AHY,"5/15, 4.0g","6/15, 3.6g","6/16, 4.0g 2x","6/27, 3.6g",,,,,,,
4000-47796,6/12/2004,MCGC,BTLH,F,AHY,"6/13, 3.2g",,,,,,,,,,
4000-47797,6/12/2004,MCGC,BTLH,F,AHY,"6/13, 3.3g","6/15, 3.4g","6/15, 3.4g 2x","6/16, 3.4g 2x","6/17, 3.4g","6/19, 3.5g",,,,,
4000-47798,6/12/2004,MCGC,BTLH,M,AHY,"6/15, 3.0g","6/16, 3.0g","6/18, 3.1g",,,,,,,,
4000-88228,6/13/2004,MCGC,BTLH,F,SY,"Foreign- banded in AZ, 21 Sep 2003 ",,,"6/18, 3.6g",,,,,,,
5000-29451,6/14/2004,MCGC,BTLH,F,AHY,"6/15, 3.2g 2x","6/16, 3.3g 2x","6/17, 3.2g","6/18, 3.6g","7/14, 3.6g","7/19, 3.3g ","7/21, 3.1g mtw ",,,,
5000-29452,6/14/2004,MCGC,BTLH,F,AHY,"6/17, 3.4g","6/26, 3.5g","6/27, 3.8g",,,,,,,,
5000-29453,6/14/2004,MCGC,BTLH,F,AHY,"6/17, 3.7g E8",,,,,,,,,,
5000-29456,6/14/2004,MCGC,BTLH,F,AHY,"6/15, 3.2g","6/16, 3.5g",,,,,,,,,
5000-29458,6/14/2004,MCGC,BTLH,F,AHY,"6/16, 3.4g",,,,,,,,,,
5000-29459,6/14/2004,MCGC,BTLH,F,AHY,"6/17, 3.5g","6/18, 4.0g",,,,,,,,,
