Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length ,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29366,8/5/2003,1740,MCGC,FE,RUHU,M,HY,3.9,42.6,16,26.2,3,,2 C,,90%,
5000-29367,8/5/2003,1755,MCGC,TE,BTLH,F,HY,3.9,49.5,18,29,5,,,L,80%,
5000-29368,8/5/2003,1958,MCGC,FE,RUHU,F,HY,3.7,45.2,17.8,27.1,4.3,,,,90%,
5000-29369,8/5/2003,1820,MCGC,FE,BTLH,F,AHY,4,49.8,18.9,27,5,,,L,,
5000-29370,8/6/2003,1705,MCGC,FE,RUHU,M,HY,3.5,43.J62,16.2,27.9,3.4,,2 C,,85%,
5000-29371,8/6/2003,1712,MCGC,FE,BTLH,F,HY,3.5,49.3,17,29,5.5,,,M,90%,
5000-29372,8/6/2003,1740,MCGC,FE,RUHU,F,AHY,3.8,43.4,17.4,26.7,4,,many,,,
5000-29373,8/6/2003,1748,MCGC,FE,RUHU,F,HY,3.6,45,17.6,26,3.8,,,L,85%,
5000-29374,8/6/2003,1811,MCGC,FE,RUHU,F,AHY,4.3,43.9,17.7,26.5,3.5,"H, r3-5",many C,,,
5000-29375,8/6/2003,1758,MCGC,FE,BTLH,F,AHY,3.5,49.7,18.8,30.5,5.8,"L, r3-4",,,,"old injury to l side of bill at base, 3.5 mm"
5000-29376,8/6/2003,1820,MCGC,FE,RUHU,F,AHY,4.5,43.7,17.7,25.5,3.7,"M, r3-5",10 C,,,
5000-29377,8/6/2003,1823,MCGC,FE,RUHU,M,HY,3.5,42.3,17.2,27.9,3.2,,4 C,M,80%,
5000-29378,8/6/2003,1853,MCGC,FE,RUHU,F,AHY,4.2,44.7,17.3,27.8,3.5,,18+ C,,,
5000-29379,8/6/2003,1950,MCGC,FE,RUHU,F,AHY,4,43.5,18.1,28.1,3.9,"L, r3",10 C,,,
5000-29380,8/6/2003,1915,MCGC,FE,RUHU,M,HY,3.7,41.1,16,25.5,3.5,,3 C,M,90%,"AHY r5 rt side, 2.0mm., no rt r4 visible"
5000-29381,8/6/2003,1938,MCGC,FE,RUHU,F,HY,3.8,45.6,17.2,26.5,4.5,"L, r3",,VL,85%,
5000-29388,8/10/2003,1818,MCGC,FE,RUHU,M,HY,3.8,42.5,16.2,27,3.2,,4 C,M,85%,
5000-29389,8/10/2003,1820,MCGC,FE,RUHU,M,HY,3.2,43.2,15.5,26,3,,5 C,M,80%,
5000-29390,8/11/2003,625,MCGC,FE,CAHU,F,HY,2.7,44.5,15,21.5,4,,,L,85%,pollen on top of bill. Unusual r1-5 color
5000-29394,8/11/2003,625,MCGC,FE,RUHU,F,HY,3.3,44.8,17.6,26,4,,,L-M,85%,
5000-29396,8/11/2003,728,MCGC,FE,BTLH,M,AHY,3.8,49.7,17.8,30.2,4.6,,,,,
5000-29397,8/11/2003,802,MCGC,FE,RUHU,F,AHY,3.1,44.7,18.3,27,3.1,"H, r1,3-5",15 C,,,
5000-29398,8/11/2003,820,MCGC,FE,BTLH,M,HY,3.5,49.5,17,30,6,,1 R,H,85%,
5000-29399,8/11/2003,825,MCGC,TE,CAHU,M,HY,2.8,43.4,13.9,20,4,,1 C,,,
5000-29400,8/11/2003,830,MCGC,FE,BTLH,M,AHY,3.6,49.3,18,29.3,5.2,,,,,
5000-29401,8/11/2003,845,MCGC,TE,BTLH,M,AHY,4.3,50.3,17.6,32,6,,,,,
5000-29402,8/11/2003,905,MCGC,FE,BTLH,M,HY,3.3,49.7,17.6,28.5,5.6,,"2 C, 1 L",H,85%,pollen on bill
5000-29403,8/11/2003,1615,MP1,TE,BTLH,F,AHY,3.5,49.3,17.1,30,5,H,,,,
5000-29404,8/11/2003,1623,MP1,TE,BTLH,F,AHY,3.9,48.8,19.8,31.5,5,,5,,,
5000-29405,8/11/2003,1620,MP1,TE,BTLH,M,HY,3.8,49.9,18.5,29,5,,1 R,H,,
5000-29406,8/11/2003,1630,MP1,TE,BTLH,F,AHY,3.7,48.2,18.4,30,6,,5,H,,
5000-29407,8/11/2003,1648,MP1,TE,BTLH,F,AHY,3.5,49,17.9,29,6.5,,,,,
5000-29408,8/11/2003,1654,MP1,TE,BTLH,F,HY,3.9,51.2,18.2,31,5.5,,,,80%,
5000-29409,8/11/2003,1658,MP1,TE,BTLH,F,HY,4.6,48.8,18,30,6,,,,,
5000-29410,8/11/2003,1659,MP1,TE,BTLH,M,HY,4,48.3,16,28,6,,,,90%,
5000-29411,8/11/2003,1710,MP1,TE,BTLH,F,HY,3.4,50.2,18.5,29,6,,,,90%,
5000-29412,8/11/2003,1715,MP1,TE,BTLH,M,HY,3.7,49.9,17,29,6,,,,85%,
5000-29413,8/11/2003,1717,MP1,TE,BTLH,F,HY,3.4,49.6,19,31.5,5.5,,,,60%,
5000-29415,8/11/2003,1725,MP1,TE,RUHU,M,HY,3.7,42.1,16.8,26,3,,4 C,H,,
5000-29416,8/11/2003,1737,MP1,TE,BTLH,F,AHY,3.7,48.6,18.2,29,5.5,M-H,,,,
5000-29417,8/11/2003,1742,MP1,TE,BTLH,F,AHY,4,48.9,17.7,29,5,"H, r1",,,,new r2-5
5000-29418,8/11/2003,1750,MP1,TE,BTLH,F,AHY,4,51.2,18.4,30,5.3,H,,,50%,adult
5000-29419,8/11/2003,1754,MP1,TE,BTLH,F,AHY,4,50.6,18.8,31.5,6,,7 C,,,
5000-29420,8/11/2003,1899,MP1,TE,BTLH,F,AHY,3.8,50,19,30,5.1,,,,,
5000-29421,8/12/2003,635,MCGC,FE,BTLH,F,AHY,3.4,50.6,18.1,30.5,6,L,many,,,
5000-29422,8/12/2003,651,MCGC,FE,RUHU,M,HY,3.5,42.1,15.6,26.3,3,,2 C,,,
5000-29423,8/12/2003,700,MCGC,TE,BTLH,F,HY,4,49.2,18,29,6,,,L,,
5000-29424,8/12/2003,710,MCGC,FE,RUHU,F,HY,3.7,45.3,16.8,24.5,4,,"1 C, sm",L,85%,
5000-29425,8/12/2003,848,MCGC,FE,RUHU,F,AHY,3.5,44.4,17.8,27,3.5,"L, r1,3",many C,,,
