Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Replaced Band Number
9000-90655,7/20/2008,6:00,MCGC,FCE,BTLH,F,AHY,3.6,49.4,18,30.8,,N,L-M,,,,
9000-90656,7/20/2008,12:00,MP1,TBE,RUHU,M,AHY,3.3,40.8,15.5,28,,N,,,,,
9000-90657,7/20/2008,6:20,MCGC,FCE,BTLH,F,AHY,3.9,49.2,19.1,30.8,,N,VL,,,,
9000-90658,7/20/2008,6:20,MCGC,FCE,BTLH,F,AHY,3.2,48.4,18.9,28.2,,N,M,,,,
9000-90659,7/20/2008,6:55,MCGC,FCE,BTLH,F,AHY,4,49.9,18.7,30,,VH,L-M,,,,
9000-90660,7/20/2008,7:15,MCGC,FCE,BTLH,F,AHY,3.6,50.8,18.1,31.6,,N,M,,,,
9000-90661,7/20/2008,7:15,MCGC,FCE,BTLH,F,HY,3.2,47.9,17.6,29,,N,H,,90%,,
9000-90662,7/20/2008,7:15,MCGC,FCE,BTLH,F,AHY,3.9,48.4,18,26.5,,H,M,,,r1s growing in,
9000-90663,7/20/2008,7:40,MCGC,FCE,BTLH,F,AHY,3.8,49,19,29.8,,N,L,,,,
9000-90664,7/20/2008,7:57,MCGC,TBE,BTLH,F,AHY,3.7,49.6,19.5,30,,N,L,,,,
9000-90665,7/29/2008,13:10,MP1,FCE,RUHU,F,AHY,3.7,43.4,18.4,26.5,,L-M,L,13c,,,
9000-90666,7/20/2008,7:50,MCGC,FCE,BTLH,F,AHY,3.5,49.8,19.1,30,,N,M,,,,
9000-90667,7/20/2008,7:57,MCGC,TBE,BTLH,F,AHY,3.6,47.8,18.4,,,H,VL,,,r1-4l missing,
9000-90669,7/20/2008,12:00,MP1,FCE,BTLH,F,AHY,3.9,49.1,18.8,30.5,,L,L,,,,
9000-90670,7/20/2008,12:00,MP1,FCE,BTLH,F,AHY,3.2,49.4,20,30.2,,N,H,1 vsm,,,
9000-90671,7/20/2008,12:00,MP1,FCE,BTLH,F,AHY,3.3,50.2,18.2,29,,L,L,,,,
9000-90672,7/20/2008,12:20,MP1,FCE,BTLH,F,AHY,3.3,48.8,18.1,29.5,,L,VL,,,,
9000-90673,7/20/2008,12:20,MP1,FCE,BTLH,F,AHY,3.7,49.6,19.9,30.8,,N,VL,,,,
9000-90674,7/29/2008,19:32,MCGC,FCE,RUHU,F,HY,3.6,44.6,17,25.2,,N,M,,80%,,
9000-90675,7/20/2008,12:20,MP1,FCE,BTLH,F,AHY,3.4,49,18,29.5,,VL,H,1c,,,
9000-90676,7/20/2008,12:30,MP1,TBE,BTLH,F,AHY,3.3,47.8,18.2,29,,H,L,4c,,,
9000-90677,7/20/2008,12:40,MP1,TBE,BTLH,F,AHY,,48,18.2,30,,N,L,,,,
9000-90678,7/20/2008,12:55,MP1,FCE,BTLH,F,AHY,3.5,50,18,29.5,,N,L,,,,
9000-90679,7/20/2008,12:50,MP1,TBE,BTLH,F,AHY,3.5,48.9,19.5,31,,N,,12c,,,
9000-90680,7/20/2008,12:55,MP1,FCE,BTLH,F,AHY,3.7,51.1,19,31.8,,L,M-H,1 sm,,,
9000-90681,7/20/2008,13:10,MP1,TBE,BTLH,F,AHY,3.9,48.9,17.7,30,,N,M,,,,
9000-90682,7/20/2008,13:10,MP1,TBE,BTLH,F,AHY,3.4,50.2,18.4,29,,L,L,,,,
9000-90683,7/20/2008,13:10,MP1,FCE,BTLH,M,HY,3.6,50.5,16.7,27,,N,M-H,,,feather sample,
9000-90684,7/20/2008,13:10,MP1,FCE,BTLH,F,AHY,3.6,49.8,19,31,,H,,,,feather sample,
9000-90685,7/23/2008,14:17,MCGC,FCE,BTLH,F,AHY,4.5,51.1,19.2,30,,VH,H,,,,
9000-90686,7/20/2008,13:45,MP1,TBE,BTLH,F,AHY,3.2,49.8,19.6,30,,H,L,,,,
9000-90687,7/20/2008,13:50,MP1,FCE,BTLH,F,AHY,4.2,50.4,19,31,,H,L-M,,,,
9000-90688,7/20/2008,13:50,MP1,FCE,BTLH,F,AHY,3.3,49.5,19,30,,N,L-M,,,,
9000-90689,7/21/2008,6:20,MCGC,FCE,BTLH,F,AHY,3.6,48.2,18.9,29.2,,N,M,,,,
9000-90690,7/21/2008,6:20,MCGC,FCE,BTLH,F,AHY,3.5,50.5,19,30.1,,N,VL,,,,
9000-90691,7/21/2008,6:42,MCGC,FCE,BTLH,F,AHY,3.8,49.9,19.2,30.5,,N,M,,,,
9000-90692,7/21/2008,6:56,MCGC,FCE,BTLH,F,AHY,3.7,49.2,18.5,29.2,,H,L,,,,
9000-90693,7/21/2008,6:56,MCGC,FCE,BTLH,F,AHY,3.4,50.2,18.1,29.1,,H,H,,,,
9000-90694,7/21/2008,6:56,MCGC,FCE,BTLH,F,AHY,3.3,50.8,18.2,30.3,,L-M,L-M,,,,
9000-90695,7/21/2008,7:00,MCGC,FCE,BTLH,F,AHY,3.3,48.3,19.2,29.5,,N,VL,,,,
9000-90696,7/21/2008,7:00,MCGC,FCE,BTLH,F,AHY,4,49.7,18.9,29.8,,N,VL,,,,
9000-90697,7/21/2008,7:10,MCGC,FCE,BTLH,F,AHY,4.9,52.9,19.8,30,,H,H,,,,
9000-90698,7/21/2008,12:08,HPK1,TBE,BTLH,F,AHY,3.5,48.2,19,30,,M,L-M,,,,
9000-90699,7/21/2008,12:15,HPK1,TBE,BTLH,F,AHY,3.5,48.5,18.2,30.5,,N,VL,1 vsm,,,
9000-90700,7/21/2008,12:48,HPK1,TBE,BTLH,F,AHY,3.4,49.3,19,30.5,,M,M,4c,,,
9000-90701,7/20/2008,12:20,MP1,TBE,RUHU,M,AHY,4,40.5,15.5,29.5,,N,,,,,
9000-90702,7/20/2008,12:30,MP1,TBE,RUHU,M,AHY,4,39.7,15.2,28.5,,N,,,,,
9000-90703,7/20/2008,12:40,MP1,TBE,RUHU,M,AHY,3,39.2,16,27,,N,,,,,
9000-90704,7/21/2008,6:02,MCGC,TBE,RUHU,M,AHY,3.5,40.1,16.5,27,,N,,,,,
9000-90705,7/21/2008,6:20,MCGC,TBE,RUHU,M,AHY,4.2,41.7,16.3,27,,N,,,,,
9000-90706,7/21/2008,7:00,MCGC,FCE,RUHU,M,AHY,3.6,40.4,17,28.2,,N,,,,,
9000-90707,7/21/2008,12:26,HPK1,TBE,RUHU,M,AHY,4,40.5,15.6,27,,N,,,,,
9000-90708,7/21/2008,13:05,HPK1,TBE,RUHU,M,AHY,4.8,39.8,16.7,30,,N,,,,,
9000-90709,7/22/2008,6:00,MCGC,FCE,RUHU,M,AHY,3.3,39.7,16,28.2,,N,,,,,
9000-90710,7/22/2008,9:55,MP1,TBE,RUHU,M,AHY,3.5,40.2,16.1,28,,N,,,,,
9000-90711,7/22/2008,9:55,MP1,TBE,RUHU,M,AHY,4.1,38.6,16.8,26,,N,,,,,
9000-90712,7/22/2008,11:15,MP1,FCE,RUHU,M,AHY,3.5,40,16.8,29,,N,,,,,
9000-90713,7/22/2008,20:00,MCGC,FCE,RUHU,M,AHY,3.2,39.9,16.8,27.8,,N,,,,,
9000-90714,7/23/2008,11:25,BGMD,FCE,RUHU,M,AHY,3.6,40.5,16.8,28,,N,,,,,
9000-90715,7/23/2008,16:03,KV1,FCE,RUHU,M,AHY,3.9,40,16.3,28.1,,N,,,,,
9000-90716,7/23/2008,16:25,KV1,FCE,RUHU,M,AHY,3.4,40.9,17.1,28,,N,,,,,
9000-90717,7/23/2008,16:40,KV1,FCE,RUHU,M,AHY,3.4,40.3,16.3,28.4,,N,,,,,
9000-90718,7/24/2008,7:15,MCGC,TBE,RUHU,M,AHY,3.7,39.7,16.1,29,,N,,,,,
9000-90719,7/24/2008,7:50,MCGC,FCE,RUHU,M,AHY,3.3,39.6,16.2,27.1,,N,,,,,
9000-90720,7/24/2008,9:10,MCGC,TBE,RUHU,M,AHY,3.5,39.9,15.8,27.5,,N,,,,,
9000-90721,7/25/2008,6:00,MCGC,FCE,RUHU,M,AHY,4.1,40.2,15.5,27.9,,N,,,,,
9000-90722,7/25/2008,6:59,MCGC,TBE,RUHU,M,HY,3.4,41.5,15.2,26,,,,6c,,,
9000-90723,7/25/2008,7:27,MCGC,TBE,RUHU,M,AHY,3.8,39.1,16.1,28,,,,,,,
9000-90724,7/25/2008,7:27,MCGC,TBE,RUHU,M,AHY,3.7,37.7,16.8,28.2,,,,,,,
9000-90725,7/25/2008,7:45,MCGC,TBE,RUHU,M,AHY,4.2,41.2,17,28,,,,,,,
9000-90726,7/22/2008,10:10,MP1,TBE,BTLH,M,HY,3.6,50.1,16.3,29,,N,vh,,,,
9000-90727,7/22/2008,10:30,MP1,TBE,BTLH,F,AHY,3.5,48.6,18.8,,,H,H,,,,
9000-90728,7/22/2008,10:30,MP1,TBE,BTLH,F,AHY,3.7,49.1,17.9,,,N,L,,,,
9000-90729,7/22/2008,10:40,MP1,TBE,BTLH,F,AHY,3.7,50,19.2,31.5,,H,H,,,,
9000-90730,7/22/2008,10:40,MP1,TBE,BTLH,F,AHY,3.4,49,18.4,29.5,,M-H,L,,,,
9000-90731,7/22/2008,10:50,MP1,TBE,BTLH,F,AHY,3.7,46.6,,,,L,M,2c,,Escaped,
9000-90732,7/22/2008,10:50,MP1,TBE,BTLH,F,AHY,3.3,49.7,18.8,30,,N,L,5vsm,,,
9000-90733,7/24/2008,12:20,MP1,FCE,BTLH,F,AHY,3.6,48.9,19.2,29.2,,N,L,,,,
9000-90734,7/24/2008,12:20,MP1,FCE,BTLH,F,HY,3.1,50.1,18.5,28,,N,M-H,,95%,,
9000-90735,7/24/2008,12:20,MP1,FCE,BTLH,F,AHY,3.3,50.2,19.3,30.1,,H,L-M,,,,
9000-90736,7/24/2008,12:20,MP1,FCE,BTLH,F,AHY,3.6,48.4,18,30.5,,L,M-H,,,,
9000-90737,7/24/2008,12:45,MP1,FCE,BTLH,F,AHY,3.9,49.9,19.3,29.5,,H,M,,,,
9000-90738,7/24/2008,12:45,MP1,FCE,BTLH,F,AHY,3.6,51.4,18.1,31.2,,N,L,6 vsm,,,
9000-90739,7/24/2008,12:45,MP1,FCE,BTLH,F,AHY,3.5,50.1,,30,,H,L,4c,,Early release-stress,
9000-90740,7/24/2008,12:45,MP1,FCE,BTLH,F,AHY,3.9,49,19.1,30.8,,N,M,,,,
9000-90741,7/24/2008,13:10,MP1,FCE,BTLH,F,HY,3.7,49.4,18.2,29.2,,N,L,,90%,p10=B type,
9000-90742,7/24/2008,13:10,MP1,FCE,BTLH,F,AHY,3.7,49.6,19.5,30,,M,M,,,,
9000-90743,7/24/2008,13:25,MP1,FCE,BTLH,F,AHY,4.5,49.1,18.2,29,,H,H,,,,
9000-90744,7/24/2008,13:25,MP1,FCE,BTLH,F,AHY,3.7,49.6,19.5,30,,H,L,,,,
9000-90745,7/24/2008,13:50,MP1,FCE,BTLH,F,AHY,3.4,50.3,20,31,,N,L,,,,
9000-90746,7/24/2008,13:50,MP1,FCE,BTLH,F,AHY,3.9,49.6,18.5,31,,N,L,4c,,,
9000-90747,7/24/2008,14:10,MP1,FCE,BTLH,F,HY,3.8,50.3,18.7,29.7,,N,L,,85%,,
9000-90748,7/25/2008,6:00,MCGC,FCE,BTLH,F,AHY,3.4,50.4,19.3,29.6,,M,M-H,,,,
9000-90749,7/25/2008,6:35,MCGC,FCE,BTLH,F,AHY,4.1,49.6,18.7,30.1,,VH,VL,,,,
9000-90750,7/25/2008,6:59,MCGC,FCE,BTLH,F,AHY,4.1,50.3,19.2,30.5,,N,L,,,,
9000-90751,7/23/2008,6:15,MCGC,FCE,CAHU,M,AHY,3,38.6,14.9,18.5,,,,,,,
9000-90752,7/21/2008,12:55,HPK1,TBE,BTLH,F,AHY,3.7,49.2,17.1,30,,H,L,,,,
9000-90753,7/21/2008,13:00,HPK1,TBE,BTLH,F,AHY,3.7,50.2,18,31,,N,L,,,,
9000-90754,7/21/2008,13:01,HPK1,FCE,BTLH,F,AHY,3.3,48.6,17.6,30,,N,M,,,,
9000-90755,7/21/2008,13:05,HPK1,FCE,BTLH,F,AHY,3.5,50.3,18,28.5,,N,L,,,,
9000-90756,7/22/2008,6:20,MCGC,FCE,BTLH,F,AHY,3.2,50.6,18.4,28.5,,VL,M,,,,
9000-90757,7/22/2008,7:20,MCGC,FCE,BTLH,F,AHY,3.7,51,19.1,31.5,,L,VL,,,,
9000-90758,7/22/2008,9:48,MP1,TBE,BTLH,F,AHY,3.8,47.9,18.5,30.5,,N,L,,,,
9000-90759,7/22/2008,9:48,MP1,TBE,BTLH,F,AHY,3.8,48.2,17.9,30,,N,L,,,,
9000-90760,7/22/2008,9:48,MP1,TBE,BTLH,F,AHY,3.6,50.3,19,30,,M,M,,,,
9000-90761,7/22/2008,10:50,MP1,TBE,BTLH,M,HY,3.5,48.4,16.1,28.5,,N,H,,,,
9000-90762,7/23/2008,15:35,KV1,FCE,BTLH,F,AHY,3.6,49,19,30.1,,L,L,,,,
9000-90763,7/23/2008,15:35,KV1,FCE,BTLH,F,AHY,3.7,50,20.1,29,,L,L,8c,,,
9000-90764,7/23/2008,15:35,KV1,FCE,BTLH,F,AHY,3.4,48.6,19.1,30.2,,L,H,5c,,,
9000-90765,7/23/2008,15:37,KV1,FCE,BTLH,F,AHY,3.7,51.7,19,31,,L,M,,,,
9000-90766,7/23/2008,15:37,KV1,FCE,BTLH,F,AHY,3.9,47.7,18,29,,H,M-H,,,,
9000-90767,7/23/2008,15:37,KV1,FCE,BTLH,F,AHY,3.7,51.3,18,31.5,,H,M,,,,
9000-90768,7/23/2008,15:37,KV1,FCE,BTLH,F,AHY,3.6,50.8,18.3,29.5,,VL,M,,,,
9000-90769,8/23/2008,19:30,HPK1,FCE,BTLH,F,AHY,3.8,51.9,18.2,30.2,,M,L,2 vsm,,,
9000-90770,7/23/2008,16:03,KV1,FCE,BTLH,F,AHY,3.5,51.1,19,30.8,,N,L,,,,
9000-90777,8/23/2008,17:03,MP1,TBE,RUHU,M,HY,3.6,42,16.3,23,,H,H,,,"r1s damaged at tips, stress bars",
9000-90781,7/23/2008,16:25,KV1,FCE,BTLH,F,AHY,4,51.2,19.1,30.8,,L,L,1c,,,
9000-90782,7/23/2008,16:25,KV1,FCE,BTLH,F,AHY,3.7,49.9,19.2,30.8,,N,L-M,,,,
9000-90783,7/23/2008,16:40,KV1,FCE,BTLH,F,AHY,3.7,49,19,28,,,L-M,,,,
9000-90784,7/24/2008,6:15,MCGC,FCE,BTLH,F,AHY,3.4,50.3,18.8,30,,N,L,,,,
9000-90785,7/24/2008,6:35,MCGC,TBE,BTLH,F,AHY,3.2,49.7,18.2,28,,,,,,,
9000-90786,7/24/2008,7:10,MCGC,FCE,BTLH,F,AHY,4.1,48.7,18.1,29.2,,N,L-M,,,,
9000-90787,7/24/2008,7:50,MCGC,FCE,BTLH,F,AHY,3.7,50.7,18.5,31.3,,N,VL,,,,
9000-90788,7/24/2008,7:50,MCGC,TBE,BTLH,F,AHY,3.3,49.5,19.2,29,,N,H,,,,
9000-90789,7/24/2008,8:30,MCGC,FCE,BTLH,F,AHY,4.3,50.5,20,30.5,,H,L,,,,
9000-90790,7/24/2008,12:20,MP1,FCE,BTLH,F,AHY,3.9,50.8,19.2,30.4,,N,L,,,,
9000-90791,7/24/2008,9:10,MCGC,FCE,CAHU,F,AHY,3.2,42.2,14.8,21,,M,H,,,,
9000-90792,7/25/2008,6:00,MCGC,FCE,CAHU,F,AHY,3.4,41.8,16,22,,H,M,,,,
9000-90793,7/25/2008,6:00,MCGC,FCE,CAHU,F,AHY,3.2,42.5,15.1,21,,L,VL,,,,
9000-90794,7/25/2008,6:00,MCGC,FCE,CAHU,F,AHY,3.1,42.4,16,20.4,,H,L-M,,,,
9000-90795,7/25/2008,11:35,MP1,FCE,CAHU,M,AHY,3.2,38.7,15,17.8,,,,,,,
9000-90796,7/25/2008,12:35,MP1,FCE,CAHU,F,AHY,2.9,43.5,16.6,21,,L,M,,,,
9000-90797,7/29/2008,12:22,MP1,FCE,CAHU,F,AHY,2.8,41.7,15.8,21.2,,L,VL,,,,
9000-90798,7/30/2008,20:05,MCGC,FCE,CAHU,F,AHY,3.3,41.9,14,22,,L-M,M,,,,
9000-90799,7/29/2008,19:44,MCGC,FCE,CAHU,F,AHY,2.9,41.7,15.9,20.1,,M,VL,5 vsm,,,
9000-90800,8/1/2008,20:15,MCGC,FCE,CAHU,F,AHY,3.4,42.8,14.8,20.8,,L,VL,7 vsm,,,
9000-90801,7/10/2008,6:38,MCGC,TBE,RUHU,M,AHY,3.5,39.5,15.8,29,,,,,,,
9000-90802,7/10/2008,7:50,MCGC,TBE,RUHU,M,AHY,3.4,40.2,15.2,27,,,,,,,
9000-90803,7/10/2008,7:53,MCGC,TBE,RUHU,M,AHY,3.8,40.4,16.2,30,,,,,,,
9000-90804,7/10/2008,9:15,MCGC,FCE,RUHU,M,AHY,3.4,40.2,16,29.2,,,,,,,
9000-90805,7/11/2008,7:40,MCGC,TBE,RUHU,M,AHY,3.6,38.5,16,29,,,,,,,
9000-90806,7/11/2008,7:58,MCGC,TBE,RUHU,M,AHY,3.5,40.6,16,29.1,,,,,,,
9000-90807,7/11/2008,8:35,MCGC,TBE,RUHU,M,AHY,3.2,39.3,15.7,28.5,,,,,,,
9000-90808,7/11/2008,19:27,MCGC,TBE,RUHU,M,AHY,3.4,40.3,16.3,28,,,,,,,
9000-90809,7/12/2008,10:55,HOLZ,FCE,RUHU,M,AHY,3.3,39.3,16.2,28.5,,,,,,,
9000-90810,7/12/2008,10:55,HOLZ,FCE,RUHU,M,AHY,3.5,40,17,27.1,,,,,,,
9000-90811,7/12/2008,12:35,HOLZ,FCE,RUHU,M,AHY,3.5,40.9,17.3,29.2,,,,,,,
9000-90812,7/12/2008,12:40,HOLZ,FCE,RUHU,M,AHY,3.6,40.6,16.9,28,,,,,,,
9000-90813,7/12/2008,13:20,HOLZ,FCE,BTLH,M,AHY,3.1,49.5,16.8,27,,,,,,,
9000-90814,7/13/2008,7:05,KV1,FCE,RUHU,M,AHY,3.6,40.6,16.5,29.6,,,,,,,
9000-90815,7/13/2008,7:58,KV1,FCE,RUHU,M,AHY,3.2,40.3,16.8,29,,,,,,,
9000-90816,7/14/2008,8:20,MCGC,TBE,RUHU,M,AHY,3.8,41,17.2,29,,,,,,,
9000-90817,7/14/2008,9:05,MCGC,TBE,RUHU,M,AHY,3.4,40.9,16.4,30,,,,,,,
9000-90818,7/14/2008,9:15,MCGC,TBE,RUHU,M,AHY,3.7,39.5,17,26,,,,,,,
9000-90819,7/14/2008,11:35,MCGC,FCE,RUHU,M,AHY,3.7,40.7,16.5,27.5,,,,,,,
9000-90820,7/17/2008,6:56,MCGC,FCE,RUHU,M,AHY,3.5,39.9,15.8,27.6,,,,,,,
9000-90825,8/23/2008,19:00,HPK1,FCE,CAHU,F,HY,3.2,43.3,15.6,27.8,,,L,,,,
9000-90826,9/2/2008,15:00,HPK1,FCE,CAHU,F,HY,3.2,45.5,16.3,26.5,,N,M,,90%,,
9000-90831,7/17/2008,19:37,MCGC,FCE,RUHU,M,AHY,3.6,40,16.3,27.9,,,,,,,
9000-90832,7/17/2008,19:59,MCGC,FCE,RUHU,M,AHY,3.5,40.2,16.8,28.6,,,,,,,
9000-90833,7/18/2008,7:15,MCGC,TBE,RUHU,M,AHY,3.4,39,16,30.5,,,,,,,
9000-90834,7/18/2008,7:50,MCGC,TBE,RUHU,M,AHY,3.8,41,15.5,29,,,,,,,
9000-90835,7/18/2008,16:25,GNMTN,TBE,RUHU,M,AHY,3.9,40.5,17,28.5,,,,,,,
9000-90836,7/18/2008,17:18,GNMTN,FCE,RUHU,M,AHY,3.5,39.2,16.5,28.1,,,,,,,
9000-90837,7/18/2008,18:50,HOLZ,FCE,RUHU,M,AHY,3.3,40.7,17,27.2,,,,,,,
9000-90838,7/18/2008,18:50,HOLZ,TBE,RUHU,M,AHY,4,39.3,15.5,29,,,,,,,
9000-90839,7/18/2008,19:05,HOLZ,TBE,RUHU,M,AHY,3.2,39.7,15,29,,,,,,,
9000-90840,7/18/2008,19:20,HOLZ,TBE,RUHU,M,AHY,3.3,40.3,16.5,28.5,,,,,,,
9000-90841,7/18/2008,19:25,HOLZ,TBE,RUHU,M,AHY,3.8,40.4,16.5,29,,,,,,,
9000-90842,7/18/2008,19:25,HOLZ,TBE,RUHU,M,AHY,3.7,40,17,30,,,,,,,
9000-90843,7/18/2008,19:30,HOLZ,TBE,RUHU,M,AHY,3.7,38.8,16,28.5,,,,,,,
9000-90844,7/18/2008,19:35,HOLZ,TBE,RUHU,M,AHY,3.8,40,16,29,,,,,,,
9000-90845,7/18/2008,19:45,HOLZ,TBE,RUHU,M,AHY,3.7,40.1,17,28,,,,,,,
9000-90846,7/18/2008,19:48,HOLZ,TBE,RUHU,M,AHY,3,40.1,15.3,28.5,,,,,,,
9000-90847,7/18/2008,19:50,HOLZ,FCE,RUHU,M,AHY,3.5,39.4,16.8,28.2,,,,,,,
9000-90848,7/19/2008,6:56,MCGC,FCE,RUHU,M,AHY,3.8,39.6,15.3,27,,,,,,,
9000-90849,7/19/2008,7:40,MCGC,FCE,RUHU,M,AHY,3.4,40.2,15.3,27.6,,,,,,,
9000-90850,7/20/2008,6:55,MCGC,FCE,RUHU,M,AHY,3.6,39.2,16.2,28.6,,,,,,,
9000-90851,7/12/2008,11:40,HOLZ,FCE,BTLH,F,AHY,3.5,51.5,18.1,29,,H,M,5c,,,
9000-90852,7/13/2008,7:29,KV1,FCE,BTLH,F,AHY,3.5,49.9,19.9,31.2,,M,L-M,,,,
9000-90853,7/13/2008,8:12,KV1,FCE,BTLH,F,AHY,,,,,,H,L,7+c,,Escaped,
9000-90854,7/13/2008,8:15,KV1,FCE,BTLH,F,AHY,3.3,50,18,31.2,,N,M,7c,,,
9000-90855,7/13/2008,8:21,KV1,FCE,BTLH,F,AHY,3.1,50.3,18.2,30.5,,N,L-M,,,,
9000-90856,7/13/2008,8:44,KV1,FCE,BTLH,F,AHY,3.8,50.5,21,31,,VL,L,,,,
9000-90857,7/13/2008,8:52,KV1,FCE,BTLH,F,AHY,3.7,50.8,18.8,30.8,,N,L,7c,,,
9000-90858,7/13/2008,8:55,KV1,FCE,BTLH,F,AHY,3.5,50.7,18.2,31.6,,L-M,L,,,,
9000-90859,7/13/2008,17:41,GNMTN,TBE,BTLH,F,AHY,3.6,48.4,18.3,31,,N,VL,,,,
9000-90860,7/13/2008,18:34,GNMTN,TBE,BTLH,F,AHY,3.5,49.8,19.4,30.1,,L-M,L,,,,
9000-90861,7/13/2008,18:34,GNMTN,FCE,BTLH,F,AHY,4.8,50.1,19.2,32,,N,M,,,E9,
9000-90862,7/13/2008,18:40,GNMTN,FCE,BTLH,F,AHY,3.9,49.7,18.5,30,,N,M,,,,
9000-90863,7/14/2008,8:00,MCGC,FCE,BTLH,F,AHY,3.6,51.1,19,29.5,,H,M,,,,
9000-90864,7/14/2008,8:00,MCGC,FCE,BTLH,F,AHY,3.4,49.8,18,29.5,,L,VL,,,,
9000-90865,7/14/2008,8:10,MCGC,FCE,BTLH,F,AHY,3.6,49.7,18.2,30,,H,L-M,,,,
9000-90866,7/14/2008,9:05,MCGC,FCE,BTLH,F,AHY,3.9,49.5,19.2,30,,L,L,,,,
9000-90867,7/14/2008,9:05,MCGC,FCE,BTLH,F,AHY,3.8,49.7,19.7,29,,N,M,2c,,,
9000-90868,7/14/2008,9:45,MCGC,FCE,BTLH,F,AHY,3.7,50.1,19.8,30,,H,VL,,,,
9000-90869,7/14/2008,9:50,MCGC,FCE,BTLH,F,AHY,3.5,49.9,19.7,29.7,,N,L,,,,
9000-90870,7/14/2008,9:50,MCGC,TBE,BTLH,F,AHY,3.5,48.1,18.9,29,,H,M,,,,
9000-90871,7/14/2008,9:56,MCGC,FCE,BTLH,F,AHY,3.7,50.1,19.1,30.1,,N,L,,,,
9000-90872,7/14/2008,11:35,MCGC,FCE,BTLH,F,AHY,3.7,50.6,19,29.9,,L-M,M,,,,
9000-90873,7/17/2008,6:56,MCGC,FCE,BTLH,F,AHY,3.6,49.8,18.2,30,,L-H,L,,,,
9000-90874,7/17/2008,7:27,MCGC,FCE,BTLH,F,AHY,3.4,48.4,18,29.9,,N,L,6c vsm,,,
9000-90875,7/17/2008,7:47,MCGC,FCE,BTLH,F,AHY,3.5,49.6,18.2,30,,N,,,,,
9000-90876,7/17/2008,7:50,MCGC,FCE,BTLH,F,AHY,3.9,49.4,18.1,29.3,,N,L,,,,
9000-90877,7/17/2008,7:58,MCGC,FCE,BTLH,F,AHY,3.5,50.2,18.5,31.5,,N,L,,,,
9000-90878,7/17/2008,8:47,MCGC,FCE,BTLH,F,AHY,3.5,51.6,18.8,31.6,,N,M,,,,
9000-90879,7/17/2008,8:55,MCGC,FCE,BTLH,F,AHY,3.3,50.3,18.1,31.8,,N,L,,,,
9000-90880,7/17/2008,11:45,MCGC,FCE,BTLH,F,AHY,3.4,48.3,18.2,28.2,,N,M,1c,,,
9000-90881,7/17/2008,11:50,MCGC,FCE,BTLH,F,AHY,3.5,51,18.2,30,,H,L,5 sm,,,
9000-90882,7/17/2008,20:15,MCGC,FCE,BTLH,F,AHY,3.8,51.6,18.8,30,,L,L,6c sm,,,
9000-90884,7/18/2008,7:15,MCGC,TBE,BTLH,F,AHY,3.2,48.6,17.7,29,,N,L,,,,
9000-90885,7/18/2008,7:15,MCGC,FCE,BTLH,F,AHY,3.4,50,18,30.8,,N,L,,,,
9000-90886,7/18/2008,7:50,MCGC,FCE,BTLH,F,AHY,3.9,48.5,19.2,29.9,,H,M,,,,
9000-90887,7/18/2008,8:07,MCGC,FCE,BTLH,F,AHY,3.6,49.7,19.3,30.5,,L,L-M,,,,
9000-90888,7/18/2008,16:25,GNMTN,FCE,BTLH,F,AHY,3.1,48.9,18.2,29.4,,H,,,,,
9000-90889,7/18/2008,18:33,GNMTN,FCE,BTLH,F,AHY,3.4,48.6,18.3,31,,,L,,,"r5s growing in, R3r missing ",
9000-90890,7/18/2008,16:48,GNMTN,FCE,BTLH,F,AHY,3.4,50.7,18.1,30,,N,L,,,,
9000-90891,7/18/2008,17:04,GNMTN,FCE,BTLH,F,AHY,3.5,50.1,19.2,31.1,,N,L,2c,,,
9000-90892,7/18/2008,17:15,GNMTN,TBE,BTLH,F,AHY,4.1,49.4,18.5,30.5,,N,M,10c,,,
9000-90893,7/18/2008,17:20,GNMTN,TBE,BTLH,F,AHY,4,49.7,19.5,30.5,,N,,L,,,
9000-90894,7/18/2008,17:38,GNMTN,TBE,BTLH,F,AHY,3.4,51.1,17.8,31.5,,N,L,,,,
9000-90895,7/18/2008,17:48,GNMTN,TBE,BTLH,F,AHY,3.5,48.6,18,30.5,,,,,,,
9000-90896,7/18/2008,18:50,HOLZ,TBE,BTLH,F,AHY,3.5,48.8,18.2,30,,N,L,8c,,,
9000-90897,7/18/2008,19:15,HOLZ,FCE,BTLH,F,AHY,3.6,50.4,18.8,31,,M-H,L,8c,,,
9000-90898,7/18/2008,19:30,HOLZ,FCE,BTLH,F,AHY,3.5,49.8,18.3,31,,VL,M,,,,
9000-90899,7/19/2008,7:07,MCGC,FCE,BTLH,F,AHY,3.1,49.4,18.8,30.2,,N,L,5 vsm,,,
9000-90900,7/19/2008,7:07,MCGC,FCE,BTLH,F,AHY,3.2,50.1,18.5,30.9,,M-H,VL,,,,
9000-90901,7/25/2008,6:59,MCGC,FCE,BTLH,F,AHY,3.5,50.4,19.2,32,,L,L-M,,,,
9000-90902,7/25/2008,6:59,MCGC,TBE,BTLH,F,AHY,3.4,48.6,18.6,29,,VL,L,,,,
