Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Replaced Band Number
9000-90127,6/2/2008,14:09,MP1,TBE,BTLH,F,AHY,4.3,50.3,18.5,30.5,,M,H,6c,,E7,
9000-90128,6/2/2008,14:23,MP1,TBE,BTLH,F,AHY,3.7,49.4,17.8,29,,N,L,,,,
9000-90129,6/7/2008,14:25,GNMTN,FCE,BTLH,F,AHY,4.5,50.1,19.4,30,,M,M,5c,,E9,
9000-90130,6/3/2008,13:19,MP1,TBE,BTLH,F,AHY,3.5,49.9,19.2,30,,N,M-H,3c,,E7,
9000-90131,6/3/2008,13:32,MP1,TBE,BTLH,F,AHY,3.8,51.4,19.8,30,,N,H,,,E6,
9000-90132,6/3/2008,16:48,MP1,FCE,BTLH,F,AHY,3.8,49.3,17.5,29.3,,M,L-M,,,,
9000-90133,6/3/2008,18:00,MP1,FCE,BTLH,F,AHY,3.7,50.3,18.1,31.3,,N,VL,,,E6,
9000-90134,6/3/2008,18:10,MP1,FCE,BTLH,F,AHY,4.3,49.9,18.8,29.9,,L-M,M,1c vsm,,E6+,
9000-90135,6/4/2008,10:14,MP1,FCE,BTLH,F,AHY,3.6,52,19,29.8,,N,L,2sm,,,
9000-90136,6/4/2008,10:27,MP1,FCE,BTLH,F,AHY,3.5,52.5,18.5,31.3,,M-H,L,,,,
9000-90137,6/4/2008,10:41,MP1,FCE,BTLH,F,AHY,3.4,,,,,L-M,M-H,,,early release-stress,
9000-90138,6/6/2008,12:41,HPK1,FCE,BTLH,F,AHY,3.4,49.7,18.5,30.2,,L-M,L,,,E6,
9000-90139,6/6/2008,15:30,MP1,TBE,BTLH,F,AHY,3.3,50.8,18,32.5,,H,M,,,,
9000-90140,6/6/2008,16:05,MP1,TBE,BTLH,M,AHY,3.4,49.9,18.1,31.5,,,,,,,
9000-90141,6/7/2008,14:38,GNMTN,FCE,BTLH,F,AHY,4,48.3,19.6,29.9,,L,L-M,,,E8,
9000-90142,6/7/2008,14:48,GNMTN,FCE,BTLH,F,AHY,3.5,49.6,18.4,29.1,,L,L,,,,
9000-90143,6/7/2008,15:11,GNMTN,FCE,BTLH,F,AHY,4,48.5,18.5,31,,N,L,2c vsm,,E7,
9000-90144,6/7/2008,15:40,GNMTN,TBE,BTLH,F,AHY,4.2,49.6,18.2,31,,N,L,3c,,E8+,
9000-90145,6/7/2008,16:30,KV1,TBE,BTLH,F,AHY,3.5,48.9,18.9,29.5,,N,L,,,,
9000-90146,6/7/2008,16:40,KV1,TBE,BTLH,F,AHY,3.6,49.6,18,30,,N,,12c,,E8,
