Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,
9000-39085,06/18/2007,7:26,MCGC,FCE,BTLH,M,AHY,3.5,50.5,18.0,31.5,4.8,N,,,,"r5 faint white at tip, in/outer web",
9000-39086,06/18/2007,7:34,MCGC,FCE,BTLH,M,AHY,3.2,50.4,17.2,32.8,4.8,N,,,,"r5 white to 6mm up from tip, r2-4 white tip/edge ",
9000-39087,06/19/2007,9:30,MP1,FCE,BTLH,M,AHY,3.1,51.2,17.0,31.5,4.9,N,,,,r5 sm white web at tip,
9000-39088,06/19/2007,9:30,MP1,FCE,BTLH,M,AHY,3.3,49.5,18.0,33.0,5.0,N,,,,,
9000-39089,06/19/2007,10:30,MP1,FCE,BTLH,M,AHY,3.3,50.7,17.0,31.5,5.1,N,,,,"r4,5 sm white areas at tip",
9000-39090,06/19/2007,10:30,MP1,FCE,BTLH,M,AHY,3.3,49.0,17.2,31.0,5.2,N,,,,"r5 white tip 6mm long, r4 white inner web at tip",
9000-39091,06/19/2007,11:30,MP1,FCE,BTLH,M,AHY,3.4,50.7,18.0,32.5,5.5,N,,,,,
9000-39092,06/19/2007,11:30,MP1,FCE,BTLH,M,AHY,3.4,49.4,17.2,30.7,5.0,N,,,,"r5 white in/outer web at tip, r4 sm white at tip",
9000-39093,06/19/2007,12:05,MP1,FCE,BTLH,M,AHY,3.5,50.6,18.4,30.1,4.9,N,,,,"r4,5, v sm white at tip",
9000-39094,06/19/2007,12:05,MP1,FCE,BTLH,M,AHY,3.2,50.4,17.2,32.2,4.8,N,,,,,
9000-39095,06/19/2007,12:34,MP1,FCE,BTLH,M,AHY,3.0,48.6,17.8,31.0,4.6,N,,,,"r5 white in/outer web at tip, lg clump of pine sap on breast feathers removed carefully",
9000-39096,06/19/2007,13:05,MP1,FCE,BTLH,M,AHY,3.2,47.3,16.6,31.2,4.5,N,,,,,
9000-39097,06/19/2007,15:35,HPK1,FCE,BTLH,M,AHY,3.1,49.4,17.6,30.2,4.5,N,,,,r5 faint white at tip,
9000-39098,06/19/2007,16:10,HPK1,FCE,BTLH,M,AHY,3.1,48.1,18.0,29.0,4.8,N,,,,r5 white spot inner web at tip,
9000-39099,07/10/2007,11:52,MCGC,FCE,RUHU,M,AHY,3.6,40.1,16.1,29.0,2.1,N,,,,,
9000-39100*,06/19/2007,16:30,HPK1,FCE,BTLH,M,AHY,3.2,49.9,18.1,30.8,5.0,N,,,,*Foreign: C82856; r5 white area in/outer web at tip,
9000-39101,06/19/2007,16:30,HPK1,FCE,BTLH,M,AHY,3.0,47.4,18.0,30.8,5.0,N,,,,"r3r white tip, r3-5L white at tip",
9000-39102,06/19/2007,16:30,HPK1,FCE,BTLH,M,AHY,3.1,50.2,18.4,31.0,4.8,N,,,,,
9000-39103,06/20/2007,11:55,KV1,TBE,BTLH,M,AHY,3.7,48.7,17.5,31.5,5.0,N,,,,r5 in/outer web lg white area at tip,
9000-39104,06/20/2007,15:51,GNMTN,TBE,BTLH,M,AHY,,48.2,18.2,,5.0,N,,,,escaped,
9000-39105,06/21/2007,7:05,MCGC,FCE,BTLH,M,AHY,3.3,49.7,17.1,29.8,4.5,N,,,,r5 sm white area inner web at tip,
9000-39106,07/10/2007,12:22,MCGC,FCE,RUHU,M,AHY,3.6,39.7,16.4,29.0,2.7,N,,,,,
9000-39107,06/21/2007,7:28,MCGC,FCE,BTLH,M,AHY,3.4,49.8,18.1,31.5,4.8,N,,,,,
9000-39108,06/21/2007,17:35,MP1,FCE,BTLH,M,AHY,3.2,49.1,17.1,31.9,5.4,N,,,,"r5 white area in/outer web at tip, r4 sm white area at inner web tip",
9000-39109,06/21/2007,17:45,MP1,FCE,BTLH,M,AHY,3.4,49.9,17.8,30.2,4.5,N,,,,,
9000-39110,06/21/2007,18:19,MP1,FCE,BTLH,M,AHY,3.1,48.4,17.9,29.5,5.0,N,,,,"r5L v faint white, inner web near tip",
9000-39111,06/21/2007,18:51,MP1,FCE,BTLH,M,AHY,3.5,50.6,18.7,31.8,4.8,N,,,,r5 sm white area near tip inner web,
9000-39112,06/21/2007,19:15,MP1,FCE,BTLH,M,AHY,3.0,48.5,17.9,30.6,5.0,N,,,,r3-5 sm white near tips,
9000-39113,06/21/2007,19:15,MP1,FCE,BTLH,M,AHY,3.3,49.7,17.2,29.8,4.5,N,,,,r5 v faint white area inner web near tip,
9000-39114,06/22/2007,10:09,GC1,FCE,BTLH,M,AHY,3.1,49.6,17.9,30.2,5.0,N,,,,"r4,5 white in/outer web at tip",
9000-39115,06/22/2007,10:10,GC1,FCE,BTLH,M,AHY,3.0,49.9,17.0,29.0,4.8,N,,,,r5 white inner/outer web at tip,
9000-39116,06/22/2007,10:11,GC1,FCE,BTLH,M,AHY,3.3,49.9,17.2,30.8,4.8,N,,,,,
9000-39117,06/22/2007,14:00,HPK1,FCE,BTLH,M,AHY,3.4,51.0,18.5,32.0,4.5,N,,,,,
9000-39118,06/22/2007,17:07,MCGC,FCE,BTLH,M,AHY,3.2,49.1,17.0,30.3,4.3,N,,,,"r4,5 white area in/outer web near tip",
9000-39119,06/22/2007,17:18,MCGC,FCE,BTLH,M,AHY,3.4,48.3,18.2,29.5,4.5,N,,,,r5 white areas near tip,
9000-39120,06/23/2007,6:48,MCGC,FCE,BTLH,M,AHY,3.4,50.0,16.8,30.0,4.5,N,,,,"r4,5 white in/outer web near tip",
9000-39121,06/23/2007,8:07,MCGC,FCE,BTLH,M,AHY,3.3,49.3,17.1,32.2,5.1,N,,,,"r5 white tip, r4 white inner web at tip",
9000-39122,06/23/2007,8:21,MCGC,FCE,BTLH,M,AHY,3.2,48.9,16.2,31.6,4.4,N,,,,,
9000-39123,06/27/2007,15:52,MP1,FCE,BTLH,M,AHY,3.5,49.3,16.0,31.0,4.2,N,,,,,
9000-39124,06/27/2007,15:52,MP1,FCE,BTLH,M,AHY,3.0,50.1,17.5,31.0,4.9,N,,,,,
9000-39125,06/27/2007,16:27,MP1,FCE,BTLH,M,AHY,3.1,50.1,17.9,30.5,4.1,N,,,,r5 bn inner web near tip,
9000-39126,06/27/2007,16:48,MP1,FCE,BTLH,M,AHY,3.5,51.1,17.1,31.5,5.0,N,,,,r5 faint white in/outer web at tip,
9000-39127,06/27/2007,18:45,MCGC,FCE,BTLH,M,AHY,3.4,50.7,16.5,31.2,4.5,N,,,,r5 white in/outer web at tip ,
9000-39128,06/27/2007,19:15,MCGC,FCE,BTLH,M,AHY,3.5,50.3,18.1,31.6,4.8,N,,,,,
9000-39129,06/27/2007,19:25,MCGC,FCE,BTLH,M,AHY,3.5,51.0,17.3,31.6,4.0,N,,,,,
9000-39130,06/27/2007,20:00,MCGC,FCE,BTLH,M,AHY,3.4,49.5,16.7,31.0,5.0,N,,,,r5 faint white in/outer web at tip,
9000-39131,06/27/2007,20:00,MCGC,FCE,BTLH,M,AHY,3.3,48.5,17.0,31.0,5.1,N,,,,r5 white area in/out web near tip,
9000-39132,06/28/2007,11:31,MCGC,TBE,BTLH,M,AHY,3.6,48.7,17.1,31.0,4.5,N,,,,,
9000-39133,06/28/2007,12:10,MCGC,TBE,BTLH,M,AHY,3.2,49.0,17.5,32.0,4.5,N,,,,,
9000-39134,06/29/2007,12:22,HOLZ,FCE,BTLH,M,AHY,3.2,49.2,17.1,31.4,5.2,N,,,,"r5 white in/out web at tip, r4 white inner web at tip",
9000-39135,06/29/2007,12:48,HOLZ,FCE,BTLH,M,AHY,3.3,49.5,17.5,31.1,4.8,N,,,,r4 white iier web at tip,
9000-39136,06/29/2007,16:35,GNMTN,TBE,BTLH,M,AHY,3.2,47.9,17.4,31.0,5.0,N,,,,"r5 v sm white area near tip, in/outer web",
9000-39137,06/29/2007,16:48,GNMTN,TBE,BTLH,M,AHY,3.0,48.1,17.5,31.0,5.0,N,,,,r5 white in/outer web at tip,
9000-39138,06/29/2007,17:10,GNMTN,TBE,BTLH,M,AHY,3.5,48.8,18.4,31.0,5.0,N,,,,"r5 slight buff fringe inner web, white outer web at tip",
9000-39139,06/29/2007,17:19,GNMTN,TBE,BTLH,M,AHY,3.5,46.5,17.0,29.0,5.5,N,,,,,
9000-39140,06/29/2007,17:45,GNMTN,FCE,BTLH,M,AHY,3.3,49.3,17.8,30.0,5.0,N,,,,"r4,5 faint white in/outer web at tip",
9000-39141,06/29/2007,17:55,GNMTN,FCE,BTLH,M,AHY,3.2,48.7,16.9,32.0,4.5,N,,,,r5 tiny white spot inner web,
9000-39142,06/30/2007,12:03,GC1,FCE,BTLH,M,AHY,3.0,49.9,17.4,32.2,4.5,N,,,,r5 v sm white area inner web near tip,
9000-39143,06/30/2007,12:22,GC1,FCE,BTLH,M,AHY,3.2,50.4,18.5,31.4,5.0,N,,,,,
9000-39144,06/30/2007,19:12,MCGC,TBE,BTLH,M,AHY,3.3,47.9,18.5,32.0,,N,,,,,
9000-39145,06/30/2007,19:33,MCGC,TBE,BTLH,M,AHY,3.3,46.8,18.1,31.5,5.0,N,,,,r5 white inner/outer web at tip,
9000-39146,07/01/2007,7:05,MCGC,FCE,BTLH,M,AHY,3.2,50.0,18.1,31.7,5.1,N,,,,,
