Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29543,6/30/04,1323,GNMTN,TBE,BTLH,F,AHY,3.4,50.1,19,28.5,6,N,,,,
5000-29544,7/6/04,0641,MCGC,FCE,RUHU,F,AHY,4.1,43,17,26.2,3.5,L,many C,,,lt. rectrices wear
5000-29545,7/6/04,0709,MCGC,FCE,RUHU,F,AHY,3.5,44.5,17,27,3.5,N,many C,,,
5000-29546,7/6/04,1341,GNMTN,FCE,BTLH,F,AHY,3.8,50.1,18.2,30.3,5.6,N,8C,,,
5000-29547,7/6/04,1313,GNMTN,TBE,BTLH,F,AHY,3.2,49.4,18.5,30,6,N,,,,
5000-29548,7/6/04,1349,GNMTN,TBE,BTLH,F,AHY,3.4,50,19,29,6,N,,,,
5000-29549,7/6/04,1358,GNMTN,FCE,BTLH,F,AHY,3.7,51.9,19,29.5,5.5,N,,,,
5000-29550,7/6/04,1430,GNMTN,TBE,BTLH,F,AHY,3.4,48.2,19,30,5,N,,,,
5000-29551,7/6/04,1449,GNMTN,TBE,BTLH,F,AHY,4.4,48.8,19,29,5.5,N,,,,E8
5000-29552,7/6/04,1456,GNMTN,FCE,BTLH,F,AHY,3.3,51.2,18.9,29.1,5.5,N,,,,
5000-29553,7/6/04,1625,KV1,TBE,BTLH,F,AHY,3.4,48.8,19.5,29.5,6,N,,,,
5000-29554,7/6/04,1635,KV1,FCE,RUHU,M,AHY,3.8,40.2,17.1,29.2,2.5,N,,,,
5000-29555,7/6/04,1641,KV1,TBE,BTLH,F,AHY,3.2,50.9,19.5,30,6,M,,,,
5000-29556,7/6/04,1701,KV1,FCE,RUHU,M,AHY,4.1,41.2,16.5,27.9,2.5,N,,,,
5000-29557,7/6/04,1717,KV1,TBE,BTLH,M,AHY,3.4,49.5,17.5,32,5,N,,,,
5000-29558,7/7/04,0719,MCGC,FCE,RUHU,F,AHY,3.8,45.3,17.5,26.2,3.5,N,many C,,,
5000-29559,7/6/04,1724,KV1,FCE,BTLH,F,AHY,3.4,50.8,19,29.8,5.8,N,6C,,,
5000-29560,7/6/04,1731,KV1,TBE,BTLH,F,AHY,3.3,50.4,19,30,6,N,,,,
5000-29561,7/6/04,1744,KV1,FCE,BTLH,F,AHY,3.5,50.6,19,30,5.6,N,5C,H,,
5000-29562,7/6/04,1754,KV1,TBE,BTLH,F,AHY,3.4,47.4,18.5,28,6,N,,L,,
5000-29563,7/6/04,1758,KV1,TBE,BTLH,F,AHY,3.5,50.7,19,29,5,N,5C,,,
5000-29564,7/6/04,1805,KV1,FCE,BTLH,F,AHY,3.5,50.6,19,30,,N,,,,stressed-released OK
5000-29565,7/6/04,1815,KV1,FCE,BTLH,F,AHY,3.8,51,19.5,29.5,5.3,M,,,,
5000-29566,7/7/04,0658,MCGC,FCE,BTLH,F,AHY,3.4,50.1,17.2,30,6,N,9C,,,
5000-29567,7/7/04,0732,MCGC,FCE,BTLH,F,AHY,3.5,50.4,18.5,29.5,5.5,M-H,,,,r3-5 mod-hvy wear
5000-29568,7/9/04,0805,MCGC,FCE,BTLH,F,AHY,3.8,51,18.5,30.1,5.4,L-M,,,,"r4-5 mod, r5 lt. Wear"
5000-29569,7/9/04,0828,MCGC,FCE,RUHU,M,AHY,3.6,40.7,16,26.2,2.5,N,,,,
