Band Number, Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r1 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4100-59147,06/12/2011,8:55,MP1,FCE,BTLH,F,AHY,3.63,51.2,19.0,29.0,,,,,,E6
4100-59148,06/12/2011,8:57,MP1,FCE,BTLH,F,AHY,3.59,49.6,17.9,30.1,,,,,,
4100-59149,06/12/2011,9:12,MP1,FCE,BTLH,F,AHY,3.48,49.2,19.3,30.0,,,,,,
4100-59150,06/12/2011,9:12,MP1,FCE,BTLH,F,AHY,3.8,49.7,18.7,30.0,,,,,,E6
4100-59151,06/12/2011,9:38,MP1,FCE,BTLH,F,AHY,3.58,51.8,18.1,29.8,,,,,,E6
4100-59152,06/12/2011,9:51,MP1,FCE,BTLH,F,AHY,3.48,50.4,18.6,29.8,,,,,,
4100-59153,06/12/2011,10:00,MP1,FCE,BTLH,F,AHY,3.7,49.8,19.1,30.0,,,,,,
4100-59154,06/12/2011,11:50,HPK2,FCE,BTLH,F,AHY,3.9,50.9,19.0,28.2,,,,,,
4100-59155,06/12/2011,11:50,HPK2,FCE,BTLH,F,AHY,3.2,49.7,18.2,29.5,,,,,,
4100-59156,06/12/2011,12:33,HPK2,FCE,BTLH,F,AHY,3.2,50.5,18.2,30.0,,,,,,
4100-59157,06/12/2011,12:46,HPK2,FCE,BTLH,F,AHY,3.5,50.7,19.6,30.0,,,,,,
4100-59158,06/12/2011,13:13,HPK2,FCE,BTLH,F,AHY,4.05,50.3,18.9,30.3,,,,,,E9
4100-59159,06/12/2011,13:13,HPK2,FCE,BTLH,F,AHY,3.7,50.6,19.3,29.5,,,,,,
4100-59160,06/12/2011,13:35,HPK2,FCE,BTLH,F,AHY,3.9,49.8,17.9,30.2,,,,,,E8
4100-59161,06/13/2011,6:49,MCGC,FCE,BTLH,F,AHY,3.7,49.8,18.8,30.0,,,,,,
4100-59162,06/13/2011,7:00,MCGC,FCE,BTLH,F,AHY,3.4,49.7,18.3,29.0,,,,,,
4100-59163,06/16/2011,6:07,MCGC,FCE,BTLH,F,AHY,3.9,50.3,18.0,30.2,,,,,,
4100-59164,05/29/2011,12:15,MP1,FCE,BTLH,M,AHY,3.2,48.5,16.6,31.0,,,,,,
4100-59165,06/16/2011,6:31,MCGC,FCE,BTLH,F,AHY,3.8,48.8,18.8,29.6,,,,,,E6
4100-59166,06/16/2011,6:34,MCGC,FCE,BTLH,F,AHY,3.8,50.2,19.2,29.2,,,,,,
4100-59167,06/16/2011,6:42,MCGC,FCE,BTLH,F,AHY,3.6,50.5,18.0,30.0,,,,,,
4100-59168,06/16/2011,7:15,MCGC,FCE,BTLH,F,AHY,3.3,49.7,18.7,29.0,,,,,,
4100-59169,06/16/2011,7:47,MCGC,FCE,BTLH,F,AHY,3,50.5,17.8,31.0,,,,,,
4100-59170,06/16/2011,8:10,MCGC,FCE,BTLH,F,AHY,3.4,51.2,18.6,29.8,,,,,,
4100-59171,06/16/2011,8:10,MCGC,FCE,BTLH,F,AHY,3.5,50.7,18.8,30.0,,,,,,E6
4100-59172,06/16/2011,10:46,MP1,FCE,BTLH,F,AHY,3.57,50.6,18.5,30.1,,,,,,
4100-59173,06/16/2011,16:46,MP1,FCE,BTLH,F,AHY,4.14,51.2,18.2,31.2,,,,,,E7
4100-59174,06/16/2011,17:06,MP1,FCE,BTLH,F,AHY,3.62,50.1,19.1,30.9,,,,,,
4100-59175,06/16/2011,17:20,MP1,FCE,BTLH,F,AHY,3.82,50.5,18.0,,,,,,,
4100-59176,06/16/2011,17:20,MP1,FCE,BTLH,F,AHY,3.46,50.4,20.2,30.8,,,,,,
4100-59177,06/16/2011,17:30,MP1,FCE,BTLH,F,AHY,3.26,48.9,18.5,28.5,,,,,,
4100-59178,06/16/2011,17:55,MP1,FCE,BTLH,F,AHY,4,51.1,18.2,31.0,,,,,,6
4100-59179,06/17/2011,18:20,MP1,FCE,BTLH,F,AHY,3.67,49.8,18.2,29.6,,,,,,
4100-59180,06/17/2011,18:20,MP1,FCE,BTLH,F,AHY,3.85,50.1,18.2,29.0,,,,,,E6
