Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
9100-23115,6/5/2012,7:30,MCGC,FCE,BTLH,AHY,F,4.7,50.6,19.8,,,,,,,"E8, r1,2 molt"
9100-23116,6/5/2012,7:30,MCGC,TBE,BTLH,AHY,F,3.7,49.2,19,30,,,,,,E7
9100-23117,6/5/2012,7:45,MCGC,TBE,BTLH,AHY,F,3.5,48.9,18.5,29.9,,,,,,
9100-23118,6/5/2012,7:45,MCGC,TBE,BTLH,AHY,F,3.6,48,18.8,30,,,,,,E6
9100-23119,6/5/2012,8:10,MCGC,FCE,BTLH,AHY,F,3.6,50.4,18.2,31,,,,,,
9100-23120,6/5/2012,8:10,MCGC,FCE,BTLH,AHY,F,3.5,50.3,17.9,28.5,,,,,,
9100-23121,6/5/2012,8:10,MCGC,TBE,BTLH,AHY,F,3.8,49.1,18.5,29.5,,,,,,E8
9100-23122,6/5/2012,8:26,MCGC,FCE,BTLH,AHY,F,3.7,50.3,19.6,30.1,,,,,,E6
9100-23123,6/5/2012,8:30,MCGC,FCE,BTLH,AHY,F,4.2,50.2,18.8,29.8,,,,,,E7
9100-23124,6/5/2012,8:30,MCGC,FCE,BTLH,AHY,F,3.2,50.7,18.2,30,,,,,,
9100-23125,6/5/2012,9:14,MCGC,FCE,BTLH,AHY,F,3.9,49.5,18,29.1,,,,,,E8
9100-23126,6/5/2012,17:27,MP1,FCE,BTLH,AHY,F,4.2,50.2,18.7,29.9,,,,,,E7
9100-23127,6/5/2012,17:27,MP1,FCE,BTLH,AHY,F,3.6,50,18.5,30,,,,,,
9100-23128,6/5/2012,17:27,MP1,FCE,BTLH,AHY,F,4,50.7,19.8,30,,,,,,E6
9100-23129,6/5/2012,17:27,MP1,TBE,BTLH,AHY,F,3.5,49.1,18.5,29,,,,,,
9100-23130,6/5/2012,18:05,MP1,TBE,BTLH,AHY,F,3.9,49.4,18.9,29.5,,,,,,E7
9100-23131,6/5/2012,18:24,MP1,FCE,BTLH,AHY,F,3.7,49.8,18,30.4,,,,,,E6-
9100-23132,6/5/2012,18:24,MP1,FCE,BTLH,AHY,F,4,49.8,19,30.1,,,,,,E7
9100-23133,6/5/2012,18:35,MP1,FCE,BTLH,AHY,F,3.3,51.3,19.1,31.5,,,,,,
9100-23134,6/5/2012,18:45,MP1,FCE,BTLH,AHY,F,3.7,49.5,18.5,30.8,,,,,,E6-
9100-23138,6/7/2012,10:43,HOLZ,FCE,BTLH,AHY,F,3.6,50.2,17.2,31.2,,,,,,E6
9100-23139,6/7/2012,10:54,HOLZ,FCE,BTLH,AHY,F,4.1,50.9,19.8,30.5,,,,,,E6
9100-23140,6/7/2012,11:00,HOLZ,FCE,BTLH,AHY,F,3.7,51.5,19.8,30.8,,,,,,
9100-23141,6/7/2012,11:06,HOLZ,FCE,BTLH,AHY,F,3.6,51.5,18.1,30.4,,,,,,
9100-23142,6/7/2012,11:11,HOLZ,FCE,BTLH,AHY,F,3.9,50.9,19.2,30.2,,,,,,E8
9100-23143,6/7/2012,11:18,HOLZ,FCE,BTLH,AHY,F,3.9,50.8,18.9,29.2,,,,,,E6
9100-23144,6/7/2012,11:25,HOLZ,FCE,BTLH,AHY,F,3.8,49.4,19.1,29.8,,,,,,E6
9100-23145,6/7/2012,11:30,HOLZ,FCE,BTLH,AHY,F,3.2,50.5,19.3,30.6,,,,,,
9100-23146,6/7/2012,11:36,HOLZ,FCE,BTLH,AHY,F,3.3,48.9,18.8,30.8,,,,,,
9100-23147,6/7/2012,11:54,HOLZ,FCE,BTLH,AHY,F,3.5,50.8,18.3,31.1,,,,,,
9100-23148,6/7/2012,12:11,HOLZ,FCE,BTLH,AHY,F,4,49.6,18.8,30.4,,,,,,E8
9100-23149,6/7/2012,12:36,HOLZ,FCE,BTLH,AHY,F,3.6,49.6,20,29.1,,,,,,
9100-23150,6/7/2012,12:40,HOLZ,FCE,BTLH,AHY,F,3.6,49.2,18.8,28.5,,,,,,
9100-23151,6/5/2012,19:25,MP1,FCE,BTLH,AHY,M,3.1,49.3,17,31.6,,,,,,
9100-23152,6/7/2012,12:11,HOLZ,FCE,BTLH,AHY,M,3.2,49,17,31.1,,,,,,
9100-23153,6/7/2012,12:25,HOLZ,FCE,BTLH,AHY,M,3.5,50.2,18.8,31.8,,,,,,
9100-23154,6/7/2012,14:15,GNMTN,FCE,BTLH,AHY,M,3.4,49.6,18.2,30.6,,,,,,
9100-23155,6/7/2012,15:20,GNMTN,FCE,BTLH,AHY,M,3.3,49.7,18,31,,,,,,
9100-23156,6/7/2012,15:22,GNMTN,FCE,BTLH,AHY,M,3.3,49,18,32,,,,,,
9100-23157,6/7/2012,15:55,GNMTN,FCE,BTLH,AHY,M,3.1,49.2,17,30,,,,,,
9100-23158,6/8/2012,6:35,MCGC,FCE,BTLH,AHY,M,3.5,48.6,17.5,30.8,,,,,,
9100-23159,6/8/2012,6:49,MCGC,FCE,BTLH,AHY,M,3.1,49.1,18,30.2,,,,,,
9100-23160,6/9/2012,8:35,MP1,FCE,BTLH,AHY,M,3.2,50.5,18,32.4,,,,,,
9100-23161,6/9/2012,8:58,MP1,FCE,BTLH,AHY,M,3.2,49.7,17.1,31.8,,,,,,
9100-23162,6/9/2012,9:18,MP1,FCE,BTLH,AHY,M,3.3,,,,,,,,,escaped
9100-23163,6/9/2012,9:18,MP1,FCE,BTLH,AHY,M,3.1,49.8,16.5,30.9,,,,,,
9100-23164,6/9/2012,9:58,MP1,FCE,BTLH,AHY,M,3,50.2,18.1,30.8,,,,,,
9100-23165,6/9/2012,10:10,MP1,FCE,BTLH,AHY,M,3.1,48.9,18,31.2,,,,,,
9100-23166,6/9/2012,10:45,MP1,FCE,BTLH,AHY,M,3.3,46.7,17.8,30.8,,,,,,p10 tips missing
9100-23167,6/10/2012,5:30,MCGC,FCE,BTLH,AHY,M,3.3,49.9,18,31.8,,,,,,
9100-23168,6/10/2012,5:30,MCGC,FCE,BTLH,AHY,M,3.3,49.4,16,31.7,,,,,,
9100-23169,6/10/2012,6:04,MCGC,FCE,BTLH,AHY,M,3.1,48.7,17.1,32.1,,,,,,
9100-23170,6/10/2012,6:04,MCGC,FCE,BTLH,AHY,M,3.4,48.8,18,30.6,,,,,,
9100-23171,6/10/2012,6:23,MCGC,FCE,BTLH,AHY,M,3.1,49.3,17.1,31.6,,,,,,
9100-23172,6/10/2012,6:52,MCGC,FCE,BTLH,AHY,M,3.2,48.5,18.1,30.6,,,,,,
9100-23173,6/10/2012,6:53,MCGC,FCE,BTLH,AHY,M,3,49.9,18,30.5,,,,,,
9100-23174,6/10/2012,8:17,MCGC,FCE,BTLH,AHY,M,3.2,49.3,17.1,32,,,,,,
9100-23175,6/10/2012,8:30,MCGC,FCE,BTLH,AHY,M,3.5,50.4,18.8,32,,,,,,
9100-23176,6/10/2012,9:00,MCGC,FCE,BTLH,AHY,M,3.4,48.6,18.1,30.8,,,,,,
9100-23177,6/11/2012,8:15,MP1,FCE,BTLH,AHY,M,3.4,50.1,18.3,31.9,,,,,,
9100-23178,6/11/2012,8:50,MP1,FCE,BTLH,AHY,M,3.2,49.3,17.8,31.5,,,,,,
9100-23179,6/11/2012,9:40,MP1,FCE,BTLH,AHY,M,3.5,49.3,17.9,32,,,,,,
9100-23180,6/11/2012,10:05,MP1,FCE,BTLH,AHY,M,3.5,50.1,18.1,31.1,,,,,,
9100-23181,6/11/2012,11:20,MP1,FCE,BTLH,AHY,M,3.3,50.7,18,31,,,,,,
9100-23182,6/11/2012,11:20,MP1,FCE,BTLH,AHY,M,3.1,49.4,17.8,31.8,,,,,,
9100-23183,6/11/2012,11:20,MP1,FCE,BTLH,AHY,M,3.3,49.6,18.3,32,,,,,,
9100-23184,6/11/2012,11:44,MP1,FCE,BTLH,AHY,M,3.3,50.2,172,30.8,,,,,,
9100-23185,6/11/2012,12:03,MP1,FCE,BTLH,AHY,M,4,48.3,18.4,31.1,,,,,,
9100-23186,6/11/2012,12:03,MP1,FCE,BTLH,AHY,M,3.3,49.4,18.1,30.9,,,,,,
9100-23187,6/11/2012,12:03,MP1,FCE,BTLH,AHY,M,3.1,51.1,18.7,33,,,,,,
9100-23188,6/12/2012,7:47,MCGC,FCE,BTLH,AHY,M,3.3,49.2,18.1,30,,,,,,
9100-23189,6/12/2012,6:57,MCGC,FCE,BTLH,AHY,M,3,50.8,17.2,31.2,,,,,,
9100-23190,6/12/2012,5:49,MCGC,FCE,BTLH,AHY,M,3.1,48.7,18,30.6,,,,,,
9100-23192,6/7/2012,12:38,HOLZ,FCE,BTLH,AHY,M,3.9,50.3,18,31.6,,,,,,
9100-23193,6/12/2012,6:45,MCGC,TBE,BTLH,AHY,M,3.3,50,18,31.5,,,,,,
9100-23194,6/12/2012,8:05,MCGC,FCE,BTLH,AHY,M,3.3,49.3,18,30.5,,,,,,
9100-23195,6/12/2012,8:05,MCGC,TBE,BTLH,AHY,M,3.4,49.1,17.7,32,,,,,,
9100-23196,6/12/2012,8:31,MCGC,FCE,BTLH,AHY,M,3.3,50.9,17.2,31,,,,,,
9100-23197,6/12/2012,9:00,MCGC,FCE,BTLH,AHY,M,3.4,50.1,16.4,31.6,,,,,,
9100-23198,6/19/2012,8:34,MP1,TBE,BTLH,AHY,M,3.2,48.7,18.1,32,,,,,,
9100-23199,6/19/2012,9:00,MP1,TBE,BTLH,AHY,M,3.3,48.8,18.5,30,,,,,,
9100-23200,6/19/2012,9:18,MP1,TBE,BTLH,AHY,M,3.2,49.8,16.9,29,,,,,,
9100-23201,6/1/2012,9:05,MP1,FCE,BTLH,AHY,M,3.1,49.9,17.6,31.5,,,,,,
9100-23202,6/1/2012,9:55,MP1,FCE,BTLH,AHY,M,3.6,50.5,17.2,31.1,,,,,,
9100-23203,6/1/2012,10:04,MP1,FCE,BTLH,AHY,M,3.3,49.1,17.1,32.1,,,,,,
9100-23204,6/1/2012,10:18,MP1,FCE,BTLH,AHY,M,3.2,50.1,17,33,,,,,,
9100-23205,6/1/2012,11:20,MP1,FCE,BTLH,AHY,M,3.3,49,17.8,30.9,,,,,,
9100-23206,6/1/2012,11:26,MP1,FCE,BTLH,AHY,M,3.5,50.4,17.1,30,,,,,,
9100-23207,6/1/2012,11:26,MP1,FCE,BTLH,AHY,M,3.3,47.7,17.9,30.5,,,,,,
9100-23208,6/1/2012,11:30,MP1,FCE,BTLH,AHY,M,4,49.3,17.8,31.8,,,,,,
9100-23209,6/1/2012,11:30,MP1,FCE,BTLH,AHY,M,3.3,48.8,18.1,31,,,,,,
9100-23210,6/10/2012,8:30,MCGC,FCE,BTLH,AHY,M,3.5,50.1,17.2,31,,,,,,
9100-23211,6/1/2012,8:30,MP1,FCE,BTLH,AHY,M,3.2,48.7,16,30.8,,,,,,
9100-23212,6/1/2012,10:28,MP1,FCE,BTLH,AHY,M,3.5,50.6,19.2,29.8,,,,,,
9100-23213,6/1/2012,10:52,MP1,TBE,BTLH,AHY,M,3.2,49,17,31,,,,,,
9100-23214,6/1/2012,10:52,MP1,FCE,BTLH,AHY,M,3.2,49.6,16.5,32.1,,,,,,
9100-23215,6/1/2012,11:10,MP1,TBE,BTLH,AHY,M,3.5,50.2,18.3,33,,,,,,
9100-23216,6/1/2012,11:10,MP1,FCE,BTLH,AHY,M,3.1,50.2,17.3,31.4,,,,,,
9100-23217,6/1/2012,18:24,HOLZ,FCE,BTLH,AHY,M,3.3,49.9,17.1,31.7,,,,,,
9100-23218,6/2/2012,6:01,MCGC,FCE,BTLH,AHY,M,3.5,49.7,18,31.1,,,,,,
9100-23219,6/2/2012,6:01,MCGC,FCE,BTLH,AHY,M,3.3,49.8,18.2,31,,,,,,
9100-23220,6/2/2012,6:35,MCGC,FCE,BTLH,AHY,M,3.4,49.1,17.2,29.6,,,,,,
9100-23221,6/2/2012,7:05,MCGC,FCE,BTLH,AHY,M,3.1,49.4,17.3,31.8,,,,,,
9100-23222,6/2/2012,7:45,MCGC,FCE,BTLH,AHY,M,3.2,50.2,17.5,31.1,,,,,,
9100-23223,6/2/2012,7:59,MCGC,FCE,BTLH,AHY,M,3.1,48.7,18.1,30.9,,,,,,
9100-23224,6/5/2012,6:45,MCGC,FCE,BTLH,AHY,M,3.5,50,17.9,30.8,,,,,,
9100-23225,6/5/2012,6:45,MCGC,FCE,BTLH,AHY,M,3.4,49.1,18,29.2,,,,,,
9100-23226,6/5/2012,6:45,MCGC,FCE,BTLH,AHY,M,3.2,48.6,17.2,29.5,,,,,,
9100-23227,6/5/2012,7:10,MCGC,FCE,BTLH,AHY,M,3.1,49.1,18.2,31.4,,,,,,
9100-23228,6/5/2012,7:45,MCGC,FCE,BTLH,AHY,M,3.2,50.3,17.1,31.7,,,,,,
9100-23229,6/5/2012,7:45,MCGC,FCE,BTLH,AHY,M,3.4,48.7,18,31.2,,,,,,
9100-23230,6/5/2012,7:45,MCGC,FCE,BTLH,AHY,M,3.3,50.2,18,31.5,,,,,,
9100-23231,6/5/2012,8:47,MCGC,FCE,BTLH,AHY,M,3.6,50.6,17.3,30.2,,,,,,
9100-23232,6/5/2012,8:53,MCGC,FCE,BTLH,AHY,M,3.5,51,18,30.2,,,,,,
9100-23233,6/5/2012,9:00,MCGC,FCE,BTLH,AHY,M,3.7,50.6,18.1,30.8,,,,,,
9100-23234,6/5/2012,9:00,MCGC,TBE,BTLH,AHY,M,3.2,49,17.9,32.5,,,,,,
9100-23235,6/5/2012,17:27,MP1,FCE,BTLH,AHY,M,3.3,49.6,18,31.1,,,,,,
9100-23236,6/5/2012,17:55,MP1,FCE,BTLH,AHY,M,3.4,48.3,18.1,31.1,,,,,,
9100-23237,6/5/2012,18:05,MP1,FCE,BTLH,AHY,M,3.3,49.6,17.2,32.1,,,,,,
9100-23238,6/5/2012,18:05,MP1,FCE,BTLH,AHY,M,4,49.5,18.2,31.5,,,,,,
9100-23239,6/5/2012,18:24,MP1,TBE,BTLH,AHY,M,3.5,49.8,17.7,29.9,,,,,,
9100-23240,6/5/2012,18:35,MP1,TBE,BTLH,AHY,M,3.3,48.8,18.5,29.5,,,,,,
9100-23241,6/5/2012,18:35,MP1,TBE,BTLH,AHY,M,3.3,49.4,17.5,31.5,,,,,,
9100-23242,6/5/2012,18:45,MP1,FCE,BTLH,AHY,M,3.4,47.9,18.7,29.4,,,,,,
9100-23243,6/5/2012,19:01,MP1,FCE,BTLH,AHY,M,3.8,50.2,17,31.8,,,,,,
9100-23244,6/5/2012,19:01,MP1,TBE,BTLH,AHY,M,3.3,48.8,18,30,,,,,,
9100-23245,6/5/2012,19:07,MP1,FCE,BTLH,AHY,M,3.2,51.1,16.4,31,,,,,,
9100-23246,6/5/2012,19:21,MP1,FCE,BTLH,AHY,M,3.7,48.7,16.9,30,,,,,,
9100-23247,6/5/2012,19:25,MP1,TBE,BTLH,AHY,M,3.3,48.2,17.9,31.5,,,,,,
9100-23251,6/7/2012,14:15,GNMTN,FCE,BTLH,AHY,F,4.4,51.1,19,30,,,,,,E8
9100-23252,6/7/2012,14:15,GNMTN,FCE,BTLH,AHY,F,3.2,49.3,19.1,30.1,,,,,,
9100-23253,6/7/2012,14:15,GNMTN,FCE,BTLH,AHY,F,3.9,49.9,18.8,30.1,,,,,,E6+
9100-23254,6/7/2012,14:54,GNMTN,FCE,BTLH,AHY,F,4,50.6,18,31,,,,,,E6
9100-23255,6/7/2012,14:54,GNMTN,FCE,BTLH,AHY,F,4.7,51.2,19.5,31.3,,,,,,E9+
9100-23256,6/7/2012,15:00,GNMTN,FCE,BTLH,AHY,F,4.7,50.1,19,29.2,,,,,,E8
9100-23257,6/7/2012,15:22,GNMTN,FCE,BTLH,AHY,F,3.6,49.9,18.9,31.1,,,,,,
9100-23258,6/7/2012,15:28,GNMTN,FCE,BTLH,AHY,F,4.2,50.9,19.3,30.5,,,,,,E8
9100-23259,6/7/2012,15:28,GNMTN,FCE,BTLH,AHY,F,3.8,49.8,18.4,31,,,,,,E8
9100-23260,6/7/2012,15:28,GNMTN,FCE,BTLH,AHY,F,3.3,50.8,18,29,,,,,,
9100-23261,6/7/2012,15:38,GNMTN,FCE,BTLH,AHY,F,3.7,50.7,18.1,30,,,,,,E6
9100-23262,6/7/2012,15:55,GNMTN,FCE,BTLH,AHY,F,4.2,51.5,18.8,30,,,,,,
9100-23263,6/7/2012,15:55,GNMTN,FCE,BTLH,AHY,F,3.4,48.9,19.8,29.1,,,,,,
9100-23264,6/8/2012,6:10,MCGC,FCE,BTLH,AHY,F,3.9,49.7,18.1,31,,,,,,
9100-23265,6/8/2012,6:10,MCGC,FCE,BTLH,AHY,F,3.7,49.8,18.7,30,,,,,,
9100-23266,6/8/2012,6:49,MCGC,FCE,BTLH,AHY,F,3.8,49.1,18.1,29.1,,,,,,E7
9100-23267,6/9/2012,8:35,MP1,FCE,BTLH,AHY,F,3.5,50.4,18.5,31.1,,,,,,
9100-23268,6/9/2012,8:35,MP1,FCE,BTLH,AHY,F,3.8,51.7,19.1,32.1,,,,,,
9100-23269,6/9/2012,9:18,MP1,FCE,BTLH,AHY,F,3.3,49.2,19.8,29,,,,,,
9100-23270,6/9/2012,10:10,MP1,FCE,BTLH,AHY,F,3.4,50.2,18.7,30,,,,,,E6
9100-23271,6/9/2012,10:10,MP1,FCE,BTLH,AHY,F,3.9,50.7,19,29.9,,,,,,E7
9100-23272,6/9/2012,10:45,MP1,FCE,BTLH,AHY,F,3.7,50.6,18.5,29.2,,,,,,E8
9100-23273,6/9/2012,10:45,MP1,FCE,BTLH,AHY,F,3.5,50.8,19.5,29.9,,,,,,E7
9100-23274,6/9/2012,10:45,MP1,FCE,BTLH,AHY,F,4.2,49.8,19,30.5,,,,,,
9100-23275,6/9/2012,11:24,MP1,FCE,BTLH,AHY,F,3.5,48.1,18.8,28.4,,,,,,
9100-23276,6/9/2012,11:25,MP1,FCE,BTLH,AHY,F,3.4,49.7,18,30,,,,,,
9100-23277,6/9/2012,11:25,MP1,FCE,BTLH,AHY,F,4,49.5,19,30.9,,,,,,
9100-23278,6/9/2012,11:25,MP1,FCE,BTLH,AHY,F,4,51.1,19.2,30.1,,,,,,E8
9100-23279,6/9/2012,11:25,MP1,FCE,BTLH,AHY,F,4.3,48.6,19,30,,,,,,E8
9100-23280,6/10/2012,5:30,MCGC,FCE,BTLH,AHY,F,3.5,51.3,18.2,31.5,,,,,,
9100-23281,6/10/2012,5:30,MCGC,FCE,BTLH,AHY,F,4,49.8,18.1,31,,,,,,E8
9100-23282,6/10/2012,6:04,MCGC,FCE,BTLH,AHY,F,4,50.8,19.2,27.9,,,,,,E8
9100-23283,6/10/2012,6:23,MCGC,FCE,BTLH,AHY,F,4.2,48.6,18.8,28.8,,,,,,E8
9100-23284,6/10/2012,6:23,MCGC,FCE,BTLH,AHY,F,3.9,48.4,19,29.6,,,,,,
9100-23285,6/10/2012,6:35,MCGC,TBE,BTLH,AHY,F,3.6,,,,,,,,,
9100-23286,6/10/2012,7:10,MCGC,FCE,BTLH,AHY,F,4.2,50,19.2,30,,,,,,E8
9100-23287,6/10/2012,7:10,MCGC,FCE,BTLH,AHY,F,4.1,50.6,18,29.8,,,,,,
9100-23288,6/10/2012,7:28,MCGC,FCE,BTLH,AHY,F,4.1,50.2,19,30.1,,,,,,E6
9100-23289,6/10/2012,7:44,MCGC,FCE,BTLH,AHY,F,3.9,50.4,18.3,29.5,,,,,,E7
9100-23290,6/10/2012,7:44,MCGC,FCE,BTLH,AHY,F,3.9,50.6,19,29.4,,,,,,
9100-23291,6/10/2012,7:44,MCGC,FCE,BTLH,AHY,F,3.3,49.6,20,30,,,,,,
9100-23292,6/10/2012,7:44,MCGC,FCE,BTLH,AHY,F,4,50.1,19.8,30.1,,,,,,E6+
9100-23293,6/10/2012,8:09,MCGC,FCE,BTLH,AHY,F,3.6,49.8,18.9,30.2,,,,,,
9100-23294,6/10/2012,8:30,MCGC,TBE,BTLH,AHY,F,4.4,50.1,18,31.5,,,,,,E9+
9100-23295,6/10/2012,9:00,MCGC,FCE,BTLH,AHY,F,3.7,51.3,18.2,29.8,,,,,,
9100-23296,6/11/2012,8:03,MP1,FCE,BTLH,AHY,F,3.2,49.6,19,29.9,,,,,,
9100-23297,6/11/2012,8:15,MP1,FCE,BTLH,AHY,F,4.6,50.2,18.8,29.5,,,,,,former E91361
9100-23298,6/11/2012,8:15,MP1,FCE,BTLH,AHY,F,3.4,51.5,19,31,,,,,,
9100-23299,6/11/2012,8:15,MP1,FCE,BTLH,AHY,F,3.3,51.9,18,30.5,,,,,,
9100-23300,6/11/2012,8:50,MP1,FCE,BTLH,AHY,F,3.2,51.1,17.4,30.7,,,,,,
9100-23301,6/13/2012,11:19,HOLZ,FCE,BTLH,AHY,M,3,49.2,16.8,31.6,,,,,,
9100-23302,6/13/2012,11:56,HOLZ,FCE,BTLH,AHY,M,3.3,49,17.1,31.9,,,,,,
9100-23303,6/13/2012,11:56,HOLZ,FCE,BTLH,AHY,M,3.3,50.2,17.8,31.3,,,,,,
9100-23304,6/13/2012,12:10,HOLZ,FCE,BTLH,AHY,M,3.3,50.2,18.1,32,,,,,,
9100-23305,6/13/2012,15:06,GNMTN,FCE,BTLH,AHY,M,3.1,48.8,17.9,32.4,,,,,,
9100-23306,6/13/2012,15:40,GNMTN,FCE,BTLH,AHY,M,3.5,50.3,18,32.5,,,,,,
9100-23307,6/13/2012,15:40,GNMTN,FCE,BTLH,AHY,M,3.3,48.8,19.1,32,,,,,,
9100-23308,6/13/2012,16:00,GNMTN,FCE,BTLH,AHY,M,3.3,49.2,18.1,30.5,,,,,,
9100-23309,6/16/2012,7:11,MCGC,FCE,BTLH,AHY,M,3.2,48.2,18,30.5,,,,,,
9100-23310,6/16/2012,7:50,MCGC,FCE,BTLH,AHY,M,3.1,48.8,18.2,31,,,,,,
9100-23311,6/16/2012,8:52,MCGC,FCE,BTLH,AHY,M,3.4,50.4,17.8,31.8,,,,,,
9100-23312,6/16/2012,9:13,MCGC,FCE,BTLH,AHY,M,3.5,50.8,17.8,31,,,,,,
9100-23313,6/16/2012,9:13,MCGC,FCE,BTLH,AHY,M,3.1,49.7,18,31.5,,,,,,
9100-23314,6/16/2012,9:13,MCGC,FCE,BTLH,AHY,M,3.4,50.3,18.8,31.8,,,,,,
9100-23315,6/18/2012,7:00,MCGC,FCE,BTLH,AHY,M,3.7,49.6,17.8,31.9,,,,,,
9100-23316,6/18/2012,18:00,MP1,FCE,BTLH,AHY,M,3.1,49.8,17.3,31,,,,,,
9100-23317,6/18/2012,18:30,MP1,FCE,BTLH,AHY,M,3.1,49.7,18.8,31.2,,,,,,
9100-23318,6/18/2012,18:58,MP1,FCE,BTLH,AHY,M,3.3,49.6,17,30,,,,,,
9100-23319,6/18/2012,19:15,MP1,TBE,BTLH,AHY,M,3.1,49.4,17.5,32,,,,,,
9100-23320,6/18/2012,19:42,MP1,FCE,BTLH,AHY,M,3.2,49.5,18.2,30,,,,,,
9100-23321,6/18/2012,19:42,MP1,FCE,BTLH,AHY,M,3.7,,,,,,,,,escaped
9100-23322,6/18/2012,19:58,MP1,FCE,BTLH,AHY,M,3.2,50.8,16.9,31,,,,,,
9100-23323,6/19/2012,9:14,MP1,FCE,BTLH,AHY,M,3.4,49.9,16.9,31.8,,,,,,
9100-23324,6/19/2012,9:18,MP1,FCE,BTLH,AHY,M,3.1,49.8,17.2,30,,,,,,
9100-23325,6/19/2012,9:50,MP1,FCE,BTLH,AHY,M,3.3,49.9,18,31.5,,,,,,
9100-23326,6/19/2012,10:24,MP1,FCE,BTLH,AHY,M,3.2,51.2,16.9,32.2,,,,,,
9100-23327,6/19/2012,10:35,MP1,FCE,BTLH,AHY,M,3.3,50.4,18,31.5,,,,,,
9100-23328,6/20/2012,5:40,MCGC,FCE,BTLH,AHY,M,3.4,50.5,17.7,32.1,,,,,,
9100-23329,6/20/2012,12:29,CC3,FCE,BTLH,AHY,M,3,50.3,17,31.1,,,,,,
9100-23330,6/21/2012,12:45,GNMTN,TBE,BTLH,AHY,M,3,49,18.6,,,,,,,
9100-23331,6/19/2012,10:00,MP1,TBE,BTLH,AHY,M,3.2,49.3,17.9,30.5,,,,,,
9100-23332,6/21/2012,16:58,HOLZ,TBE,BTLH,AHY,M,3.7,49.3,18,31.2,,,,,,
9100-23333,6/21/2012,17:10,HOLZ,TBE,BTLH,AHY,M,3.6,50.3,17.8,33,,,,,,
9100-23334,7/3/2012,9:42,MCGC,FCE,RUHU,AHY,F,3.9,43.9,18.8,27,,,,,,
9100-23335,7/4/2012,18:00,MCGC,FCE,BTLH,HY,M,3.1,49.8,16.1,30,,,,,,
9100-23336,7/4/2012,19:01,MCGC,FCE,RUHU,AHY,F,4.6,43.7,17.1,26.6,,,,,,
9100-23338,7/6/2012,9:39,HOLZ,FCE,BTLH,AHY,M,3.2,50.2,19,32,,,,,,
9100-23339,7/6/2012,10:10,HOLZ,FCE,BTLH,AHY,M,3.3,49.6,18.2,28.6,,,,,,
9100-23340,7/6/2012,10:55,HOLZ,TBE,RUHU,AHY,F,3.6,45.6,,28,,,,,,escaped
9100-23341,7/6/2012,14:48,GNMTN,FCE,BTLH,AHY,M,3.3,49.9,17.5,31,,,,,,
9100-23342,7/6/2012,14:48,GNMTN,TBE,RUHU,AHY,F,3.1,43.6,17,27,,,,,,
9100-23343,7/6/2012,15:05,GNMTN,FCE,BTLH,AHY,M,3.5,49.9,18.3,31.8,,,,,,
9100-23344,7/8/2012,10:09,MP1,TBE,BTLH,AHY,M,3.2,49.5,18.3,31,,,,,,
9100-23345,7/8/2012,10:42,MP1,FCE,BTLH,AHY,M,3.1,48.9,17.3,31,,,,,,
9100-23346,7/8/2012,11:04,MP1,FCE,BTLH,HY,M,4.1,49.4,17.1,29,,,,,,
9100-23347,7/8/2012,11:04,MP1,FCE,BTLH,AHY,M,3,50.9,18.1,31,,,,,,
9100-23348,7/11/2012,6:10,MCGC,FCE,BTLH,HY,M,3.7,48.5,16.3,30.3,,,,,,
9100-23349,7/11/2012,8:30,MCGC,FCE,RUHU,AHY,F,4,44.1,18.1,26.4,,,,,,
9100-23350,7/11/2012,9:48,MCGC,TBE,RUHU,AHY,F,4.8,43.3,16.6,26,,,,,,
9100-23351,6/11/2012,8:50,MP1,FCE,BTLH,AHY,F,3.6,50.2,19.2,30.6,,,,,,
9100-23352,6/11/2012,8:50,MP1,FCE,BTLH,AHY,F,3.5,50.9,18,31.2,,,,,,
9100-23353,6/11/2012,8:50,MP1,FCE,BTLH,AHY,F,3.8,48.3,18.2,28.6,,,,,,E7
9100-23354,6/11/2012,9:20,MP1,FCE,BTLH,AHY,F,3.6,50.5,19.5,32.1,,,,,,
9100-23355,6/11/2012,9:40,MP1,FCE,BTLH,AHY,F,4.3,51.4,19.3,30.8,,,,,,
9100-23356,6/11/2012,9:40,MP1,FCE,BTLH,AHY,F,4.1,51.5,18.1,30.4,,,,,,
9100-23357,6/11/2012,9:40,MP1,FCE,BTLH,AHY,F,3.9,50.1,18,30,,,,,,E7
9100-23358,6/11/2012,10:05,MP1,FCE,BTLH,AHY,F,3.6,51.4,17.9,30.1,,,,,,E6
9100-23359,6/11/2012,10:05,MP1,FCE,BTLH,AHY,F,3.6,51.2,19,30.5,,,,,,
9100-23360,6/11/2012,10:05,MP1,FCE,BTLH,AHY,F,3.3,50.7,19.1,31,,,,,,E6-
9100-23361,6/11/2012,10:55,MP1,FCE,BTLH,AHY,F,3.7,50.9,19,31,,,,,,
9100-23362,6/11/2012,11:44,MP1,FCE,BTLH,AHY,F,4.4,51.6,18.8,29.6,,,,,,fat
9100-23363,6/12/2012,5:19,MCGC,FCE,BTLH,AHY,F,3.6,49.8,19.1,29.8,,,,,,
