Initials-Bdr,Location,year,mo,day,time,Band Status,Band Number,Tarsus / Condition,Band Size,Species,Sex,Age,Removed band num,GorColor,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth / P10 Shape,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen– Color,Fat,CPBreed,Gorget/head molt,Body Molt,Primary Molt,Secondary Molt,Tail Molt,Weight,Feather collected,Photo(s) taken,Sample Collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
SMW,HC,2021,9,4,7:21,1,U07770,G,G,BCHU,F,1,,NS,,,0,N,U,E,,,P,,46.5,22.6,N,T,2,1,1,M,L,M,3.32,,,,,,,,,
SMW,HC,2021,9,4,7:38,1,U07771,F,G,BCHU,F,2,,NS,,,2,Y,U,R,,5X5,R,,47.5,21,WH,T,2,1,2,F,F,M,3.5,,,,,,,,,
SMW,HC,2021,9,4,11:08,1,U07772,F,G,BCHU,F,1,,MS,,,0,N,U,E,,,P,,45,19.7,WH,T,2,1,2,4,2,L,3.45,,,,,,,,,
SMW,HC,2021,9,21,6:42,1,U07773,F,G,BCHU,F,1,,LS,,,0,N,U,E,,,P,,46.5,21.7,N,3,2,1,1,L,F,L,4.1,,,,1,7:52,,,,
SMW,HC,2021,9,21,7:21,1,U07774,F,G,ANHU,F,2,,R,5,,1,S,E,R,,,R,,50,18.3,N,1,2,F,F,F,F,L,3.99,,,,,,,,,
SMW,HC,2021,9,21,7:41,1,U07775,F,G,ANHU,F,1,,R,20,,0,S,E,E,,,N,,50,19.8,N,0,2,F,F,F,F,F,3.65,,,,,,,,,
SMW,HC,2021,9,21,7:45,1,U07776,F,G,ANHU,F,1,,MS,,,0,S,E,E,,,N,,50,20.1,N,P,5,1,1,F,F,F,3.91,,,,,,,,,
SMW,HC,2021,9,21,8:18,1,U07777,E,G,ANHU,F,2,,HS,,,2,Y,E,R,,,N,,50.5,18.8,WN,1,2,2,1,7,1,L,4.96,,,,,,,,,
SMW,HC,2021,9,21,8:36,1,U07778,F,G,BCHU,F,1,,LS,,,0,N,U,E,,,P,,45,20.3,N,1,2,L,F,L,F,M,3.37,,,,,,,,,
SMW,HC,2021,9,21,8:48,1,U07779,E,G,ANHU,F,1,,MS,,,0,S,E,E,,,N,,50.5,19.8,N,0,2,F,F,F,F,F,3.85,,,,,,,,,
SMW,HC,2021,9,21,8:51,1,U07780,F,G,ANHU,F,1,,HS,,,0,S,E,E,,,N,,50,19.5,WH,2,5,1,F,F,F,L,4.9,,,,,,,,,
SMW,HC,2021,9,21,9:51,1,U07781,G,G,BCHU,F,2,,LS,,,2,Y,U,R,,4X4,R,,46,21.4,N,1,2,F,F,F,F,F,3.59,,,,,,,,,
SMW,HC,2021,9,21,9:54,1,U07782,F,G,ANHU,F,1,,R,35,,0,N,E,E,,,R,,51,18.9,N,0,2,F,F,F,F,L,3.95,,,,1,11:05,,,,
SMW,HC,2021,10,2,8:50,R,U07782,1,,ANHU,F,1,,R,30,,0,S,E,E,,,R,,51,18.4,OU,P,2,F,F,F,F,L,3.89,,,,,,,,,
SMW,HC,2021,9,21,9:57,1,U07783,F,G,ANHU,F,1,,R,35,,0,S,E,E,,,N,,51.5,19.6,N,0,2,F,F,F,F,F,3.9,,,,,,,,,
SMW,HC,2021,9,21,10:49,1,U07784,F,G,ANHU,F,2,,R,4,,1,Y,E,E,,,R,,49,18.9,N,T,2,1,1,F,F,F,3.84,,,,,,,,,
SMW,HC,2021,10,2,8:17,R,U07784,1,,ANHU,F,1,,R,5,,0,S,E,E,,,R,,50,18.9,N,P,2,F,F,F,F,F,3.68,,,,,,,,,
