band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B80833951775,B80833951775,,B,05/27/2021,27,05,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,0.00,B,15327464,Selasphorus platycercus
B80833951775,B80833951775,,E,06/09/2021,09,06,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,,66,23,14,07,1.00,R,15093952,Selasphorus platycercus
B80833951775,B80833951775,,E,06/13/2021,13,06,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,,66,23,14,07,1.00,R,15093988,Selasphorus platycercus
B80833952578,B80833952578,,B,06/15/2020,15,06,2020,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,,B,12223972,Selasphorus platycercus
B80833952578,B80833952578,,E,07/15/2020,15,07,2020,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,,66,23,14,07,1.08,R,12513506,Selasphorus platycercus
B80833953050,B80833953050,,B,06/26/2020,26,06,2020,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,0,,,,,,B,12223856,Selasphorus platycercus
B80833953050,B80833953050,,E,07/10/2020,10,07,2020,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,1.08,R,12513476,Selasphorus platycercus
B80833953050,B80833953050,,E,06/13/2021,13,06,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,5,P3735013,,66,23,14,07,2.00,R,15093986,Selasphorus platycercus
B80833953050,B80833953050,,E,08/02/2022,02,08,2022,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,3.17,R,17673086,Selasphorus platycercus
B80933218228,B80933218228,B25833422052; ,B,06/08/2011,08,06,2011,US,US-CO,40.34167,-105.57500,1,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3723353,0,,,,,0.00,B,-36972454,Selasphorus platycercus
B80933218228,B80933218228,B25833422052; ,E,07/13/2011,13,07,2011,US,US-CO,40.34167,-105.60833,1,11,,4320,,,,,,,66,23,14,08,1.08,E,-8581345,Selasphorus platycercus
B25833422052,B80933218228,B80933218228; ,B,07/13/2011,13,07,2011,US,US-CO,40.34167,-105.60833,1,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,1,,,,,,B,-36987160,Selasphorus platycercus
