"band","band_status","year","sex","recap_num","obsdate","site","band_year","band_age","band_site","breeding","month","day","location"
"5000-96946","R",2005,"F","r02",2005-06-12,"MP1",2004,"HY","MP1","E6",6,12,"east"
"5000-96946","R",2005,"F","r03",2005-06-18,"MP1",2004,"HY","MP1",NA,6,18,"east"
"5000-96946","R",2005,"F","r04",2005-06-25,"MP1",2004,"HY","MP1",NA,6,25,"east"
"5000-96947","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96947","R",2004,"F","r01",2004-08-24,"MP1",2004,"AHY","MP1",NA,8,24,"east"
"5000-96947","R",2005,"F","r01",2005-05-25,"MP1",2004,"AHY","MP1","E8",5,25,"east"
"5000-96948","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96948","R",2005,"F","r01",2005-07-07,"MP1",2004,"AHY","MP1","E7",7,7,"east"
"5000-96949","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96950","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96951","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96951","R",2005,"F","r01",2005-08-17,"MP1",2004,"AHY","MP1",NA,8,17,"east"
"5000-96951","R",2006,"F","r01",2006-06-09,"MP1",2004,"AHY","MP1","E7",6,9,"east"
"5000-96952","1",2004,"M","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96952","R",2004,"M","r01",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96952","R",2004,"M","r02",2004-08-24,"MP1",2004,"HY","MP1",NA,8,24,"east"
"5000-96953","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96954","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96954","R",2006,"F","r01",2006-06-13,"MP1",2004,"AHY","MP1",NA,6,13,"east"
