"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"38","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:44","R","R","U05940","1",NA,NA,"ANHU","F","1",NA,"R","10",NA,NA,NA,NA,NA,"E","E",NA,NA,"N",NA,"0","0",NA,"N","0","2","F","F","L","FALSE","L","3.78",NA,NA,NA,NA,NA,NA,NA,NA
"39","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:27","R","R","U06057",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCAB WOUND ON BELLY (STAB WOUND)"
"40","HMN","Y","SMW","HC",NA,NA,NA,NA,"11:00","R","R","U06110","1",NA,NA,"BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","19.3",NA,"N","0",NA,"F","F","F","FALSE","F","2.77",NA,NA,NA,NA,NA,NA,NA,NA
"41","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:20","R","R","U06178",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:16","R","R","U06189",NA,NA,NA,"ANHU","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISSING SECONDARY ON LEFT SIDE"
"43","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:17","R","R","U06199",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:36","R","R","U06200",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESCAPED"
"45","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:34","R","R","U06260",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:30","R","R","U06286",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTAR IN CROP"
"47","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:31","R","R","U06289","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","P",NA,"F","F","F","FALSE","F","3.07",NA,NA,"1","9:02",NA,NA,NA,NA
