"","UBI_band","band_status","year","fixed_sex","site"
"271","5000-96737","R",2004,"F","MP1"
"272","5000-96776","R",2004,"M","MP1"
"273","5000-96781","R",2004,"F","MCGC"
"274","5000-96790","R",2004,"M","MCGC"
"275","5000-96795","R",2004,"F","MP1"
"276","5000-96802","R",2004,"F","MCGC"
"277","5000-96822","R",2004,"F","MP1"
"278","5000-96830","R",2004,"M","MCGC"
"279","5000-96831","R",2004,"M","MCGC"
"280","5000-96832","R",2004,"F","MCGC"
"281","5000-96855","R",2004,"F","MCGC"
"282","5000-96867","R",2004,"M","MP1"
"283","5000-96872","R",2004,"F","MP1"
"284","5000-96881","R",2004,"F","CC2"
"285","5000-96884","R",2004,"F","CC2"
"286","5000-96886","R",2004,"F","MCGC"
"287","5000-96887","R",2004,"F","MCGC"
"288","5000-96888","R",2004,"F","MCGC"
"289","5000-96891","R",2004,"M","MCGC"
"290","5000-96892","R",2004,"F","MCGC"
"291","5000-96913","R",2004,"F","MP1"
"292","5000-96943","R",2004,"M","MP1"
"293","5000-96947","R",2004,"F","MP1"
"294","5000-96952","R",2004,"M","MP1"
"295","5000-96958","R",2004,"F","MP1"
"296","5000-96974","R",2004,"F","MP1"
"297","5000-97005","R",2004,"F","KV1"
"298","5000-97023","R",2004,"M","MP1"
"299","5000-97040","R",2004,"M","KV1"
"300","5000-11529","R",2005,"M","MCGC"
"301","5000-11536","R",2005,"F","MCGC"
"302","5000-11543","R",2005,"F","MCGC"
"303","5000-11554","R",2005,"F","MCGC"
"304","5000-11558","R",2005,"F","MCGC"
"305","5000-11591","R",2005,"M","MCGC"
"306","5000-11593","R",2005,"F","MCGC"
"307","5000-11601","R",2005,"F","MCGC"
"308","5000-11632","R",2005,"M","MCGC"
"309","5000-11633","R",2005,"M","MCGC"
"310","5000-11635","R",2005,"F","MCGC"
"311","5000-11639","R",2005,"M","MCGC"
"312","5000-11657","R",2005,"F","MCGC"
"313","5000-11665","R",2005,"M","MCGC"
"314","5000-11679","R",2005,"M","MCGC"
"315","5000-11693","R",2005,"M","MCGC"
"316","5000-11698","R",2005,"F","CC2"
"317","5000-11709","R",2005,"M","MCGC"
"318","5000-11723","R",2005,"F","MCGC"
"319","5000-11732","R",2005,"F","MCGC"
"320","5000-11738","R",2005,"F","MCGC"
"321","5000-11749","R",2005,"M","MCGC"
"322","5000-11757","R",2005,"F","MCGC"
"323","5000-11778","R",2005,"F","MCGC"
"324","5000-29248","R",2005,"M","MCGC"
"325","5000-29260","R",2005,"M","MCGC"
"326","5000-29290","R",2005,"F","MP1"
"327","5000-29291","R",2005,"F","MP1"
"328","5000-29292","R",2005,"F","MP1"
"329","5000-29304","R",2005,"F","MCGC"
"330","5000-29306","R",2005,"F","MCGC"
"331","5000-29348","R",2005,"F","MP1"
"332","5000-29365","R",2005,"M","MCGC"
"333","5000-29369","R",2005,"F","MCGC"
"334","5000-29371","R",2005,"M","MCGC"
"335","5000-29401","R",2005,"M","MCGC"
"336","5000-29407","R",2005,"F","MP1"
"337","5000-29419","R",2005,"F","MP1"
"338","5000-29421","R",2005,"F","MCGC"
"339","4000-47660","R",2005,"F","MP1"
"340","4000-47664","R",2005,"F","MP1"
"341","4000-47673","R",2005,"M","MCGC"
"342","4000-47686","R",2005,"F","MP1"
"343","4000-47688","R",2005,"F","MP1"
"344","4000-47693","R",2005,"F","MP1"
"345","4000-47761","R",2005,"M","MCGC"
"346","4000-47771","R",2005,"M","MCGC"
"347","4000-47788","R",2005,"F","MCGC"
"348","4000-47789","R",2005,"F","MCGC"
"349","4000-47790","R",2005,"F","MCGC"
"350","4000-47792","R",2005,"F","MCGC"
"351","4000-47798","R",2005,"M","MCGC"
"352","5000-29451","R",2005,"F","MCGC"
"353","5000-29455","R",2005,"M","MCGC"
"354","5000-29456","R",2005,"F","MCGC"
"355","5000-29471","R",2005,"M","MCGC"
"356","5000-29473","R",2005,"M","MCGC"
"357","5000-29475","R",2005,"F","MCGC"
"358","5000-29476","R",2005,"F","MCGC"
"359","5000-29478","R",2005,"F","MCGC"
"360","5000-29482","R",2005,"F","MCGC"
"361","5000-29483","R",2005,"F","MCGC"
"362","5000-29486","R",2005,"F","MCGC"
"363","5000-29496","R",2005,"F","KV1"
"364","5000-29497","R",2005,"M","KV1"
"365","5000-29523","R",2005,"F","GNMTN"
"366","5000-29526","R",2005,"F","MCGC"
"367","5000-29529","R",2005,"M","MCGC"
"368","5000-29532","R",2005,"F","MCGC"
"369","5000-29546","R",2005,"F","GNMTN"
"370","5000-29551","R",2005,"F","GNMTN"
"371","5000-29552","R",2005,"F","GNMTN"
"372","5000-29561","R",2005,"F","KV1"
"373","5000-29568","R",2005,"F","MCGC"
"374","5000-29574","R",2005,"M","MCGC"
"375","5000-29575","R",2005,"M","MCGC"
"376","5000-29593","R",2005,"F","MCGC"
"377","5000-29594","R",2005,"F","CC2"
"378","5000-29606","R",2005,"F","KV1"
"379","5000-29609","R",2005,"F","GNMTN"
"380","5000-29616","R",2005,"M","MCGC"
"381","5000-29619","R",2005,"F","MCGC"
"382","5000-29622","R",2005,"F","MCGC"
"383","5000-29635","R",2005,"M","MCGC"
"384","5000-29641","R",2005,"F","MCGC"
"385","5000-29643","R",2005,"F","MCGC"
"386","5000-29645","R",2005,"M","MCGC"
"387","5000-29660","R",2005,"M","MCGC"
"388","5000-29675","R",2005,"F","GNMTN"
"389","5000-29676","R",2005,"F","GNMTN"
"390","5000-29678","R",2005,"F","MCGC"
"391","5000-29681","R",2005,"F","MCGC"
"392","5000-96628","R",2005,"F","KV1"
"393","5000-96640","R",2005,"F","MCGC"
"394","5000-96645","R",2005,"F","CC2"
"395","5000-96648","R",2005,"F","MCGC"
"396","5000-96650","R",2005,"F","MCGC"
"397","5000-96661","R",2005,"F","MCGC"
