"","band","band_status","year","age","sex","site","site_recap","location"
"2708","4100-08564","1",2010,"AHY","F","MP1","MP1","east"
"2709","4100-08565","1",2010,"AHY","F","MP1","MP1","east"
"2710","4100-08566","1",2010,"AHY","F","MP1","MP1","east"
"2711","4100-08566","R",2011,"AHY","F","MP1","MCGC","east"
"2712","4100-08567","1",2010,"AHY","F","MP1","MP1","east"
"2713","4100-08567","R",2011,"AHY","F","MP1","HPK2","east"
"2714","4100-08568","1",2010,"AHY","F","MP1","MP1","east"
"2715","4100-08568","R",2011,"AHY","F","MP1","MP1","east"
"2716","4100-08569","1",2010,"AHY","F","MP1","MP1","east"
"2717","4100-08569","R",2011,"AHY","F","MP1","MP1","east"
"2718","4100-08570","1",2010,"AHY","F","MP1","MP1","east"
"2719","4100-08571","1",2007,"AHY","F","HPK1","HPK1","east"
"2720","4100-08571","R",2010,"AHY","F","HPK1","HPK2","east"
"2721","4100-08571","R",2011,"AHY","F","HPK1","HPK1","east"
"2722","4100-08572","1",2010,"AHY","F","HPK2","HPK2","east"
"2723","4100-08573","1",2010,"AHY","F","HPK2","HPK2","east"
"2724","4100-08574","1",2010,"AHY","F","HPK2","HPK2","east"
"2725","4100-08574","R",2011,"AHY","F","HPK2","HPK2","east"
"2726","4100-08575","1",2010,"AHY","F","MCGC","MCGC","east"
"2727","4100-08576","1",2010,"AHY","F","MCGC","MCGC","east"
"2728","4100-08577","1",2010,"AHY","F","MP1","MP1","east"
"2729","4100-08578","1",2010,"AHY","F","MP1","MP1","east"
"2730","4100-08579","1",2010,"AHY","F","MP1","MP1","east"
"2731","4100-08580","1",2010,"AHY","F","MP1","MP1","east"
"2732","4100-08580","R",2011,"AHY","F","MP1","MP1","east"
"2733","4100-08581","1",2010,"AHY","F","MP1","MP1","east"
"2734","4100-08582","1",2010,"AHY","F","MP1","MP1","east"
"2735","4100-08583","1",2010,"AHY","F","MP1","MP1","east"
"2736","4100-08583","R",2010,"AHY","F","MP1","MCGC","east"
"2737","4100-08584","1",2010,"AHY","F","MP1","MP1","east"
"2738","4100-08585","1",2010,"AHY","F","MP1","MP1","east"
"2739","4100-08586","1",2010,"AHY","F","MP1","MP1","east"
"2740","4100-08586","R",2011,"AHY","F","MP1","MP1","east"
"2741","4100-08587","1",2010,"AHY","F","HPK2","HPK2","east"
"2742","4100-08588","1",2010,"AHY","F","MCGC","MCGC","east"
"2743","4100-08589","1",2010,"AHY","F","MCGC","MCGC","east"
"2744","4100-08590","1",2010,"AHY","F","MCGC","MCGC","east"
"2745","4100-08590","R",2011,"AHY","F","MCGC","MCGC","east"
"2746","4100-08591","1",2010,"AHY","F","MP1","MP1","east"
"2747","4100-08591","R",2011,"AHY","F","MP1","MP1","east"
"2748","4100-08592","1",2010,"AHY","F","MP1","MP1","east"
"2749","4100-08593","1",2010,"AHY","F","MP1","MP1","east"
"2750","4100-08594","1",2010,"AHY","F","MP1","MP1","east"
"2751","4100-08594","R",2011,"AHY","F","MP1","MP1","east"
"2752","4100-08595","1",2010,"AHY","F","MP1","MP1","east"
"2753","4100-08596","1",2010,"AHY","F","MP1","MP1","east"
"2754","4100-08597","1",2010,"AHY","F","MP1","MP1","east"
"2755","4100-08598","1",2010,"AHY","F","MP1","MP1","east"
"2756","4100-08598","R",2011,"AHY","F","MP1","YMCA","east"
"2757","4100-08599","1",2010,"AHY","F","MP1","MP1","east"
"2758","4100-08600","1",2010,"AHY","F","KV1","KV1","west"
"2759","4100-08601","1",2010,"AHY","F","HPK2","HPK2","east"
"2760","4100-08602","1",2010,"AHY","F","HPK2","HPK2","east"
"2761","4100-08603","1",2010,"AHY","F","HPK2","HPK2","east"
"2762","4100-08604","1",2010,"AHY","F","MCGC","MCGC","east"
"2763","4100-08605","1",2010,"AHY","F","MCGC","MCGC","east"
"2764","4100-08606","1",2010,"AHY","F","MCGC","MCGC","east"
"2765","4100-08606","R",2011,"AHY","F","MCGC","MCGC","east"
"2766","4100-08607","1",2010,"AHY","F","MCGC","MCGC","east"
"2767","4100-08608","1",2010,"AHY","F","MCGC","MCGC","east"
"2768","4100-08609","1",2010,"AHY","F","MCGC","MCGC","east"
"2769","4100-08610","1",2010,"AHY","F","MCGC","MCGC","east"
"2770","4100-08610","R",2011,"AHY","F","MCGC","MCGC","east"
"2771","4100-08611","1",2010,"AHY","F","KV1","KV1","west"
"2772","4100-08612","1",2010,"AHY","F","KV1","KV1","west"
"2773","4100-08613","1",2010,"AHY","F","KV1","KV1","west"
"2774","4100-08614","1",2010,"AHY","F","KV1","KV1","west"
"2775","4100-08615","1",2010,"AHY","F","KV1","KV1","west"
"2776","4100-08616","1",2010,"AHY","F","KV1","KV1","west"
"2777","4100-08616","R",2011,"AHY","F","KV1","KV1","west"
"2778","4100-08617","1",2010,"AHY","F","KV1","KV1","west"
"2779","4100-08618","1",2010,"AHY","F","KV1","KV1","west"
"2780","4100-08619","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2781","4100-08619","R",2011,"AHY","F","GNMTN","GNMTN","west"
"2782","4100-08620","1",2010,"AHY","F","GNMTN","GNMTN","west"
