"","UBI_band","band_status","year","species","age","fixed_sex","site"
"2358","9000-11966","1",2006,"BTLH","HY","M","CC2"
"2359","9000-11970","1",2006,"BTLH","AHY","M","MCGC"
"2360","9000-11972","1",2006,"BTLH","AHY","M","MP1"
"2361","9000-11975","1",2006,"BTLH","HY","M","CC3"
"2362","9000-11978","1",2006,"BTLH","AHY","M","MCGC"
"2363","9000-11981","1",2006,"BTLH","AHY","F","GNMTN"
"2364","9000-11982","1",2006,"BTLH","AHY","F","MCGC"
"2365","9000-11983","1",2006,"BTLH","AHY","F","MCGC"
"2366","9000-11984","1",2006,"BTLH","AHY","F","MCGC"
"2367","3100-41493","1",2006,"BTLH","AHY","F","MCGC"
"2368","9000-11986","1",2006,"BTLH","AHY","F","MCGC"
"2369","9000-11987","1",2006,"BTLH","AHY","F","MCGC"
"2370","9000-11988","1",2006,"BTLH","AHY","F","MCGC"
"2371","9000-11989","1",2006,"BTLH","AHY","F","MCGC"
"2372","9000-11990","1",2006,"BTLH","AHY","F","MCGC"
"2373","9000-11991","1",2006,"BTLH","AHY","F","MCGC"
"2374","9000-11992","1",2006,"BTLH","AHY","F","MCGC"
"2375","9000-11993","1",2006,"BTLH","AHY","F","MCGC"
"2376","9000-90668","1",2006,"BTLH","AHY","F","MCGC"
"2377","9000-11995","1",2006,"BTLH","AHY","F","MCGC"
"2378","9000-11996","1",2006,"BTLH","AHY","F","MCGC"
"2379","9000-11997","1",2006,"BTLH","AHY","F","MCGC"
"2380","9000-11998","1",2006,"BTLH","AHY","F","MCGC"
"2381","9000-11999","1",2006,"BTLH","AHY","F","MCGC"
"2382","9000-12000","1",2006,"BTLH","AHY","F","MCGC"
"2383","9000-12001","1",2006,"BTLH","AHY","F","MCGC"
"2384","9000-12002","1",2006,"BTLH","AHY","F","MP1"
"2385","9000-12003","1",2006,"BTLH","AHY","F","MP1"
"2386","9000-12004","1",2006,"BTLH","AHY","F","MP1"
"2387","9000-12005","1",2006,"BTLH","AHY","F","MP1"
"2388","9000-12006","1",2006,"BTLH","AHY","F","MP1"
"2389","9000-12007","1",2006,"BTLH","AHY","F","MP1"
"2390","9000-12008","1",2006,"BTLH","AHY","F","MP1"
"2391","9000-12009","1",2006,"BTLH","AHY","F","MCGC"
"2392","9000-12010","1",2006,"BTLH","AHY","F","MCGC"
"2393","9000-12011","1",2006,"BTLH","AHY","F","MCGC"
"2394","9000-12012","1",2006,"BTLH","AHY","F","MCGC"
"2395","9000-12013","1",2006,"BTLH","AHY","F","MCGC"
"2396","9000-12014","1",2006,"BTLH","AHY","F","MCGC"
"2397","9000-12015","1",2006,"BTLH","AHY","F","MCGC"
"2398","9000-12016","1",2006,"BTLH","AHY","F","MCGC"
"2399","9000-12017","1",2006,"BTLH","AHY","F","MCGC"
"2400","9000-12018","1",2006,"BTLH","AHY","F","MCGC"
"2401","9000-12019","1",2006,"BTLH","AHY","F","MCGC"
"2402","9000-12020","1",2006,"BTLH","AHY","F","MCGC"
"2403","9000-12021","1",2006,"BTLH","AHY","F","MCGC"
"2404","9000-12022","1",2006,"BTLH","AHY","F","MP1"
"2405","9000-12023","1",2006,"BTLH","AHY","F","MP1"
"2406","9000-12024","1",2006,"BTLH","AHY","F","MP1"
"2407","9000-12025","1",2006,"BTLH","AHY","F","MP1"
"2408","9000-12026","1",2006,"BTLH","AHY","F","MP1"
"2409","9000-12027","1",2006,"BTLH","AHY","F","MP1"
"2410","9000-12028","1",2006,"BTLH","AHY","F","MP1"
"2411","9000-12029","1",2006,"BTLH","AHY","F","MP1"
"2412","9000-12030","1",2006,"BTLH","AHY","F","MP1"
"2413","9000-12031","1",2006,"BTLH","AHY","F","MP1"
"2414","9000-12032","1",2006,"BTLH","AHY","F","MP1"
"2415","9000-12033","1",2006,"BTLH","AHY","F","MP1"
"2416","9000-12034","1",2006,"BTLH","AHY","F","MP1"
"2417","9000-12035","1",2006,"BTLH","AHY","F","MP1"
"2418","9000-12036","1",2006,"BTLH","AHY","F","MP1"
"2419","9000-12037","1",2006,"BTLH","AHY","F","MP1"
"2420","9000-12038","1",2006,"BTLH","AHY","F","MP1"
"2421","9000-12039","1",2006,"BTLH","AHY","F","MCGC"
"2422","9000-12040","1",2006,"BTLH","AHY","F","MCGC"
"2423","9000-12041","1",2006,"BTLH","AHY","F","MCGC"
"2424","3100-41757","1",2006,"BTLH","AHY","F","HOLZ"
"2425","9000-12043","1",2006,"BTLH","AHY","F","HOLZ"
"2426","9000-12044","1",2006,"BTLH","AHY","F","HOLZ"
"2427","9000-12045","1",2006,"BTLH","AHY","F","HOLZ"
"2428","9000-12046","1",2006,"BTLH","AHY","F","HOLZ"
"2429","9000-12047","1",2006,"BTLH","AHY","F","HOLZ"
"2430","9000-12048","1",2006,"BTLH","AHY","F","GNMTN"
"2431","9000-12049","1",2006,"BTLH","AHY","F","GNMTN"
"2432","9000-12050","1",2006,"BTLH","AHY","F","GNMTN"
"2433","9000-12051","1",2006,"BTLH","AHY","F","GNMTN"
"2434","9000-12052","1",2006,"BTLH","AHY","F","GNMTN"
"2435","9000-12053","1",2006,"BTLH","AHY","F","GNMTN"
