"","band","band_status","recap_yr","recaptured_sex","recapture_age","site_recap","r1","comments"
"588","4100-08811","R",2012,"F","AHY","MCGC","5/10, 3.2",""
"589","4100-08240","R",2012,"F","AHY","MCGC","5/10, E8, 3.7",""
"590","4100-08230","R",2012,"F","AHY","MCGC","5/10, E7, 3.9",""
"591","4100-59171","R",2012,"F","AHY","MCGC","5/10, 3.3",""
"592","4100-08127","R",2012,"F","AHY","MCGC","5/10, E7, 3.7",""
"593","4100-59206","R",2012,"M","AHY","MCGC","5/10, 3.2",""
"594","3100-42307","R",2012,"F","AHY","MCGC","5/10, E7, 3.7",""
"595","3100-42512","R",2012,"F","AHY","MCGC","5/10, E8, 4.1",""
"596","4100-59507","R",2012,"F","AHY","MCGC","5/10, 3.4",""
"597","4100-59243","R",2012,"M","AHY","MCGC","5/10, 3.4",""
"598","4100-58684","R",2012,"F","AHY","MCGC","5/10, 4",""
"599","3100-41930","R",2012,"F","AHY","MCGC","5/10, E8, 4",""
"600","4100-08127","R",2012,"F","AHY","MCGC","5/12, E7, 3.8",""
"601","4100-59106","R",2012,"F","AHY","MCGC","5/14, 3.6",""
"602","4100-59196","R",2012,"F","AHY","MCGC","5/14, E6-, 3.6",""
"603","3100-42709","R",2012,"M","AHY","MCGC","5/14, 3.3",""
"604","4100-08959","R",2012,"F","AHY","MCGC","5/14, E6-, 3.6",""
"605","4100-59201","R",2012,"M","AHY","MCGC","5/14, 3.2",""
"606","4100-08362","R",2012,"F","AHY","MCGC","5/14, 3.7",""
"607","3100-41930","R",2012,"F","AHY","MCGC","5/14, 3.6",""
"608","4100-08240","R",2012,"F","AHY","MCGC","5/14, E7+, 4",""
"609","3100-42097","R",2012,"M","AHY","MCGC","5/14, 3.8",""
"610","3100-42195","R",2012,"F","AHY","MCGC","5/14, 3.4",""
"611","4100-08116","R",2012,"F","AHY","MCGC","5/14, 3.4",""
"612","3100-42325","R",2012,"F","AHY","MCGC","5/14, 3.4",""
"613","3100-42341","R",2012,"F","AHY","MCGC","5/14, 3.2",""
"614","4100-59252","R",2012,"M","AHY","MCGC","5/14, 3.2","p9 3.5 mm<p10"
"615","4100-59106","R",2012,"F","AHY","MCGC","5/20, 3.7",""
"616","4100-08127","R",2012,"F","AHY","MCGC","5/20, 3.9",""
"617","4100-08952","R",2012,"F","AHY","MCGC","5/20, 3.9","p9 3.5mm<p10/w wing trill"
"618","3100-42460","R",2012,"F","AHY","MCGC","5/20, 3.5",""
"619","4100-08230","R",2012,"F","AHY","MCGC","5/20, 3.4",""
"620","4100-59196","R",2012,"F","AHY","MCGC","5/20, E8, 3.9",""
"621","4100-58572","R",2012,"F","AHY","MCGC","5/20, 3.7",""
"622","4100-59524","R",2012,"F","AHY","MCGC","5/20, 3.2",""
"623","3100-41930","R",2012,"F","AHY","MCGC","5/20, 3.5",""
"624","4100-08127","R",2012,"F","AHY","MCGC","5/20, ","again"
"625","4100-58634","R",2012,"F","AHY","MCGC","5/20, E7+, 3.9",""
"626","3100-42453","R",2012,"F","AHY","MCGC","5/20, 3.3",""
"627","4100-59327","R",2012,"F","AHY","MCGC","5/20, 3.5",""
"628","4100-58572","R",2012,"F","AHY","MCGC","5/20, 3.6","again"
"629","3100-42512","R",2012,"F","AHY","MCGC","5/20, 3.5",""
"630","3100-41930","R",2012,"F","AHY","MCGC","5/20, ","again"
"631","4100-58684","R",2012,"F","AHY","MCGC","5/20, E7, 3.8",""
"632","9100-23007","R",2012,"M","AHY","MCGC","5/20, ","banded today"
"633","4100-08590","R",2012,"F","AHY","MCGC","5/22, E6, 3.7",""
"634","4100-08734","R",2012,"F","AHY","MCGC","5/22, 3.7",""
"635","4100-08235","R",2012,"F","AHY","MCGC","5/22, E8, 4.5",""
"636","4100-59624","R",2012,"F","AHY","MCGC","5/22, 3.5",""
"637","4100-59329","R",2012,"F","AHY","MCGC","5/22, 3.3",""
"638","4100-59533","R",2012,"F","AHY","MCGC","5/22, 3.6",""
"639","3100-42188","R",2012,"F","AHY","MCGC","5/22, 3.5",""
"640","4100-59684","R",2012,"F","AHY","MCGC","5/22, E7, 4",""
"641","3100-42311","R",2012,"F","AHY","MCGC","5/22, 3.7",""
"642","4100-59461","R",2012,"F","AHY","MCGC","5/22, 3.1",""
"643","4100-08590","R",2012,"F","AHY","MCGC","5/22, 3.5",""
"644","9000-91054","R",2012,"F","AHY","MCGC","5/22, E7, 4.3",""
"645","4100-59201","R",2012,"M","AHY","MCGC","5/22, 3.1",""
"646","4100-08590","R",2012,"F","AHY","MCGC","5/22, 3.38",""
"647","3100-41930","R",2012,"F","AHY","MCGC","5/22, 3.4",""
"648","4100-08127","R",2012,"F","AHY","MCGC","5/22, 3.7",""
"649","4100-08235","R",2012,"F","AHY","MCGC","5/22, ","again"
"650","4100-59161","R",2012,"F","AHY","MCGC","5/22, E6, 4.5",""
"651","4100-59524","R",2012,"F","AHY","MCGC","5/26, E6+, 3.7",""
"652","4100-59460","R",2012,"F","AHY","MCGC","5/26, 3.6","P9 5mm<p10"
"653","4100-59504","R",2012,"F","AHY","MCGC","5/26, 3.44",""
"654","4100-59438","R",2012,"F","AHY","MCGC","5/26, 3.43",""
"655","9100-22907","R",2012,"F","AHY","MCGC","5/26, E6, 3.4",""
"656","4100-59196","R",2012,"F","AHY","MCGC","5/26, 3.6",""
"657","4100-08127","R",2012,"F","AHY","MCGC","5/26, 3.6","again"
"658","3100-42195","R",2012,"F","AHY","MCGC","5/26, 3.5",""
"659","9100-22907","R",2012,"F","AHY","MCGC","5/26, 3.65",""
"660","9100-23026","R",2012,"M","AHY","MCGC","5/26, 3.18",""
"661","4100-59243","R",2012,"M","AHY","MCGC","5/26, 3.34",""
"662","4100-59527","R",2012,"F","AHY","MCGC","5/26, 3.4",""
"663","9100-23016","R",2012,"M","AHY","MCGC","5/26, 3.3",""
"664","4100-08127","R",2012,"F","AHY","MCGC","5/26, ","again"
"665","4100-59504","R",2012,"F","AHY","MCGC","5/26, ","again"
"666","9100-23016","R",2012,"M","AHY","MCGC","5/26, 3.11",""
"667","4100-08127","R",2012,"F","AHY","MCGC","5/26, ","again"
"668","4100-59452","R",2012,"F","AHY","MCGC","5/26, E8, 4.1",""
"669","3100-42188","R",2012,"F","AHY","MCGC","5/26, 3.3",""
"670","4100-59304","R",2012,"F","AHY","MCGC","5/26, E8, 4.4",""
"671","4100-59762","R",2012,"M","AHY","MCGC","5/26, 3.5",""
"672","9100-23013","R",2012,"M","AHY","MCGC","5/26, 3.3",""
"673","4100-59203","R",2012,"M","AHY","MCGC","5/26, 3.6",""
"674","4100-58819","R",2012,"F","AHY","MCGC","5/26, 3.6",""
"675","4100-08113","R",2012,"F","AHY","MCGC","5/26, 3.8",""
"676","4100-59201","R",2012,"M","AHY","MCGC","5/26, 3.1",""
"677","4100-59243","R",2012,"M","AHY","MCGC","5/26, 3.5",""
"678","4100-59261","R",2012,"M","AHY","MCGC","5/26, 3.8",""
"679","3100-42709","R",2012,"M","AHY","MCGC","5/26, 3.1",""
"680","4100-08784","R",2012,"F","AHY","MCGC","5/26, 4.1",""
"681","3100-42192","R",2012,"F","AHY","MCGC","5/29, 3.4",""
"682","4100-08925","R",2012,"F","AHY","MCGC","5/29, 3.2",""
"683","4100-59260","R",2012,"M","AHY","MCGC","5/29, 3.4",""
"684","9100-23016","R",2012,"M","AHY","MCGC","5/29, 3.3",""
"685","4100-08133","R",2012,"F","AHY","MCGC","5/29, E6, 3.4",""
"686","4100-59106","R",2012,"F","AHY","MCGC","5/29, 3.67",""
"687","9100-23029","R",2012,"M","AHY","MCGC","5/29, 3.5",""
"688","4100-59527","R",2012,"F","AHY","MCGC","5/29, 3.6",""
