"band","band_status","recap_yr","sex","site_orig","r01","r02","r03","r04","r05","r06","r07","r08","r09","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"9100-23138","R",2012,"F","HOLZ","6/7, E6-, 3.4","","","","","","","","","","","","","","","","",""
"3100-42225","R",2012,"F","HOLZ","6/7, E6, 3.68","","","","","","","","","","","","","","","","",""
"3100-41757","R",2012,"F","HOLZ","6/7, 3.42","","","","","","","","","","","","","","","","",""
"9100-23139","R",2012,"F","HOLZ","6/7, 3.66","","","","","","","","","","","","","","","","",""
"9100-23138","R",2012,"F","HOLZ","6/7, E6, 3.4","","","","","","","","","","","","","","","","",""
"9100-23142","R",2012,"F","HOLZ","6/7, E6, 3.6","","","","","","","","","","","","","","","","",""
"4100-59598","R",2012,"M","HOLZ","6/7, 3.27","","","","","","","","","","","","","","","","",""
"9100-23217","R",2012,"M","HOLZ","6/7, 3.14","","","","","","","","","","","","","","","","",""
"4100-08546","R",2012,"F","HOLZ","6/7, 3.92","","","","","","","","","","","","","","","","",""
"9000-90129","R",2012,"F","GNMTN","6/7, 3.47","","","","","","","","","","","","","","","","",""
"4100-08820","R",2012,"F","GNMTN","6/7, 3.8","","","","","","","","","","","","","","","","",""
"4100-59427","R",2012,"F","GNMTN","6/7, E6, 3.9","","","","","","","","","","","","","","","","",""
"9100-23041","R",2012,"M","GNMTN","6/7, 3.29","","","","","","","","","","","","","","","","",""
"9000-90293","R",2012,"F","GNMTN","6/7, 4.32","","","","","","","","","","","","","","","","",""
"4100-59484","R",2012,"F","GNMTN","6/7, 3.69","","","","","","","","","","","","","","","","",""
"3100-42469","R",2012,"F","GNMTN","6/7, E9, 4.83","","","","","","","","","","","","","","","","",""
"4100-08681","R",2012,"F","GNMTN","6/7, 3.67","","","","","","","","","","","","","","","","",""
"9100-22923","R",2012,"F","MP1","6/9, 3.26","","","","","","","","","","","","","","","","",""
"9100-23243","R",2012,"M","MP1","6/9, 3.3","","","","","","","","","","","","","","","","",""
"4100-59830","R",2012,"F","MP1","6/9, 4.09","","","","","","","","","","","","","","","","",""
"4100-59175","R",2012,"F","MP1","6/9, 3.35","","","","","","","","","","","","","","","","",""
"4100-59362","R",2012,"F","MP1","6/9, E8, 4.2","","","","","","","","","","","","","","","","",""
"4100-58508","R",2012,"F","MP1","6/9, 3.46","","","","","","","","","","","","","","","","",""
"4100-59578","R",2012,"F","MP1","6/9, 3.27","","","","","","","","","","","","","","","","",""
"4100-08437","R",2012,"F","MP1","6/9, 4.19","","","","","","","","","","","","","","","","",""
"4100-59146","R",2012,"F","MP1","6/9, 3.45","","","","","","","","","","","","","","","","",""
"3100-41739","R",2012,"F","MP1","6/9, 3.23","","","","","","","","","","","","","","","","",""
"9100-22972","R",2012,"F","MP1","6/9, E6-, 3.56","","","","","","","","","","","","","","","","",""
"4100-08563","R",2012,"F","MP1","6/9, E6+, 3.55","","","","","","","","","","","","","","","","",""
"4100-08569","R",2012,"F","MP1","6/9, 3.5","","","","","","","","","","","","","","","","",""
"4100-58501","R",2012,"F","MP1","6/9, 3.44","","","","","","","","","","","","","","","","",""
"9000-91361","R",2012,"F","MP1","6/11, 4.57","","","","","","","","","","","","","","","","","band to left leg"
"9100-23202","R",2012,"M","MP1","6/11, 3.21","","","","","","","","","","","","","","","","",""
"4100-59174","R",2012,"F","MP1","6/11, 3.51","","","","","","","","","","","","","","","","",""
"9100-22990","R",2012,"F","MP1","6/11, 3.3","","","","","","","","","","","","","","","","",""
"4100-59850","R",2012,"F","MP1","6/11, 3.56","","","","","","","","","","","","","","","","",""
"9100-23101","R",2012,"F","MP1","6/11, 3.34","","","","","","","","","","","","","","","","",""
"9100-22803","R",2012,"M","MP1","6/11, 3.2","","","","","","","","","","","","","","","","",""
"9100-23277","R",2012,"F","MP1","6/11, 3.19","","","","","","","","","","","","","","","","",""
"9100-22994","R",2012,"F","MP1","6/11, 3.34","","","","","","","","","","","","","","","","",""
"9100-23136","R",2012,"F","MP1","6/11, E7, 3.7","","","","","","","","","","","","","","","","",""
