"band","band_status","recap_yr","sex","site_orig","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"5000-11593","R",2004,"F","MCGC","7/24 3.5g","8/8 3.5g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11594","R",2004,"M","MCGC","5/10 3.2g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11597","R",2004,"M","MCGC","6/13 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11601","R",2004,"F","MCGC","6/10 4.2g E7","6/11 3.5g 2x","6/13 3.3g","6/14 3.3g","6/15 3.3g 2x","6/17 3.4g","6/18 3.5g","7/27 3.5g","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11603","R",2004,"M","MCGC","6/15 3.0g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11607","R",2004,"F","MCGC","6/3 3.5g","6/12 3.5g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11609","R",2004,"F","MCGC","6/14 3.5g","6/16 3.4g","6/18 3.7g","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11632","R",2004,"M","MCGC","6/18 3.1g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11635","R",2004,"F","MCGC","5/28 3.4g","6/4 3.8g E6","6/29 3.4g LTW","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11637","R",2004,"M","MCGC","6/17 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11639","R",2004,"M","MCGC","6/10 3.7g","6/11 3.2g","6/13 3.0g","6/15 3.0g","6/18 3.2g","6/29 2.9g","6/28 3.1g","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11641","R",2004,"F","MCGC","6/11 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11647","R",2004,"F","MCGC","6/10 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11648","R",2004,"F","MCGC","6/11 4.0g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11649","R",2004,"F","MCGC","6/15 3.7g E7","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
