"UBI_band","band_status","year","date","age","fixed_sex","site","comments"
"4100-59359","1",2011,2011-06-24,"AHY","F","CC3","E6"
"4100-59360","1",2011,2011-06-24,"AHY","F","HPK2",""
"4100-59361","1",2011,2011-07-17,"AHY","F","KV1",""
"4100-59362","1",2011,2011-07-22,"AHY","F","MP1",""
"4100-59363","1",2011,2011-07-22,"AHY","F","MP1",""
"4100-59364","1",2011,2011-07-22,"AHY","F","MP1",""
"4100-59365","1",2011,2011-07-22,"HY","F","MP1",""
"4100-59366","1",2011,2011-07-22,"HY","M","MP1",""
"4100-59367","1",2011,2011-08-09,"AHY","F","MP1",""
"4100-59368","1",2011,2011-09-09,"AHY","F","MP1",""
"4100-59369","1",2011,2011-08-20,"AHY","F","HPK2",""
"4100-59371","1",2011,2011-06-24,"AHY","F","HPK2",""
"4100-59372","1",2011,2011-06-24,"AHY","F","HPK2",""
"4100-59373","1",2011,2011-06-24,"AHY","F","HPK2",""
"4100-59374","1",2011,2011-06-24,"AHY","F","HPK2",""
"4100-59375","1",2011,2011-06-25,"AHY","F","MP1",""
"4100-59376","1",2011,2011-06-25,"AHY","F","MP1",""
"4100-59377","1",2011,2011-06-25,"AHY","F","MP1","FS5"
"4100-59378","1",2011,2011-06-25,"AHY","F","MP1",""
"4100-59379","1",2011,2011-06-25,"AHY","F","MP1","E7"
"4100-59380","1",2011,2011-06-25,"AHY","F","MP1",""
"4100-59381","1",2011,2011-06-25,"AHY","F","MP1",""
"4100-59382","1",2011,2011-06-25,"AHY","F","MP1",""
"4100-59383","1",2011,2011-06-25,"AHY","F","MP1",""
"4100-59384","1",2011,2011-06-26,"AHY","F","MCGC",""
"4100-59385","1",2011,2011-06-26,"AHY","F","MCGC","E8"
"4100-59386","1",2011,2011-06-26,"AHY","F","GNMTN","E6"
"4100-59387","1",2011,2011-06-26,"AHY","F","GNMTN","E8"
"4100-59388","1",2011,2011-06-26,"AHY","F","GNMTN",""
"4100-59389","1",2011,2011-06-26,"AHY","F","GNMTN","E6+"
"4100-59390","1",2011,2011-06-26,"AHY","F","GNMTN",""
"4100-59391","1",2011,2011-06-26,"AHY","F","KV1",""
"4100-59392","1",2011,2011-06-26,"AHY","F","KV1","E7"
"4100-59393","1",2011,2011-06-26,"AHY","F","KV1",""
